0	Index      	 *	Score 	Summary	Detail	
1	31231 51652	 * 	194.91	ACR|2AART|2DMG|1VULN|2CDMG|2ZMB	19CDMG|2DUST|3RCR|49DMG|58AART|6MBVNT|79ZMB|9BPWR|aVULN
2	42513 25333	 * 	194.48	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	19DUR|239VULN|4aCDMG|5DMG|6RCR|79LIT|8AART|9BPWR
3	31231 55452	 * 	193.61	ACR|2AART|2DMG|1VULN|2CDMG|2ASPD	19CDMG|2DUST|3RCR|49DMG|57AART|6MBVNT|89ASPD|9BPWR|aVULN
4	43642 22222	 * 	193.16	DCR|3VULN|2DMG|1AART|2ZMB|1DUR	1DUR|24ZMB|34DMG|4BPWR|5RCVC|678VULN|9RCR|aAART
5	42533 42131	 * 	192.19	DCR|4VULN|2DMG|1CDMG|1ASPD|1DUR	1DUR|2356VULN|45DMG|5BPWR|7LIT|8RCR|9CDMG|aASPD
6	42513 25323	 * 	190.92	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|23VULN|4aCDMG|59DMG|6RCR|7LIT|8AART
7	21423 31314	   	189.26	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	19CGEN|2AART|3CDMG|49aVULN|5DMG|6TLV|7RCR|89DUR|9BPWR
8	43632 22222	   	189.21	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2ZMB|34DMG|5RCVC|678VULN|9RCR|aAART
9	42513 25331	   	188.16	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	19DUR|239VULN|4CDMG|5DMG|6RCR|79LIT|8AART|9BPWR|aCGEN
10	42513 25332	   	188.16	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	19DUR|239VULN|4CDMG|5DMG|6RCR|79LIT|8AART|9BPWR|aRCVC
11	52513 24313	 * 	187.78	DCR|3VULN|2AART|1DMG|1CDMG	1BEXP|23aVULN|4CDMG|5DMG|6RCR|78AART|9LHND
12	52513 24333	   	187.68	DCR|3VULN|2AART|1DMG|1CDMG	1BEXP|23aVULN|4CDMG|5DMG|6RCR|78AART|9DUST
13	42513 31226	   	186.96	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|23aVULN|4CDMG|5DMG|6AART|7RCR|8aBEXP|9RMIN|aBPWR
