0	Index      	 *	Score 	Summary	Detail	
1	14331 26135	 * 	192.12	DCR|3VULN|2DMG|1AART|2ASPD	17DMG|2RMIN|3BEXP|479VULN|57ASPD|6RCR|7BPWR|8DUST|aAART
2	12116 13426	 * 	190.88	DCR|3VULN|3DMG|2FLTHEA	17aDMG|2AIRHEA|3aFLTHEA|4TLV|5LIT|6RCR|89aVULN|aBPWR
3	13531 32652	 * 	190.71	DCR|3VULN|2AART|2DMG	1aDMG|2CGEN|34aVULN|56AART|7RCR|8aLHND|9RPLT|aBPWR
4	14331 26332	 * 	190.11	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	17DMG|2RMIN|3BEXP|47VULN|57ASPD|6RCR|7BPWR|8CDMG|9LEGI|aAART
5	45331 26332	   	190.11	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1RMIN|27DMG|3BEXP|47VULN|57ASPD|6RCR|7BPWR|8CDMG|9LEGI|aAART
6	13531 32542	 * 	188.61	DCR|2AART|2VULN|2DMG|2ASPD	1aDMG|2aCGEN|34VULN|56AART|7RCR|8MLV|9aASPD|aBPWR
7	13531 32551	 * 	188.51	DCR|2AART|2VULN|2DMG|1CDMG	19DMG|2CGEN|34VULN|56AART|7RCR|8MLV|aCDMG
8	12213 14144	 * 	188.27	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2AIRHEA|3DUR|4789VULN|5CDMG|6AART|aRCR
9	12132 14326	 * 	186.32	DCR|3VULN|2DMG|2FLTHEA|1CDMG|1ASPD	19DMG|2AIRHEA|39FLTHEA|4CDMG|5BELT|6ASPD|789VULN|9BPWR|aRCR
10	12213 14164	 * 	185.62	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1DMG|2AIRHEA|3DUR|478VULN|5CDMG|69AART|aRCR
11	13531 32141	 * 	184.47	DCR|2VULN|2AART|1DMG|2ASPD|1CDMG	1DMG|2CGEN|34VULN|56AART|7RCR|89ASPD|aCDMG
12	25341 32141	   	184.47	DCR|2VULN|2AART|1DMG|2ASPD|1CDMG	1CGEN|23VULN|4DMG|56AART|7RCR|89ASPD|aCDMG
13	13132 43352	 * 	182.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1aDMG|2CGEN|35aLHND|4RCR|6CDMG|7DUR|8AART|9aVULN|aBPWR
14	13433 43352	   	182.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1aDMG|23CGEN|4RCR|5aLWND|6CDMG|7DUR|8AART|9aVULN|aBPWR
15	15132 43352	   	182.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1aDMG|2ERES|35aLHND|4RCR|6CDMG|7DUR|8AART|9aVULN|aBPWR
16	14331 26315	 * 	182.66	DCR|3VULN|2DMG|2ASPD|1CDMG	17DMG|2RMIN|3BEXP|47aVULN|57ASPD|6RCR|7BPWR|8CDMG|9FEWX
17	14331 26321	   	182.56	DCR|3VULN|2DMG|2ASPD|1CDMG	17DMG|2RMIN|3BEXP|47aVULN|57ASPD|6RCR|7BPWR|8CDMG|9ERES
18	14331 26322	 * 	182.56	DCR|3DMG|2VULN|2ASPD|1CDMG	17aDMG|2RMIN|3BEXP|47VULN|57ASPD|6RCR|7BPWR|8CDMG|9ERES
19	14331 26335	   	182.56	DCR|3VULN|2DMG|2ASPD|1CDMG	17DMG|2RMIN|3BEXP|47aVULN|57ASPD|6RCR|7BPWR|8CDMG|9LEGI
20	45331 26321	   	182.56	DCR|3VULN|2DMG|2ASPD|1CDMG	1RMIN|27DMG|3BEXP|47aVULN|57ASPD|6RCR|7BPWR|8CDMG|9ERES
21	45331 26322	   	182.56	DCR|3DMG|2VULN|2ASPD|1CDMG	1RMIN|27aDMG|3BEXP|47VULN|57ASPD|6RCR|7BPWR|8CDMG|9ERES
22	13531 32152	   	182.00	DCR|2AART|2VULN|2DMG|1ASPD	1aDMG|2aCGEN|34VULN|56AART|7RCR|8ASPD|9aMLV|aBPWR
23	13531 32552	   	181.80	DCR|2AART|2VULN|2DMG|1DUR	19DMG|2CGEN|34VULN|56AART|7RCR|8MLV|aDUR
24	13531 32112	   	181.80	DCR|2AART|2VULN|2DMG|1ASPD	1aDMG|2aCGEN|34VULN|56AART|7RCR|8ASPD|9aERES|aBPWR
25	13531 32122	   	181.80	DCR|2AART|2VULN|2DMG|1ASPD	1aDMG|2aCGEN|34VULN|56AART|7RCR|8ASPD|9aTLV|aBPWR
26	13531 32166	   	181.80	DCR|2AART|2VULN|2DMG|1ASPD	1aDMG|2CGEN|34VULN|56AART|7RCR|8ASPD|9MGNLIT
27	13531 32136	   	181.70	DCR|2AART|2VULN|2DMG|1ASPD	1aDMG|2CGEN|34VULN|56AART|7RCR|8ASPD|9BASICY
28	25341 32136	   	181.70	DCR|2AART|2VULN|2DMG|1ASPD	1CGEN|23VULN|4aDMG|56AART|7RCR|8ASPD|9BASICY
29	11363 21783	 * 	180.07	DCR|3VULN|3DMG|1CDMG	19aDMG|2BEXP|39aVULN|4MBVNT|5CDMG|6LIT|79aMLV|8RCR|9aBPWR
30	25341 32152	   	180.07	DCR|3VULN|2AART|1DMG|1ASPD	1aCGEN|23aVULN|4DMG|56AART|7RCR|8ASPD|9aMLV|aBPWR
31	25341 32112	   	179.87	DCR|3VULN|2AART|1DMG|1ASPD	1aCGEN|23aVULN|4DMG|56AART|7RCR|8ASPD|9aERES|aBPWR
