0	Index      	 *	Score 	Summary	Detail	
1	11236 56332	 * 	191.61	DCR|2AART|2DMG|2VULN|1CDMG	1LEGI|239CGEN|4aAART|5CDMG|6RCR|79VULN|89DMG|9BPWR
2	61251 64214	 * 	190.10	DCR|3VULN|2DMG|1AART|2DUR	1aDUR|26aVULN|3AART|4MBVNT|5RCVC|7NUKE|8RCR|9aDMG|aBPWR
3	51141 52442	 * 	188.84	ACR|3DMG|2VULN|1AART|1CDMG	1LHND|27VULN|3MBVNT|49aDMG|5RCR|6CDMG|8AART
4	25321 27228	 * 	188.21	DCR|3DMG|2AART|2VULN	19MLV|2CGEN|3MBVNT|479DMG|5aAART|69VULN|8RCR|9BPWR
5	25321 23225	   	187.77	DCR|3VULN|2DMG|1AART|1ZMB	19MLV|2CGEN|3MBVNT|49DMG|5AART|679VULN|8RCR|9BPWR|aZMB
6	61141 61454	   	187.02	ACR|3DMG|2VULN|1AART|2DUR	17DUR|27VULN|3MBVNT|47aDMG|5RCR|6BELT|7BPWR|8FEWX|9AART
7	42312 43622	 * 	185.24	DCR|2VULN|2AART|2CDMG|1DMG|1ZMB	13CDMG|2LHND|4DMG|5ZMB|6aAART|79VULN|8RCR
8	51141 61226	   	185.19	ACR|3DMG|2VULN|1AART|1ZMB	17LHND|27VULN|3MBVNT|479DMG|5RCR|6BELT|7BPWR|8ZMB|aAART
9	41112 43632	   	185.14	DCR|2VULN|2AART|2CDMG|1DMG|1ZMB	19CDMG|2NUKE|39TLV|4DMG|5ZMB|6aAART|79VULN|8RCR|9BPWR
10	51141 52445	 * 	184.63	ACR|2VULN|2DMG|2AART|1CDMG	1LHND|27VULN|3MBVNT|49DMG|5RCR|6CDMG|8aAART
11	45322 14323	 * 	184.53	DCR|4VULN|2DMG|2CDMG	13CDMG|246aVULN|59DMG|7RPLT|8RCR
12	62242 33263	   	183.00	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	12DUR|3LIT|4RCR|5AART|6ASPD|7aDMG|89VULN
13	61141 37321	 * 	182.89	ACR|3VULN|3DMG|3DUR	178DUR|27aVULN|3MBVNT|47aDMG|5RCR|6RMIN|7aBPWR|9aLIT
14	61141 37472	   	182.89	ACR|3VULN|3DMG|3DUR	179DUR|279VULN|3MBVNT|479DMG|5RCR|6RMIN|79BPWR|8BELT|aLHND
15	61141 37473	   	182.89	ACR|3VULN|3DMG|3DUR	179DUR|279VULN|3MBVNT|479DMG|5RCR|6RMIN|79BPWR|8BELT|aMGNSTR
16	61141 37471	   	182.79	ACR|3VULN|3DMG|3DUR	179DUR|279VULN|3MBVNT|479DMG|5RCR|6RMIN|79BPWR|8BELT|aERES
17	61141 37474	   	182.79	ACR|3VULN|3DMG|3DUR	179DUR|279VULN|3MBVNT|479DMG|5RCR|6RMIN|79BPWR|8BELT|aNUKE
18	61141 27424	 * 	180.93	ACR|3VULN|2DMG|1AART|1DUR	1DUR|289VULN|3MBVNT|46DMG|5RCR|7LIT|aAART
19	61214 23312	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|27VULN|3AART|4CDMG|5FEWX|6MLV|8aDMG|9RCR
20	61215 23312	   	180.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|27VULN|3AART|4CDMG|5DUST|6MLV|8aDMG|9RCR
21	11236 56331	   	180.16	DCR|2VULN|2DMG|1AART|1CDMG	1LEGI|239CGEN|4AART|5CDMG|6RCR|79VULN|89DMG|9BPWR|aBEXP
22	11236 56333	   	180.16	DCR|2VULN|2DMG|1AART|1CDMG	1LEGI|239CGEN|4AART|5CDMG|6RCR|79VULN|89DMG|9BPWR|aLHND
23	23112 43622	   	178.83	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1MLV|2CDMG|3TLV|4DMG|5ZMB|6aAART|79VULN|8RCR
24	41112 43622	   	178.73	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1CDMG|2NUKE|3TLV|4DMG|5ZMB|6aAART|79VULN|8RCR
25	66322 42311	 * 	178.26	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DUR|2RPLT|3FLTHEA|4aVULN|5DMG|6BELT|7RCR|8AART|9CDMG
26	23213 32335	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	1MLV|2CDMG|3RPLT|4aVULN|5LSRREG|6RCR|7AART|89DMG
27	45113 32335	   	178.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2aVULN|3RPLT|4TLV|5LSRREG|6RCR|7AART|89DMG
28	61141 37336	   	178.04	ACR|3VULN|2DMG|3DUR|1ZMB	178DUR|279VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|aZMB
29	61141 37126	   	178.04	ACR|3VULN|2DMG|3DUR|1ZMB	179DUR|278VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|aZMB
30	61141 37174	   	178.04	ACR|3VULN|2DMG|3DUR|1ZMB	17aDUR|278VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|9ZMB
31	45322 13134	 * 	177.88	DCR|3VULN|3CDMG|1AART|1DMG	137CDMG|246VULN|5DMG|8MLV|9AART|aRCR
32	51141 61227	   	177.64	ACR|3VULN|3DMG|1ZMB	17LHND|27aVULN|3MBVNT|479DMG|5RCR|6BELT|7BPWR|8ZMB
33	61141 37111	 * 	177.32	ACR|4VULN|2DMG|2DUR	17DUR|2789VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|aFEWX
34	61141 37113	   	177.32	ACR|4VULN|2DMG|2DUR	17DUR|2789VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|aCGEN
35	61141 37116	   	177.32	ACR|4VULN|2DMG|2DUR	17DUR|2789VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|aRCVC
36	61141 37118	   	177.32	ACR|4VULN|2DMG|2DUR	17DUR|2789VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|aBEXP
37	61141 61335	   	177.32	ACR|4VULN|2DMG|2DUR	17DUR|279aVULN|3MBVNT|47DMG|5RCR|6BELT|7BPWR|8RPLT
38	62512 43312	   	177.31	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	12DUR|3CDMG|4aDMG|5ZMB|6AART|7VULN|8BEXP|9RCR
39	61141 37112	   	177.22	ACR|4VULN|2DMG|2DUR	17DUR|2789VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|aTLV
40	61141 37114	   	177.22	ACR|4VULN|2DMG|2DUR	17DUR|2789VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|aDUST
41	61141 37117	   	177.22	ACR|4VULN|2DMG|2DUR	17DUR|2789VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|aLEGI
42	62512 43112	   	177.21	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	12DUR|3CDMG|4aDMG|5ZMB|6AART|7VULN|8DUST|9RCR
43	61173 32345	 * 	177.21	DCR|3VULN|1DMG|1FLTHEA|2ASPD|2DUR	1aDUR|25aVULN|3MBVNT|4FLTHEA|6RCR|7DMSP|8DMG|9aASPD|aBPWR
44	25321 23221	   	176.77	DCR|3VULN|2DMG|1AART	19MLV|2CGEN|3MBVNT|49DMG|5AART|679VULN|8RCR|9BPWR|aFEWX
45	25321 23222	   	176.77	DCR|3VULN|2DMG|1AART	19aMLV|2CGEN|3MBVNT|49DMG|5AART|679VULN|8RCR|9BPWR
