0	Index      	 *	Score 	Summary	Detail	
1	23365 61212	 * 	216.64	DCR|3DMG|2AART|1VULN|1ASPD	128DMG|3VULN|4MULFIG|5LHND|6RCR|7ASPD|9aAART
2	25264 31218	 * 	216.61	DCR|3VULN|2DMG|2CDMG|2ZMB	1aDMG|29aVULN|35ZMB|4MBVNT|6RCR|7BEXP|8aCDMG|aBPWR
3	23226 16324	 * 	214.80	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	12DMG|3ZMB|4RPLT|5ASPD|69VULN|7RCR|8RCVC|aAART
4	23331 14563	 * 	214.74	DCR|3DMG|2VULN|1AART|1ASPD|1AAC	125DMG|37VULN|4AAC|6DUST|8ASPD|9RCR|aAART
5	25264 31415	 * 	210.13	DCR|2VULN|2DMG|2ASPD|2ZMB	1aDMG|2aVULN|35ZMB|4MBVNT|6RCR|7BEXP|8aASPD|9RCVC|aBPWR
6	25264 31445	   	209.38	DCR|2VULN|2DMG|2ASPD|2ZMB	1aDMG|2aVULN|35ZMB|4MBVNT|6RCR|79BEXP|8aASPD|aBPWR
7	25223 13543	 * 	206.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMG|26VULN|3ZMB|4RMIN|5CDMG|7LWND|8ASPD|9AART|aRCR
8	23311 31542	   	205.50	DCR|3DMG|2VULN|1ASPD|1ZMB	125DMG|39VULN|4CGEN|6AME|7RCR|8ZMB|aASPD
9	25111 31542	   	205.50	DCR|3DMG|2VULN|1ASPD|1ZMB	135DMG|29VULN|4CGEN|6AME|7RCR|8ZMB|aASPD
10	23321 31542	   	205.40	DCR|3DMG|2VULN|1ASPD|1ZMB	125DMG|39VULN|4ERES|6AME|7RCR|8ZMB|aASPD
11	23331 21542	   	205.40	DCR|3DMG|2VULN|1ASPD|1AAC|1ZMB	125DMG|39VULN|4AAC|6CGEN|7RCR|8ZMB|aASPD
12	23341 21542	 * 	205.40	DCR|3DMG|2VULN|1ASPD|1NUKE|1ZMB	125DMG|39VULN|4NUKE|6CGEN|7RCR|8ZMB|aASPD
13	23351 21542	   	205.40	DCR|3DMG|2VULN|1ASPD|1ZMB	125DMG|39VULN|4TLV|6CGEN|7RCR|8ZMB|aASPD
