0	Index      	 *	Score 	Summary	Detail	
1	13252 11463	 * 	214.63	DCR|3DMG|1AART|1VULN|1ASPD|1NUKE	1LIT|258DMG|3ASPD|4AART|6VULN|7CGEN|9RCR|aNUKE
2	41153 53233	 * 	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1LHND|2AART|3LIT|45VULN|6RCR|7DUR|8ASPD|9aDMG
3	41153 53221	 * 	212.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1LHND|29AART|3LIT|45VULN|6RCR|7DUR|8ASPD|aDMG
4	63125 22143	 * 	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|2LHND|3DUR|4AART|57VULN|6RCR|8aDMG|9CDMG
5	42133 12362	   	209.52	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1LHND|24DMG|34ERES|4BPWR|57VULN|6ASPD|8ZMB|9RCR|aAART
6	13262 42351	 * 	207.76	DCR|3VULN|2DMG|2ASPD	1aLIT|2aDMG|34ASPD|568VULN|7aLHND|9RCR|aBPWR
7	13262 43351	   	207.76	DCR|3VULN|2DMG|2ASPD	1aLIT|2aDMG|34ASPD|568VULN|7aFEWX|9RCR|aBPWR
8	13251 44333	 * 	205.98	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1LIT|2DMG|3ASPD|4aAART|5CDMG|6CGEN|7VULN|8RCR|9ZMB
9	13262 43353	 * 	205.82	DCR|4VULN|2ASPD|1DMG	1LIT|2DMG|34ASPD|568aVULN|7FEWX|9RCR
10	42133 12366	 * 	205.81	DCR|2VULN|2DMG|1ASPD|1NUKE|1ZMB	1LHND|24DMG|34ERES|4BPWR|57VULN|6ASPD|8ZMB|9RCR|aNUKE
11	13262 22622	 * 	204.10	DCR|1SPLARM|2VULN|2ASPD|1DMG|1CDMG	1LIT|2DMG|34ASPD|57VULN|6CDMG|8RCVC|9RCR|aSPLARM
12	42133 21621	 * 	202.99	DCR|3VULN|2DMG|1AART	1LHND|24DMG|34ERES|4BPWR|589VULN|6RCVC|7RCR|aAART
13	13343 43221	 * 	200.88	DCR|2AART|2DMG|1VULN|1ASPD	1LIT|2aDMG|3DUST|4CGEN|5VULN|6RCR|79AART|8ASPD
14	12264 32423	 * 	199.82	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1LIT|2RMIN|34ASPD|5MDPS|69VULN|7RCR|8DMG|aAART
15	31264 32423	   	199.82	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1MLV|2LIT|34ASPD|5MDPS|69VULN|7RCR|8DMG|aAART
16	14234 32423	   	199.72	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1LIT|2ERES|34ASPD|5MDPS|69VULN|7RCR|8DMG|aAART
17	21264 32423	   	199.72	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1TLV|2LIT|34ASPD|5MDPS|69VULN|7RCR|8DMG|aAART
18	12262 42351	   	199.51	DCR|4VULN|2ASPD|2DUR	1aLIT|2RMIN|34ASPD|568aVULN|7aDUR|9RCR|aBPWR
19	63125 22142	   	199.13	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2LHND|3DUR|4AART|57VULN|6RCR|8DMG|9CDMG|aSPLREG
20	22122 51621	 * 	199.12	DCR|4VULN|1AART|1ASPD	1TLV|2589VULN|35ERES|4RMIN|5BPWR|6ASPD|7RCR|aAART
