0	Index      	 *	Score 	Summary	Detail	
1	15231 23166	 * 	190.08	DCR|3VULN|2AART|1DMG|1CDMG	1FEWX|25aVULN|37AART|4DMG|6RCR|8ERES|9CDMG
2	15626 22321	   	186.33	DCR|3VULN|2AART|1DMG|1ZMB	1FEWX|249VULN|3ZMB|5aAART|6RCR|7LHND|8DMG
3	15231 21413	   	183.37	DCR|3VULN|2AART|1DMG|1ASPD	1FEWX|25aVULN|38AART|4DMG|6RCR|7DUST|9ASPD
4	15231 22156	 * 	182.57	DCR|3DMG|2VULN|1AART	1FEWX|25VULN|3AART|49aDMG|6RCR|7LHND|8DUST
5	15626 22322	   	181.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|249VULN|3ZMB|5AART|6RCR|7LHND|8DMG|aASPD
6	15231 23315	   	181.46	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1FEWX|25VULN|37AART|4DMG|6RCR|8LWND|9ASPD|aCDMG
7	15231 21415	   	181.36	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1FEWX|25VULN|38AART|4DMG|6RCR|7DUST|9ASPD|aCDMG
8	15231 23425	 * 	180.70	DCR|3VULN|3AART|1DMG	1FEWX|25aVULN|379AART|4DMG|6RCR|8CANHEL
9	15231 25633	 * 	180.66	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|25VULN|3AART|4aDMG|6RCR|7BEXP|8BELT|9CDMG
10	15231 21265	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|25VULN|3AART|49DMG|6RCR|7DUST|8CGEN|aCDMG
11	15231 22365	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|25VULN|3AART|49DMG|6RCR|7LHND|8NUKE|aCDMG
12	15231 26133	 * 	178.98	DCR|4VULN|1AART|1DMG	1FEWX|258aVULN|3AART|4DMG|6RCR|79ERES
13	15231 25632	   	178.73	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|25aVULN|3AART|4DMG|6RCR|7BEXP|8BELT|9CDMG
14	15231 23426	 * 	178.70	DCR|3AART|2VULN|1DMG|1CDMG	1FEWX|25VULN|379AART|4DMG|6RCR|8CANHEL|aCDMG
15	15231 21225	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|259VULN|3AART|4DMG|6RCR|7DUST|8CGEN|aCDMG
16	15231 21525	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|259VULN|3AART|4DMG|6RCR|7DUST|8MLV|aCDMG
17	15231 22325	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|259VULN|3AART|4DMG|6RCR|7LHND|8NUKE|aCDMG
18	15231 22535	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|25aVULN|3AART|4DMG|6RCR|7LHND|8LSRREG|9CDMG
19	15231 25325	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|259VULN|3AART|4DMG|6RCR|7BEXP|8NUKE|aCDMG
20	15231 26125	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|258VULN|3AART|4DMG|6RCR|7ERES|9LHND|aCDMG
21	15231 26161	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|258VULN|3AART|4DMG|6RCR|7ERES|9CDMG|aLWND
22	15231 26162	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|258VULN|3AART|4DMG|6RCR|7ERES|9CDMG|aLIT
23	15231 26163	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|258VULN|3AART|4DMG|6RCR|7ERES|9CDMG|aBELT
24	15231 21335	   	178.53	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|25aVULN|3AART|4DMG|6RCR|7DUST|8LSRHEA|9CDMG
25	15231 24325	   	178.53	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|259VULN|3AART|4DMG|6RCR|7LEGI|8NUKE|aCDMG
26	15233 12246	 * 	178.47	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1FEWX|2VULN|3AART|48aDMG|5ASPD|6BEXP|7CDMG|9RCR
27	15231 23346	 * 	178.46	DCR|2AART|2VULN|2DMG	19FEWX|25VULN|37AART|4aDMG|6RCR|8LWND
