0	Index      	 *	Score 	Summary	Detail	
1	16227 42384	 * 	187.77	DCR|3VULN|2DMG|1AART|1ZMB	1aLHND|25aVULN|3MBVNT|4ZMB|6CGEN|7RCR|8aDMG|9AART|aBPWR
2	46133 31423	   	184.21	DCR|3VULN|2DMG|1AART|1DUR	1DUR|25aVULN|39DMG|4CGEN|6BEXP|7RCR|8AART
3	46133 31421	 * 	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|25VULN|39DMG|4CGEN|6BEXP|7RCR|8AART|aCDMG
4	16161 33133	 * 	176.77	DCR|3DMG|2VULN|3CDMG	19aLHND|2aVULN|349DMG|5RPLT|69aCDMG|7NUKE|8RCR|9aBPWR
5	41365 12332	 * 	176.67	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	13DUR|2BEXP|4RCR|5CDMG|67DMG|8VULN|9AART|aASPD
6	41365 13332	 * 	176.67	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	13DUR|2BEXP|4RCR|5CDMG|6DMG|78VULN|9AART|aASPD
7	16163 22334	 * 	174.87	DCR|3VULN|3DMG|1CDMG	1LHND|258VULN|347DMG|6CDMG|9ERES|aRCR
8	23265 13362	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2DUR|3TLV|4RCR|5CDMG|6DMG|78VULN|9ZMB|aAART
9	26112 22422	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1aCGEN|2ZMB|3aDMG|4FEWX|5ERES|6aVULN|7RCR|8AART|9RCVC|aBPWR
10	41365 12331	 * 	173.54	ACR|2DMG|1AART|1VULN|3DUR|1CDMG	13aDUR|2BEXP|4RCR|5CDMG|67DMG|8VULN|9AART
11	41365 13331	 * 	173.54	ACR|2VULN|1AART|1DMG|3DUR|1CDMG	13aDUR|2BEXP|4RCR|5CDMG|6DMG|78VULN|9AART
12	66633 13222	 * 	173.47	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	12ZMB|35DMG|4LWND|6CDMG|7VULN|8DUR|9RCR|aAART
13	42521 16233	 * 	173.16	DCR|3VULN|1AART|1CDMG|1FLTHEA|1DUR	1DUR|26LHND|3CDMG|4FLTHEA|56aVULN|6BPWR|7RCVC|8RCR|9AART
14	42521 36233	   	173.06	DCR|3VULN|1AART|1CDMG|1FLTHEA|1DUR	1DUR|2LHND|3CDMG|4FLTHEA|56aVULN|7RCVC|8RCR|9AART
15	45123 12612	   	172.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2BELT|34DMG|5ZMB|6DUST|7AART|89VULN|aRCR
16	26112 22452	   	172.72	DCR|2VULN|2DMG|1AART|1ZMB	19aCGEN|2ZMB|3aDMG|4FEWX|5ERES|6aVULN|7RCR|8AART|aBPWR
17	26112 22462	   	172.62	DCR|2VULN|2DMG|1AART|1ZMB	1aCGEN|2ZMB|3aDMG|4FEWX|59ERES|6aVULN|7RCR|8AART|aBPWR
18	16133 34343	   	172.47	DCR|3VULN|2DMG|1AART	1LHND|25aVULN|37DMG|4CGEN|6BEXP|8AART|9RCR
19	13363 34343	   	172.37	DCR|3VULN|2DMG|1AART	1LHND|2TLV|35aVULN|47DMG|6BEXP|8AART|9RCR
20	16133 24343	   	172.37	DCR|3VULN|2DMG|1AART	1LHND|25aVULN|37DMG|4CGEN|6DUST|8AART|9RCR
21	16163 32343	   	172.37	DCR|3VULN|2DMG|1AART	1LHND|25aVULN|34DMG|6TLV|7BEXP|8AART|9RCR
22	13363 24343	   	172.27	DCR|3VULN|2DMG|1AART	1LHND|2TLV|35aVULN|47DMG|6DUST|8AART|9RCR
23	46521 12112	 * 	172.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|24VULN|34CDMG|4BPWR|58CGEN|6RCR|7DMG|9LWND|aAART
24	16221 42384	   	172.12	DCR|2VULN|2DMG|1AART|1ZMB	1aLHND|2aVULN|3MBVNT|4ZMB|5CGEN|6DMSP|7RCR|8aDMG|9AART|aBPWR
25	16221 82384	   	172.12	DCR|2VULN|2DMG|1AART|1ZMB	16aLHND|2aVULN|3MBVNT|4ZMB|5CGEN|7RCR|8aDMG|9AART|aBPWR
26	46111 13633	   	171.90	DCR|2VULN|2DMG|1AART|2DUR|1SELL	1aDUR|2aVULN|36DMG|4SELL|5ERES|7AART|8RCR|9aFEWX|aBPWR
27	16163 25232	   	171.87	DCR|3DMG|2VULN|3CDMG	189LHND|25VULN|349DMG|679CDMG|9BPWR|aRCR
28	46522 12322	 * 	171.52	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	1DUR|245VULN|34CDMG|4BPWR|6ZMB|7LWND|8TLV|9RCR|aAART
29	46362 23321	 * 	171.29	ACR|3DMG|2VULN|2DUR	19DUR|27VULN|36RCVC|4RCR|58aDMG
