0	Index      	 *	Score 	Summary	Detail	
1	64315 13111	 * 	274.57	DCR|DCR|2DMG|1VULN|1AART|1RPLT	1AAC|25DMG|3BBNT|4VULN|6AART|7AME|8RPLT|9aRCR
2	33611 43112	   	269.37	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1TBNT|2LHND|3AART|4VULN|5DUR|6aRCR|7DMG|8FEWX|9ASPD
3	33611 43212	   	269.37	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1TBNT|2LHND|3AART|4VULN|5DUR|6aRCR|7DMG|8BEXP|9ASPD
4	33611 44312	   	269.37	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1TBNT|2LHND|3AART|4VULN|5DUR|6aRCR|7LWND|8DMG|9ASPD
5	35621 43112	   	269.37	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1TBNT|2VULN|3AART|4BEXP|5DUR|6aRCR|7DMG|8FEWX|9ASPD
6	64332 32621	   	256.98	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1AAC|2DMG|3BBNT|4RPLT|5AELOIC|6AART|7aRCR|8VULN|9CGEN
7	64352 13111	   	256.98	DCR|DCR|1VULN|1DMG|1AART|1RPLT	14AAC|2DMG|3BBNT|5VULN|6AART|7AME|8RPLT|9aRCR
8	64332 32221	   	256.88	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1AAC|2DMG|3BBNT|4RPLT|5AELOIC|6AART|7aRCR|8AME|9VULN
9	33611 43152	   	255.48	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1TBNT|2LHND|3AART|4VULN|5DUR|6aRCR|7DMG|8FEWX|9ZMB
10	33611 43252	   	255.48	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1TBNT|2LHND|3AART|4VULN|5DUR|6aRCR|7DMG|8BEXP|9ZMB
11	33613 43235	 * 	253.46	DCR|DCR|1VULN|2ASPD|1AART	1TBNT|2LHND|3AART|4VULN|59ASPD|6LIT|7FEWX|8aRCR
12	23136 23615	   	253.26	DCR|DCR|1VULN|2ASPD|1AART	1LWND|2DUST|38ASPD|4VULN|5LIT|6MDPS|7aRCR|9AART
13	43433 21874	 * 	250.73	DCR|DCR|2MLV|1VULN	1BELT|2MBVNT|3LWND|45MLV|6BEXP|7aRCR|8AAC|9VULN
14	43741 21814	   	250.73	DCR|DCR|2MLV|1VULN	1BELT|2MBVNT|34MLV|5VULN|6BEXP|7aRCR|8AAC|9FEWX
15	65332 32621	   	250.57	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1AAC|2ASPD|3BBNT|4RPLT|5AELOIC|6AART|7aRCR|8VULN|9CGEN
16	65352 13111	   	250.57	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	14AAC|2ASPD|3BBNT|5VULN|6AART|7AME|8RPLT|9aRCR
17	65332 32221	   	250.47	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1AAC|2ASPD|3BBNT|4RPLT|5AELOIC|6AART|7aRCR|8AME|9VULN
18	43734 41714	 * 	247.65	ACR|DCR|2VULN|2MLV|2ZMB	1BELT|2MBVNT|38MLV|4aRCR|5DUST|68ZMB|78VULN|8BPWR|9FEWX
19	32321 35542	   	245.72	DCR|DCR|1VULN|1DMG|1ZMB	1TBNT|2BBNT|3LSRHEA|4DUR|5CGEN|6ZMB|79RCR|8VULN|aDMG
