0	Index      	 *	Score 	Summary	Detail	
1	53245 21111	 * 	274.78	DCR|DCR|2VULN|1MLV|1ASPD	1LEGI|2ASPD|3MDPS|47VULN|5DUST|6LWND|8aRCR|9MLV
2	12523 11121	 * 	274.44	DCR|DCR|3VULN	1TBNT|2AAC|357VULN|45LWND|5BPWR|6DUR|8aRCR|9CGEN
3	15336 11121	 * 	272.27	DCR|DCR|2VULN|1DMG	1TBNT|2DMSP|3DMG|4FEWX|57VULN|6DUR|8aRCR|9CGEN
4	15356 11121	   	272.27	DCR|DCR|2VULN|1DMG	1TBNT|2DMSP|3DMG|4BEXP|57VULN|6DUR|8aRCR|9CGEN
5	22544 85244	   	271.89	DCR|DCR|1VULN|1MLV|1CDMG|3ZMB|1AART	125ZMB|3MBVNT|4AART|5BPWR|6CDMG|7VULN|8MLV|9aRCR
6	13323 31121	 * 	270.00	DCR|DCR|2VULN|2ASPD	1TBNT|2LHND|36ASPD|4LWND|57VULN|8aRCR|9CGEN
7	53133 31121	   	269.90	DCR|DCR|2VULN|2ASPD	1LEGI|26ASPD|3TBNT|4LHND|57VULN|8aRCR|9CGEN
8	53226 62111	   	269.43	DCR|DCR|1VULN|2ASPD|1MLV	1LEGI|24ASPD|3MDPS|5DUR|6VULN|7LWND|8aRCR|9MLV
9	53226 63111	   	269.43	DCR|DCR|1VULN|2ASPD|1MLV	1LEGI|24ASPD|3MDPS|5DUR|6VULN|7BEXP|8aRCR|9MLV
10	13336 11121	   	265.85	DCR|DCR|2VULN|1ASPD	1TBNT|24LHND|3ASPD|57VULN|6DUR|8aRCR|9CGEN
11	33163 51531	   	264.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1TSLARM|2CDMG|3FEWX|4ASPD|5VULN|6BELT|7ZMB|8aRCR|9DMG
12	15346 12121	   	263.96	DCR|DCR|2VULN|1DMG	1TBNT|2DMSP|3DMG|45VULN|6FEWX|7LHND|8aRCR|9CGEN
13	23122 14553	 * 	263.75	DCR|DCR|3ASPD|1MLV|1CDMG|1AART|1ZMB	1ZMB|268ASPD|3CDMG|4AART|5LHND|7MLV|9aRCR
14	23121 14553	 * 	263.65	DCR|DCR|3ASPD|1MLV|1CDMG|1AART|1ZMB	1ZMB|268ASPD|3CDMG|4AART|5DUST|7MLV|9aRCR
15	52232 25111	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1LEGI|2LHND|3FEWX|4DUST|5DUR|6VULN|7DMG|8aRCR|9MLV
16	54233 25111	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1LEGI|2DUR|3FEWX|4DUST|5LWND|6VULN|7DMG|8aRCR|9MLV
17	24621 11234	   	262.61	DCR|DCR|1VULN|1MLV|1AART|1RPLT|1ZMB	1ZMB|2FEWX|3RPLT|4TBNT|5DUR|6MLV|7VULN|8AART|9aRCR
18	53221 65111	   	261.03	DCR|DCR|1VULN|2ASPD|1MLV	1LEGI|24ASPD|3MDPS|5LWND|6VULN|7DUST|8aRCR|9MLV
19	53245 22111	   	261.03	DCR|DCR|1VULN|2ASPD|1MLV	1LEGI|27ASPD|3MDPS|4VULN|5DUST|6LWND|8aRCR|9MLV
20	13323 11121	   	257.55	DCR|DCR|2VULN|1ASPD	1TBNT|26LHND|3ASPD|4LWND|57VULN|8aRCR|9CGEN
21	53133 11121	   	257.45	DCR|DCR|2VULN|1ASPD	1LEGI|2ASPD|3TBNT|46LHND|57VULN|8aRCR|9CGEN
22	12541 25131	   	257.30	DCR|DCR|2VULN|1CDMG|1SELL	1TBNT|2AAC|35VULN|4CDMG|6LIT|7aRCR|8BELT|9SELL
23	11226 23431	   	257.25	DCR|DCR|2VULN|1ASPD	1TBNT|23ERES|4ASPD|56VULN|7LEGI|8aRCR|9BEXP
24	11226 25431	   	257.25	DCR|DCR|2VULN|1ASPD	1TBNT|23ERES|4ASPD|56VULN|7DUST|8aRCR|9BEXP
25	11326 23431	   	257.25	DCR|DCR|2VULN|1ASPD	1TBNT|23ERES|3BPWR|4ASPD|56VULN|7LEGI|8aRCR|9BEXP
26	11326 25431	   	257.25	DCR|DCR|2VULN|1ASPD	1TBNT|23ERES|3BPWR|4ASPD|56VULN|7DUST|8aRCR|9BEXP
27	42326 23431	   	257.25	DCR|DCR|2VULN|1ASPD	12ERES|3TBNT|4ASPD|56VULN|7LEGI|8aRCR|9BEXP
28	43226 23431	   	257.25	DCR|DCR|2VULN|1ASPD	13ERES|2BBNT|4ASPD|56VULN|7LEGI|8aRCR|9BEXP
