0	Index      	 *	Score 	Summary	Detail	
1	21256 14348	 * 	319.10	DCR|DCR|2VULN|3ASPD|2DMG	14aASPD|2aDMG|3BEXP|5ERES|6MBVNT|78RCR|9aVULN|aBPWR
2	31262 14348	 * 	310.75	DCR|DCR|2VULN|3DMG|1ASPD	12aDMG|3aERES|4BEXP|5ASPD|6MBVNT|78RCR|9aVULN|aBPWR
3	33262 14348	   	310.75	DCR|DCR|2VULN|3DMG|1ASPD	12aDMG|2aBPWR|3aERES|4BEXP|5ASPD|6MBVNT|78RCR|9aVULN
4	21226 14348	   	307.65	DCR|DCR|2VULN|2DMG|2ASPD	1aASPD|2aDMG|3BEXP|4RCVC|5ERES|6MBVNT|78RCR|9aVULN|aBPWR
5	52642 43423	 * 	300.35	DCR|DCR|3VULN|2ASPD	123VULN|4MBVNT|57ASPD|6LHND|8DUR|9aRCR
6	52653 13423	   	300.35	DCR|DCR|3VULN|2ASPD	123VULN|47ASPD|5FEWX|6MBVNT|8DUR|9aRCR
7	53332 18123	   	297.12	DCR|DCR|3VULN|1MLV|1ASPD	147VULN|2MLV|3CGEN|5ASPD|6MBVNT|8BEXP|9aRCR
8	53332 18423	   	297.12	DCR|DCR|3VULN|1MLV|1ASPD	147VULN|2MLV|3CGEN|5ASPD|6MBVNT|8LWND|9aRCR
9	52642 43123	   	292.04	DCR|DCR|3VULN|2ASPD	123VULN|4MBVNT|57ASPD|6LHND|8BEXP|9aRCR
10	52642 43323	   	292.04	DCR|DCR|3VULN|2ASPD	123VULN|4MBVNT|57ASPD|6LHND|8LWND|9aRCR
11	52653 13123	   	292.04	DCR|DCR|3VULN|2ASPD	123VULN|47ASPD|5FEWX|6MBVNT|8BEXP|9aRCR
12	52653 13323	   	292.04	DCR|DCR|3VULN|2ASPD	123VULN|47ASPD|5FEWX|6MBVNT|8LWND|9aRCR
13	25212 31441	   	291.05	DCR|DCR|1VULN|2ASPD|1DMG|1MLV	16ASPD|2RPLT|3DMG|4MLV|5LHND|7aRCR|8VULN|9CGEN
14	12342 62241	   	290.81	DCR|DCR|2VULN|1DMG|1MLV|1ZMB	1DUST|29VULN|3RMIN|4ZMB|5RPLT|6aRCR|7DMG|8MLV
15	12612 62241	   	290.81	DCR|DCR|2VULN|1DMG|1MLV|1ZMB	1DUST|29VULN|3RPLT|4ZMB|5CGEN|6aRCR|7DMG|8MLV
16	31116 44321	   	290.76	DCR|DCR|2VULN|2DMG|1SELL	12DMG|3SELL|4RPLT|5ERES|68RCR|7aVULN|9MDPS
17	33116 44321	   	290.76	DCR|DCR|2VULN|2DMG|1SELL	12DMG|2BPWR|3SELL|4RPLT|5ERES|68RCR|7aVULN|9MDPS
18	53332 14123	 * 	290.59	DCR|DCR|2VULN|2MLV|1ASPD	14VULN|27MLV|3CGEN|5ASPD|6MBVNT|8BEXP|9aRCR
19	53332 14423	   	290.59	DCR|DCR|2VULN|2MLV|1ASPD	14VULN|27MLV|3CGEN|5ASPD|6MBVNT|8LWND|9aRCR
20	53353 18123	   	290.59	DCR|DCR|2VULN|2MLV|1ASPD	17VULN|25MLV|3CGEN|4ASPD|6MBVNT|8BEXP|9aRCR
21	53353 18423	   	290.59	DCR|DCR|2VULN|2MLV|1ASPD	17VULN|25MLV|3CGEN|4ASPD|6MBVNT|8LWND|9aRCR
22	31512 53423	   	289.75	DCR|DCR|2DMG|1VULN|2ASPD	12DMG|3BEXP|4AAC|57ASPD|6DUR|8VULN|9aRCR
23	33512 53423	   	289.75	DCR|DCR|2DMG|1VULN|2ASPD	12DMG|2BPWR|3BEXP|4AAC|57ASPD|6DUR|8VULN|9aRCR
