0	Index      	 *	Score 	Summary	Detail	
1	42232 51112	 * 	193.12	ACR|3DMG|2VULN|1AART|2DUR	17DUR|2LHND|3AART|4RCR|57MLV|679DMG|7BPWR|8aVULN
2	42232 52112	   	187.63	ACR|3DMG|2VULN|1AART|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|679DMG|8aVULN
3	42232 63312	   	187.63	ACR|3DMG|2VULN|1AART|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|6aVULN|789DMG
4	23443 72222	 * 	181.67	DCR|3VULN|2DMG|1AART	19CGEN|2MBVNT|3MLV|4RCVC|59aVULN|6AART|7RCR|89DMG|9BPWR
5	42326 52112	 * 	180.47	DCR|3DMG|2AART|1VULN|1DUR	1DUR|2LHND|3CGEN|45AART|69aDMG|7RCR|8VULN
6	14551 32123	 * 	179.99	ACR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1DUR	1DMSP|2FLTHEA|3CDMG|4RCVC|5RCR|6aDMG|7AART|8VULN|9DUR
7	23128 82713	   	179.67	DCR|3VULN|2DMG|1AART	1aCGEN|2MBVNT|36aVULN|4AART|5ERES|7RCR|8BEXP|9aDMG|aBPWR
8	23128 82413	   	179.57	DCR|3VULN|2DMG|1AART	1aCGEN|2MBVNT|36aVULN|4AART|5ERES|7RCR|8DUST|9aDMG|aBPWR
9	23128 82222	   	179.57	DCR|3VULN|2DMG|1AART	19CGEN|2MBVNT|36aVULN|4AART|59ERES|7RCR|89DMG|9BPWR
10	63128 32225	   	179.57	DCR|3VULN|2DMG|1AART	19MLV|2MBVNT|36aVULN|4AART|569ERES|69BPWR|7RCR|89DMG
11	63128 82222	   	179.57	DCR|3VULN|2DMG|1AART	19MLV|2MBVNT|36aVULN|4AART|59ERES|7RCR|89DMG|9BPWR
12	42232 51211	 * 	179.55	ACR|3DMG|1AART|1VULN|3DUR	179DUR|2LHND|3AART|4RCR|579MLV|679DMG|79BPWR|8RMIN|aVULN
13	42232 51125	   	179.07	ACR|2VULN|2DMG|1AART|2DUR	17DUR|2LHND|3AART|4RCR|57MLV|67DMG|7BPWR|8aVULN|9RCVC
14	23141 72222	   	178.57	DCR|3VULN|2DMG|1AART	19CGEN|2MBVNT|34aVULN|59MLV|6AART|7RCR|89DMG|9BPWR
15	23141 72713	   	178.57	DCR|3VULN|2DMG|1AART	1aCGEN|2MBVNT|34aVULN|5MLV|6AART|7RCR|8BEXP|9aDMG|aBPWR
16	23483 72222	   	178.57	DCR|3VULN|2DMG|1AART	19CGEN|2MBVNT|34MLV|59aVULN|6AART|7RCR|89DMG|9BPWR
17	23141 72413	   	178.47	DCR|3VULN|2DMG|1AART	1aCGEN|2MBVNT|34aVULN|5MLV|6AART|7RCR|8DUST|9aDMG|aBPWR
18	23182 72713	   	178.47	DCR|3VULN|2DMG|1AART	1aCGEN|2MBVNT|35aVULN|4ERES|6AART|7RCR|8BEXP|9aDMG|aBPWR
19	23182 72413	   	178.37	DCR|3VULN|2DMG|1AART	1aCGEN|2MBVNT|35aVULN|4ERES|6AART|7RCR|8DUST|9aDMG|aBPWR
20	23182 72222	   	178.37	DCR|3VULN|2DMG|1AART	19CGEN|2MBVNT|35aVULN|49ERES|6AART|7RCR|89DMG|9BPWR
21	63143 72222	   	178.37	DCR|3VULN|2DMG|1AART	19MLV|2MBVNT|34aVULN|59TLV|6AART|7RCR|89DMG|9BPWR
22	63182 72222	   	178.37	DCR|3VULN|2DMG|1AART	19MLV|2MBVNT|35aVULN|49ERES|6AART|7RCR|89DMG|9BPWR
23	52161 62112	 * 	178.27	DCR|3DMG|2VULN|1AART	1LHND|2LEGI|349DMG|5TLV|6AART|7RCR|8aVULN
24	42326 13162	 * 	177.60	DCR|2AART|2DMG|2VULN|1DUR	1DUR|2LHND|3CGEN|45AART|68VULN|7aDMG|9RCR
25	63128 32223	 * 	177.56	DCR|2VULN|2DMG|1AART|1CDMG	19MLV|2MBVNT|36VULN|4AART|569ERES|69BPWR|7RCR|89DMG|aCDMG
26	42232 51135	   	177.47	ACR|2VULN|2DMG|1AART|2DUR	17DUR|2LHND|3AART|4RCR|57MLV|67DMG|7BPWR|8aVULN|9BELT
27	42232 63235	   	177.47	ACR|2VULN|2DMG|1AART|2DUR	19DUR|29LHND|3AART|4RCR|5MLV|6aVULN|79DMG|8BELT|9BPWR
28	42232 51612	 * 	177.44	ACR|2DMG|1AART|1VULN|3DUR|2ASPD	179DUR|29LHND|3AART|4RCR|57MLV|67DMG|79BPWR|89ASPD|aVULN
29	42232 51143	 * 	177.34	ACR|2DMG|1AART|1VULN|3DUR|1CDMG	179DUR|2LHND|3AART|4RCR|57MLV|67DMG|7BPWR|8VULN|aCDMG
30	42232 51122	   	177.14	ACR|3DMG|1AART|1VULN|2DUR	17DUR|2LHND|3AART|4RCR|57MLV|67aDMG|7BPWR|8VULN|9RCVC
31	53162 62212	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2CGEN|35VULN|48DMG|6AART|7RCR|9FEWX|aCDMG
32	53162 62221	 * 	176.46	DCR|2VULN|2DMG|1AART|1FLTHEA	1LHND|2CGEN|35VULN|48DMG|6AART|7RCR|9FLTHEA|aRMIN
33	53162 62222	   	176.46	DCR|2VULN|2DMG|1AART|1FLTHEA	1LHND|2CGEN|35VULN|48DMG|6AART|7RCR|9FLTHEA|aBEXP
34	23133 73472	   	176.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1CGEN|2MBVNT|36VULN|4DUR|5AART|7aDMG|8ZMB|9RCR
35	53162 62223	   	176.36	DCR|2VULN|2DMG|1AART|1FLTHEA	1LHND|2CGEN|35VULN|48DMG|6AART|7RCR|9FLTHEA|aDUST
36	12662 72222	   	176.26	DCR|2VULN|2DMG|1AART|1FLTHEA	1DMSP|2LEGI|3MBVNT|45VULN|6AART|7RCR|8aDMG|9FLTHEA
37	23128 82282	 * 	175.98	DCR|4VULN|1AART|1DMG	1CGEN|2MBVNT|369aVULN|4AART|5ERES|7RCR|8DMG
38	63128 32282	   	175.98	DCR|4VULN|1AART|1DMG	1MLV|2MBVNT|369aVULN|4AART|56ERES|6BPWR|7RCR|8DMG
39	42431 21521	   	175.75	DCR|2VULN|2DMG|1AART|2DUR	15DUR|2LHND|3LIT|45VULN|5BPWR|6RCR|7RMIN|8aDMG|9AART
40	42326 13262	   	175.67	DCR|3DMG|2AART|1VULN|1DUR	1DUR|2LHND|3CGEN|45AART|6VULN|78aDMG|9RCR
41	42431 23521	   	175.65	DCR|2VULN|2DMG|1AART|2DUR	15DUR|2LHND|3LIT|45VULN|5BPWR|6RCR|7ERES|8aDMG|9AART
42	42232 51111	   	175.53	ACR|3DMG|1AART|1VULN|2DUR	17DUR|2LHND|3AART|4RCR|57MLV|679DMG|7BPWR|8VULN|aRMIN
43	42232 51113	   	175.53	ACR|3DMG|1AART|1VULN|2DUR	17DUR|2LHND|3AART|4RCR|57MLV|679DMG|7BPWR|8VULN|aFEWX
44	42232 51115	   	175.53	ACR|3DMG|1AART|1VULN|2DUR	17DUR|2LHND|3AART|4RCR|57MLV|679DMG|7BPWR|8VULN|aCGEN
45	42232 51116	   	175.53	ACR|3DMG|1AART|1VULN|2DUR	17DUR|2aLHND|3AART|4RCR|57MLV|679DMG|7BPWR|8VULN
