0	Index      	 *	Score 	Summary	Detail	
1	52216 33262	 * 	211.25	DCR|3VULN|3DMG|1AART|2DUR	149DMG|2AART|34DUR|4BPWR|57aVULN|6RCR|8BEXP
2	52216 33325	   	206.60	DCR|3VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57aVULN|6RCR|8DMSP|9ZMB
3	52236 33262	   	205.86	DCR|3VULN|3DMG|1AART|1DUR	149DMG|2AART|3DUR|57aVULN|6RCR|8BEXP
4	52216 33251	   	204.60	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8BEXP|9CDMG|aZMB
5	52216 33326	   	204.60	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8DMSP|9ZMB|aCDMG
6	52214 13162	   	204.10	DCR|3DMG|2VULN|1AART|2DUR|1ZMB	149DMG|2AART|34DUR|4BPWR|5ZMB|6aVULN|7RCR|8TLV
7	52216 33135	   	202.54	DCR|3VULN|2DMG|1AART|2DUR|1ASPD	14DMG|2AART|34DUR|4BPWR|57aVULN|6RCR|8ASPD|9BELT
8	52216 33361	   	202.54	DCR|3DMG|2VULN|1AART|2DUR|1ASPD	149DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8DMSP|aASPD
9	52215 32432	 * 	202.25	DCR|3DMG|2AART|2VULN|2DUR	145DMG|26AART|34DUR|4BPWR|7FEWX|8RCR|9aVULN
10	52215 31432	   	202.15	DCR|3DMG|2AART|2VULN|2DUR	145DMG|26AART|34DUR|4BPWR|7DUST|8RCR|9aVULN
11	52236 33325	   	201.21	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2AART|3DUR|57aVULN|6RCR|8DMSP|9ZMB
12	52216 33163	   	200.54	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ASPD	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8ASPD|9CDMG|aLHND
13	52216 33161	   	200.44	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ASPD	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8ASPD|9CDMG|aTLV
14	52216 33162	   	200.44	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ASPD	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8ASPD|9CDMG|aERES
15	52216 33342	 * 	199.42	DCR|3VULN|2DMG|1AART|3DUR	14DMG|2AART|349DUR|4BPWR|57aVULN|6RCR|8DMSP
16	52216 33261	 * 	199.42	DCR|3DMG|2VULN|1AART|3DUR	149DMG|2AART|34aDUR|4BPWR|57VULN|6RCR|8BEXP
17	52236 33251	   	199.21	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8BEXP|9CDMG|aZMB
18	52236 33326	   	199.21	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8DMSP|9ZMB|aCDMG
19	52234 13162	   	198.71	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	149DMG|2AART|3DUR|5ZMB|6aVULN|7RCR|8TLV
20	52331 62431	   	198.42	DCR|3DMG|2VULN|1AART|2ASPD|1ZMB	168DMG|2AART|3RPLT|4ZMB|58VULN|78ASPD|8BPWR|9LWND|aRCR
21	52216 33116	   	198.23	DCR|2AART|2VULN|2DMG|2DUR|1ASPD	14DMG|2aAART|34DUR|4BPWR|57VULN|6RCR|8ASPD|9ERES
22	52215 33433	   	198.21	DCR|3DMG|2AART|1VULN|1CDMG|2DUR	145DMG|26AART|34DUR|4BPWR|7VULN|8RCR|9TLV|aCDMG
23	52216 33324	   	197.89	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1ASPD	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8DMSP|9ZMB|aASPD
24	52236 33135	   	197.15	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2AART|3DUR|57aVULN|6RCR|8ASPD|9BELT
25	52236 33361	   	197.15	DCR|3DMG|2VULN|1AART|1ASPD|1DUR	149DMG|2AART|3DUR|57VULN|6RCR|8DMSP|aASPD
26	52211 13331	   	197.02	DCR|3DMG|2VULN|1AART|3DUR	149DMG|2AART|349DUR|49BPWR|5MLV|6aVULN|7RCR|89LSRREG
27	52235 32432	   	196.85	DCR|3DMG|2AART|2VULN|1DUR	145DMG|26AART|3DUR|7FEWX|8RCR|9aVULN
28	52235 31432	   	196.75	DCR|3DMG|2AART|2VULN|1DUR	145DMG|26AART|3DUR|7DUST|8RCR|9aVULN
29	52216 33231	   	195.60	DCR|3VULN|2DMG|1AART|2DUR	14DMG|2AART|34DUR|4BPWR|57aVULN|6RCR|8BEXP|9LIT
30	52216 33363	   	195.60	DCR|3DMG|2VULN|1AART|2DUR	149DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8DMSP|aLIT
31	52216 33431	   	195.60	DCR|3VULN|2DMG|1AART|2DUR	14DMG|2AART|34DUR|4BPWR|57aVULN|6RCR|8LHND|9LIT
32	52216 33531	   	195.60	DCR|3VULN|2DMG|1AART|2DUR	14DMG|2AART|34DUR|4BPWR|57aVULN|6RCR|8LWND|9LIT
33	52236 33261	   	195.50	DCR|3DMG|2VULN|1AART|2DUR	149DMG|2AART|3aDUR|57VULN|6RCR|8BEXP
34	52216 33263	   	195.50	DCR|3DMG|2VULN|1AART|2DUR	149DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8BEXP|aERES
35	52216 33315	   	195.50	DCR|3VULN|2DMG|1AART|2DUR	14DMG|2AART|34DUR|4BPWR|57aVULN|6RCR|8DMSP|9TLV
36	52216 33335	   	195.50	DCR|3VULN|2DMG|1AART|2DUR	14DMG|2AART|34DUR|4BPWR|57aVULN|6RCR|8DMSP|9ERES
37	52216 33362	   	195.50	DCR|3DMG|2VULN|1AART|2DUR	149DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8DMSP|aBASHEA
38	52236 33163	   	195.14	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9CDMG|aLHND
39	52236 33161	   	195.04	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9CDMG|aTLV
40	52236 33162	   	195.04	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8ASPD|9CDMG|aERES
41	52611 13331	   	194.42	DCR|3DMG|2VULN|1AART|1CDMG	149DMG|2AART|3LEGI|49BPWR|5MLV|69VULN|7RCR|89LSRREG|aCDMG
42	52631 13331	   	194.42	DCR|3DMG|2VULN|1AART|1CDMG	149DMG|2AART|3LEGI|5MLV|69VULN|7RCR|89LSRREG|9BPWR|aCDMG
43	52321 14253	   	194.12	DCR|3VULN|3DMG|1AART	14aDMG|2AART|39RPLT|5aERES|67aVULN|8RCR|aBPWR
44	52322 24253	   	194.12	DCR|3VULN|3DMG|1AART	14aDMG|2AART|39RPLT|57aVULN|6aERES|8RCR|aBPWR
45	22121 32144	 * 	194.03	ACR|3VULN|2DMG|2AART	135LIT|2RCR|49DMG|679VULN|8aAART|9BPWR
46	52321 14223	   	194.02	DCR|3VULN|3DMG|1AART	14aDMG|2AART|3RPLT|59aERES|67aVULN|8RCR|aBPWR
47	52322 24223	   	194.02	DCR|3VULN|3DMG|1AART	14aDMG|2AART|3RPLT|57aVULN|69aERES|8RCR|aBPWR
48	52216 33253	   	193.60	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8BEXP|9CDMG|aLIT
49	52216 33252	   	193.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8BEXP|9CDMG|aDUST
50	52216 33316	   	193.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8DMSP|9TLV|aCDMG
51	52216 33336	   	193.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8DMSP|9ERES|aCDMG
52	52233 22435	   	193.40	DCR|3DMG|2VULN|1AART|2DUR	147DMG|2AART|37DUR|57LHND|6RCVC|7BPWR|8RCR|9aVULN
53	52216 33115	   	193.40	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8aASPD|9ERES
54	52211 13435	   	193.20	DCR|3VULN|2DMG|1AART|2DUR	14DMG|2AART|34DUR|4BPWR|5MLV|68aVULN|7RCR|9BELT
55	52211 13165	   	193.10	DCR|3DMG|2VULN|1AART|2DUR	149DMG|2AART|34DUR|4BPWR|5MLV|6aVULN|7RCR|8TLV
56	52236 33116	   	192.84	DCR|2AART|2VULN|2DMG|1DUR|1ASPD	14DMG|2aAART|3DUR|57VULN|6RCR|8ASPD|9ERES
57	52235 33433	   	192.82	DCR|3DMG|2AART|1VULN|1CDMG|1DUR	145DMG|26AART|3DUR|7VULN|8RCR|9TLV|aCDMG
58	54321 63232	   	192.60	DCR|3DMG|2VULN|1AART|2DUR	128DMG|28BPWR|38BEXP|4MBVNT|58DUR|6RCR|7AART|9aVULN
59	52236 33324	   	192.49	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	14DMG|2AART|3DUR|57VULN|6RCR|8DMSP|9ZMB|aASPD
60	52611 13332	   	192.21	DCR|3DMG|2AART|2VULN	149DMG|2aAART|3LEGI|49BPWR|5MLV|69VULN|7RCR|89LSRREG
61	52631 13332	   	192.21	DCR|3DMG|2AART|2VULN	149DMG|2aAART|3LEGI|5MLV|69VULN|7RCR|89LSRREG|9BPWR
62	52213 34335	   	191.39	DCR|2AART|2DMG|2VULN|2DUR	14DMG|2aAART|34DUR|4BPWR|5LHND|6RCR|7LWND|89VULN
63	52216 33234	   	191.39	DCR|2AART|2VULN|2DMG|2DUR	14DMG|2aAART|34DUR|4BPWR|57VULN|6RCR|8BEXP|9LIT
64	52211 13463	   	191.20	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14DMG|2AART|34DUR|4BPWR|5MLV|68VULN|7RCR|9CDMG|aLHND
65	52211 13461	   	191.10	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14DMG|2AART|34DUR|4BPWR|5MLV|68VULN|7RCR|9CDMG|aTLV
66	52211 13462	   	191.10	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14DMG|2AART|34DUR|4BPWR|5MLV|68VULN|7RCR|9CDMG|aERES
67	52216 32421	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|59VULN|6RCR|7BEXP|8ZMB|aCGEN
68	52216 32422	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|59VULN|6RCR|7BEXP|8ZMB|aMLV
69	52216 32423	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|59VULN|6RCR|7BEXP|8ZMB|aBELT
70	52216 33211	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8BEXP|9ZMB|aCGEN
71	52216 33212	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8BEXP|9ZMB|aMLV
