0	Index      	 *	Score 	Summary	Detail	
1	14225 42131	 * 	211.64	ACR|2VULN|2DMG|2AART|3CDMG|2ZMB	137CDMG|23VULN|37BPWR|47ZMB|5RCR|67DMG|8RPLT|9aAART
2	23336 31364	 * 	211.59	ACR|3VULN|3DMG|1AART|3DUR	19aDMG|29aDUR|38LWND|4RCR|5AART|6CGEN|79aVULN|9aBPWR
3	23336 31563	   	207.57	ACR|3VULN|3DMG|1AART|2DUR	19aDMG|29DUR|3LWND|4RCR|5AART|6CGEN|789VULN|9BPWR
4	14225 42333	   	207.13	ACR|2VULN|2DMG|3CDMG|1AART|2ZMB|1ASPD	137CDMG|23VULN|37BPWR|47ZMB|5RCR|67DMG|8LHND|9AART|aASPD
5	26212 32536	 * 	206.06	DCR|4VULN|2DMG|1AART|2ZMB|1DUR	12DMG|3569VULN|46ZMB|6BPWR|7DUR|8AART|aRCR
6	14223 42613	 * 	204.01	DCR|4VULN|2DMG|3CDMG|1ZMB|1DUR	137CDMG|2378VULN|37BPWR|4ZMB|5FEWX|67DMG|9DUR|aRCR
7	14225 42332	   	201.50	ACR|2VULN|2DMG|3CDMG|1AART|2ZMB	137CDMG|23VULN|37BPWR|47ZMB|5RCR|67DMG|8LHND|9AART|aRCVC
8	26212 12436	 * 	200.66	DCR|3VULN|2DMG|2AART|1ZMB|1DUR	12DMG|359VULN|4ZMB|67AART|8DUR|aRCR
9	14225 42132	   	200.19	ACR|2VULN|2DMG|3CDMG|1AART|2ZMB	137CDMG|23VULN|37BPWR|47ZMB|5RCR|67DMG|8RPLT|9AART|aBEXP
10	14225 42133	   	200.19	ACR|2VULN|2DMG|3CDMG|1AART|2ZMB	137CDMG|23VULN|37BPWR|47ZMB|5RCR|67DMG|8RPLT|9AART|aLWND
11	26212 33536	   	199.12	DCR|4VULN|2DMG|1AART|2ZMB	12DMG|3569VULN|46ZMB|6BPWR|7BEXP|8AART|aRCR
12	26242 12214	 * 	198.76	DCR|3VULN|3DMG|1AART|1DUR	12aDMG|35aVULN|4TLV|6AART|7DUR|8RCR|9aFEWX|aBPWR
13	26242 12224	   	198.76	DCR|3VULN|3DMG|1AART|1DUR	12aDMG|35aVULN|4TLV|6AART|7DUR|8RCR|9aLHND|aBPWR
14	26212 12625	 * 	197.77	DCR|3DMG|2VULN|2AART|2ZMB	129DMG|35VULN|49ZMB|67AART|89MGNLIT|9BPWR|aRCR
15	26212 32113	   	195.31	DCR|4VULN|2DMG|2ZMB|1CDMG|1DUR	12DMG|3568VULN|46ZMB|6BPWR|7DUR|9CDMG|aRCR
16	35452 32113	   	195.31	DCR|4VULN|2DMG|2ZMB|1CDMG|1DUR	1258VULN|26BPWR|36ZMB|46DMG|7DUR|9CDMG|aRCR
17	14225 12143	 * 	195.03	ACR|5VULN|1AART|2CDMG|1ZMB	13CDMG|2368aVULN|3BPWR|4ZMB|5RCR|7MLV|9AART
18	14225 23126	   	194.30	ACR|2VULN|1AART|1DMG|2CDMG|1FLTHEA|1ZMB|1DUR	13CDMG|23VULN|3BPWR|4ZMB|5RCR|6FLTHEA|7AART|8LWND|9DUR|aDMG
19	14225 21141	 * 	194.05	ACR|4VULN|3CDMG|2ASPD|1FLTHEA|1ZMB	139CDMG|239aVULN|39BPWR|4ZMB|5RCR|6FLTHEA|7RCVC|89ASPD
20	26212 14252	   	194.01	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	12DMG|35aVULN|4ZMB|6AART|7LHND|8RCR|9DUR
21	14253 23235	 * 	193.73	DCR|3VULN|1AART|1DMG|2CDMG|1FLTHEA|1DUR	13CDMG|239VULN|3BPWR|4DUR|5DMG|6FLTHEA|7AART|8RMIN|aRCR
22	14225 42112	 * 	193.65	ACR|3DMG|2VULN|3CDMG|2ZMB	137CDMG|23VULN|37BPWR|47ZMB|5RCR|67aDMG|8RPLT|9RCVC
23	14253 23335	   	193.63	DCR|3VULN|1AART|1DMG|2CDMG|1FLTHEA|1DUR	13CDMG|239VULN|3BPWR|4DUR|5DMG|6FLTHEA|7AART|8TLV|aRCR
24	25212 32536	   	192.18	DCR|4VULN|1AART|1DMG|2ZMB|1DUR	1DMG|2RCVC|3569VULN|46ZMB|6BPWR|7DUR|8AART|aRCR
25	26212 14243	   	192.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	12DMG|35VULN|4ZMB|6AART|7LHND|8RCR|9CDMG|aDUR
26	23336 31363	   	191.92	ACR|3DMG|2VULN|1AART|2DUR	19aDMG|29DUR|38LWND|4RCR|5AART|6CGEN|79VULN|9BPWR
27	23336 51362	   	191.92	ACR|3VULN|2DMG|1AART|2DUR	19DMG|29DUR|38LWND|4RCR|5AART|6MLV|79aVULN|9BPWR
28	23336 31561	   	191.82	ACR|3VULN|2DMG|1AART|2DUR	19DMG|29DUR|3LWND|4RCR|5AART|6CGEN|789VULN|9BPWR|aAIRHEA
29	23336 31562	   	191.82	ACR|3VULN|2DMG|1AART|2DUR	19DMG|29DUR|3LWND|4RCR|5AART|6CGEN|789VULN|9BPWR|aTLV
30	12526 12143	 * 	191.52	DCR|3DMG|2VULN|3CDMG|2ZMB	157CDMG|2LIT|347DMG|67ZMB|7BPWR|8RCR|9aVULN
31	26216 22315	   	191.46	DCR|3DMG|2VULN|2CDMG|2DUR|1ZMB	127DMG|37VULN|4ZMB|5LHND|67CDMG|7BPWR|8aDUR|9RCR
32	14225 23412	 * 	190.30	ACR|3VULN|3CDMG|1AART|1FLTHEA|1ZMB	139CDMG|238VULN|3BPWR|4ZMB|5RCR|6FLTHEA|7AART|aRCVC
33	14225 42121	 * 	189.92	ACR|2VULN|2DMG|3ZMB|3CDMG	137CDMG|23VULN|37BPWR|479ZMB|5RCR|67DMG|8RPLT|aLHND
34	14225 42122	   	189.92	ACR|2VULN|2DMG|3ZMB|3CDMG	137CDMG|23VULN|37BPWR|479ZMB|5RCR|67DMG|8RPLT|aFEWX
35	14225 42123	   	189.92	ACR|2VULN|2DMG|3ZMB|3CDMG	137CDMG|23VULN|37BPWR|479ZMB|5RCR|67DMG|8RPLT|aLWND
36	14225 23235	   	189.89	ACR|3VULN|1AART|2CDMG|1FLTHEA|1ZMB|1ASPD	13CDMG|239VULN|3BPWR|4ZMB|5RCR|6FLTHEA|7AART|8RMIN|aASPD
37	14253 13633	   	189.88	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	13CDMG|236VULN|3BPWR|4DUR|5DMG|7ZMB|8BELT|9AART|aRCR
38	14225 23335	   	189.79	ACR|3VULN|1AART|2CDMG|1FLTHEA|1ZMB|1ASPD	13CDMG|239VULN|3BPWR|4ZMB|5RCR|6FLTHEA|7AART|8TLV|aASPD
39	14225 23211	   	189.19	ACR|3VULN|3CDMG|1AART|1FLTHEA|1ZMB	13aCDMG|23aVULN|3aBPWR|4ZMB|5RCR|6FLTHEA|7AART|8RMIN|9aBEXP
40	26222 14633	   	189.11	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	124DMG|38VULN|5DUST|6AART|7DUR|9ZMB|aRCR
41	14225 23411	   	188.89	ACR|3VULN|3CDMG|1AART|1FLTHEA|1ZMB	139CDMG|238VULN|3BPWR|4ZMB|5RCR|6FLTHEA|7AART|aMBVNT
42	14225 23413	   	188.89	ACR|3VULN|3CDMG|1AART|1FLTHEA|1ZMB	139CDMG|238VULN|3BPWR|4ZMB|5RCR|6FLTHEA|7AART|aDUST
43	26216 22512	   	188.57	DCR|3DMG|2VULN|2CDMG|1ZMB|1DUR	127DMG|37VULN|4ZMB|5LHND|67CDMG|7BPWR|8RCR|9RMIN|aDUR
44	26262 32511	   	188.57	DCR|3DMG|2VULN|2CDMG|1ZMB|1ASPD	127DMG|37VULN|4BEXP|5ASPD|67CDMG|7BPWR|8RCR|9RMIN|aZMB
45	26262 32521	   	188.57	DCR|3DMG|2VULN|2CDMG|1ZMB|1ASPD	127DMG|37VULN|4BEXP|5ASPD|67CDMG|7BPWR|8RCR|9LWND|aZMB
46	35335 12313	   	188.47	DCR|4VULN|2DMG|2ZMB|1CDMG	1257VULN|27BPWR|38LHND|47ZMB|67DMG|9CDMG|aRCR
47	26212 33113	   	188.37	DCR|4VULN|2DMG|2ZMB|1CDMG	12DMG|3568VULN|46ZMB|6BPWR|7BEXP|9CDMG|aRCR
48	26212 36113	   	188.37	DCR|4VULN|2DMG|2ZMB|1CDMG	12DMG|3568VULN|46ZMB|6BPWR|7LWND|9CDMG|aRCR
