0	Index      	 *	Score 	Summary	Detail	
1	54162 32131	 * 	208.39	ACR|3VULN|2DMG|1AART|2CDMG|1DUR	19aVULN|2RPLT|3RCR|49DMG|5DUR|6AART|7BEXP|89CDMG|9BPWR
2	54161 32131	   	201.45	ACR|3VULN|2DMG|1AART|2CDMG	19aVULN|2RPLT|3RCR|49DMG|5LHND|6AART|7BEXP|89CDMG|9BPWR
3	54162 32132	 * 	198.77	ACR|2VULN|2DMG|3CDMG|1AART|1DUR	19VULN|2RPLT|3RCR|49DMG|5DUR|6AART|7BEXP|89aCDMG|9BPWR
4	54162 32133	   	198.03	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	19VULN|2RPLT|3RCR|49DMG|5aDUR|6AART|7BEXP|89CDMG|9BPWR
5	23222 34616	 * 	196.94	ACR|3VULN|3DMG|1AART	1NUKE|2AART|3MBVNT|4RCR|589DMG|68aVULN|78LWND|8BPWR
6	53361 41232	 * 	196.05	ACR|4VULN|2DMG|2CDMG|1ZMB	189aVULN|2ZMB|38DMG|4TLV|5RCR|6CGEN|78CDMG|8BPWR
7	23227 32215	 * 	195.39	ACR|4VULN|2DMG|1AART	1NUKE|2AART|3MBVNT|4RCR|568aVULN|7aDMG|9aMGNSTR|aBPWR
8	23227 32231	   	195.19	ACR|4VULN|2DMG|1AART	1NUKE|2AART|3MBVNT|4RCR|5689VULN|7aDMG
9	23218 34616	   	194.54	ACR|3VULN|3DMG|1AART	1NUKE|2AART|3MBVNT|489DMG|5RCR|68aVULN|78LWND|8BPWR
10	54163 33231	   	194.54	ACR|3VULN|2DMG|1AART|1CDMG	19aVULN|2RPLT|3RCR|49DMG|5CDMG|6FEWX|7AART|89LHND|9BPWR
11	54163 23231	   	194.44	ACR|3VULN|2DMG|1AART|1CDMG	19aVULN|2RPLT|3RCR|49DMG|5CDMG|6DUST|7AART|89LHND|9BPWR
12	23355 41141	 * 	193.62	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1NUKE|2AART|3aVULN|4DLOT|5CDMG|6MBVNT|7RCR|8aZMB|9aDMG|aBPWR
13	54161 32133	   	192.73	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	19VULN|2RPLT|3RCR|49DMG|5LHND|6AART|7BEXP|89CDMG|9BPWR|aDUR
14	23222 34612	   	192.29	ACR|3DMG|2VULN|1AART|1ZMB	1NUKE|2AART|3MBVNT|4RCR|589DMG|68VULN|78LWND|8BPWR|aZMB
15	23222 34674	   	192.29	ACR|3VULN|2DMG|1AART|1ZMB	1NUKE|2AART|3MBVNT|4RCR|58DMG|689VULN|78LWND|8BPWR|aZMB
16	23222 52826	   	192.09	ACR|3VULN|2DMG|1AART|1ZMB	1NUKE|2AART|3MBVNT|4RCR|57DMG|6ZMB|89aVULN
17	51331 41232	   	192.09	ACR|4VULN|2DMG|2CDMG|1ASPD	189aVULN|2MLV|38DMG|4ASPD|5RCR|6CGEN|78CDMG|8BPWR
