0	Index      	 *	Score 	Summary	Detail	
1	33353 54172	 * 	198.27	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD	17CDMG|27DMG|3ASPD|4MBVNT|5LIT|678VULN|7BPWR|9RCR|aAART
2	33412 21551	   	192.92	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1ASPD	16CDMG|24DMG|38VULN|5ASPD|7AART|9ZMB|aRCR
3	33432 36311	 * 	191.10	DCR|3DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|27aDMG|3VULN|4MLV|57ZMB|6AART|7BPWR|8LHND|9RCR
4	15613 33343	   	187.67	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1FEWX|2CDMG|3ZMB|467DMG|5ASPD|8RCR|9VULN|aAART
5	33462 31421	 * 	187.65	DCR|2VULN|2DMG|2AART|1CDMG|1ASPD	1CDMG|29DMG|34VULN|5ASPD|68AART|7RMIN|aRCR
6	33462 32421	   	187.65	DCR|2VULN|2DMG|2AART|1CDMG|1ASPD	1CDMG|29DMG|34VULN|5ASPD|68AART|7MLV|aRCR
7	61252 32111	 * 	186.80	ACR|3VULN|3DMG|3ASPD	1BELT|2RCVC|3RPLT|49aASPD|5RCR|6BEXP|79aDMG|89aVULN|9aBPWR
8	64361 13111	 * 	186.29	ACR|3VULN|3DMG|2ZMB	1BELT|29aDUST|3RCR|4RPLT|58ZMB|69aDMG|79aVULN|9aBPWR
9	33111 36443	   	182.88	DCR|3DMG|1AART|1VULN|2CDMG|1DUR	15CDMG|246DMG|3DUR|7DUST|8RCR|9VULN|aAART
10	36233 11311	   	182.53	DCR|2DMG|2AART|1VULN|1CDMG|1ZMB	1CDMG|2BEXP|3ZMB|4VULN|5CGEN|6RCR|7aDMG|89AART
11	55233 11311	   	182.53	DCR|2DMG|2AART|1VULN|1CDMG|1ZMB	1BEXP|2CDMG|3ZMB|4VULN|5CGEN|6RCR|7aDMG|89AART
12	33452 12111	 * 	182.36	DCR|2VULN|3ZMB|1AART|1DMG|1CDMG	1CDMG|2DMG|39VULN|457ZMB|6DUST|8RCR|aAART
13	15613 33342	 * 	182.06	DCR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	1FEWX|2CDMG|3ZMB|467DMG|5ASPD|8RCR|9aVULN
14	33465 21321	   	181.92	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	16CDMG|29DMG|34VULN|5RMIN|7AART|8ASPD|aRCR
15	33113 36443	   	181.86	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	1CDMG|246DMG|35DUR|7DUST|8RCR|9VULN|aAART
16	33353 54173	 * 	181.68	DCR|3VULN|2DMG|2CDMG|2ASPD	17CDMG|27DMG|3aASPD|4MBVNT|5LIT|678VULN|7BPWR|9RCR
17	33323 64234	 * 	181.38	DCR|2DMG|2AART|1VULN|2CDMG|1ASPD	19CDMG|29DMG|3ASPD|4BEXP|59LIT|67AART|8RCR|9BPWR|aVULN
18	33462 23321	   	181.22	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	16CDMG|29DMG|34VULN|5ASPD|7ERES|8AART|aRCR
19	23133 31255	 * 	180.94	ACR|4VULN|3DMG	18aLWND|2MLV|389aVULN|4ERES|5RCR|6LIT|78aDMG|8aBPWR
20	33416 12511	   	179.53	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|24aDMG|3VULN|5LWND|6CGEN|7ZMB|8AART|9RCR
21	33452 21321	   	179.18	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB|1ASPD	16CDMG|29DMG|3VULN|45ZMB|7AART|8ASPD|aRCR
22	33411 31532	   	178.78	DCR|3DMG|1AART|1VULN|2CDMG|1ASPD	15CDMG|246DMG|3VULN|7ASPD|8BELT|9AART|aRCR
23	33412 26532	   	178.78	DCR|3DMG|1AART|1VULN|2CDMG|1ASPD	16CDMG|247DMG|3VULN|5ASPD|8BELT|9AART|aRCR
24	33112 43442	   	177.99	DCR|3DMG|2VULN|1CDMG|1ASPD|1DUR	1CDMG|247DMG|3DUR|5ASPD|6CGEN|8RCR|9aVULN
25	33412 43432	   	177.99	DCR|3DMG|2VULN|1CDMG|1ASPD|1DUR	1CDMG|247DMG|3aVULN|5ASPD|6CGEN|8RCR|9DUR
26	33452 31421	 * 	177.98	DCR|2DMG|2AART|1VULN|2ZMB|1CDMG	1CDMG|29DMG|3VULN|45ZMB|68AART|7RMIN|aRCR
27	33452 32421	   	177.98	DCR|2DMG|2AART|1VULN|2ZMB|1CDMG	1CDMG|29DMG|3VULN|45ZMB|68AART|7MLV|aRCR
28	33336 36341	 * 	177.66	DCR|3DMG|2VULN|2ASPD|1CDMG	1CDMG|256DMG|3aASPD|4MLV|79VULN|8RCR
29	33346 11141	   	177.66	DCR|2DMG|2AART|1VULN|1CDMG|1ASPD	1CDMG|27DMG|3ASPD|4VULN|58DUST|6RCR|9aAART
30	33111 36442	 * 	177.27	DCR|3DMG|2VULN|2CDMG|1DUR	15CDMG|246DMG|3DUR|7DUST|8RCR|9aVULN
31	33336 13346	   	176.67	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|257DMG|3ASPD|4MLV|6FEWX|8RCR|9VULN|aAART
32	33336 23346	   	176.67	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|257DMG|3ASPD|4MLV|6LWND|8RCR|9VULN|aAART
33	33341 34421	 * 	176.57	DCR|2DMG|2AART|1VULN|1CDMG|2ASPD	1CDMG|29DMG|37ASPD|4VULN|5ERES|68AART|aRCR
34	33316 13346	   	176.57	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|257DMG|3ASPD|4TLV|6FEWX|8RCR|9VULN|aAART
35	33316 23346	   	176.57	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|257DMG|3ASPD|4TLV|6LWND|8RCR|9VULN|aAART
36	33336 36327	   	176.57	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4MLV|7VULN|8RCR|9MBVNT|aAART
37	33336 36336	   	176.57	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4MLV|7VULN|8RCR|9DUST|aAART
38	33113 36442	   	176.25	DCR|3DMG|2VULN|1CDMG|2DUR	1CDMG|246DMG|35DUR|7DUST|8RCR|9aVULN
39	33462 31521	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|29DMG|34VULN|5ASPD|6AART|7RMIN|8RCVC|aRCR
40	33462 32521	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|29DMG|34VULN|5ASPD|6AART|7MLV|8RCVC|aRCR
41	33462 34321	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|29DMG|34VULN|5ASPD|6AART|78CGEN|aRCR
42	33465 31321	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|29DMG|34VULN|57RMIN|6AART|8ASPD|aRCR
43	33412 35331	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|24DMG|38VULN|5ASPD|6AART|7MGNLIT|9BASHEA|aRCR
44	33411 36423	   	175.84	DCR|3DMG|1AART|1VULN|2CDMG	15CDMG|246DMG|3VULN|7DUST|8RCR|9MBVNT|aAART
45	33432 36312	   	175.44	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|27DMG|3VULN|4MLV|57ZMB|6AART|7BPWR|8LHND|9RCR|aFEWX
46	33432 36313	   	175.44	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|27DMG|3VULN|4MLV|57ZMB|6AART|7BPWR|8LHND|9RCR|aRCVC
47	33432 36314	   	175.44	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|27DMG|3VULN|4MLV|57ZMB|6AART|7BPWR|8LHND|9RCR|aRMIN
48	33432 36316	   	175.44	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|27DMG|3VULN|4MLV|57ZMB|6AART|7BPWR|8LHND|9RCR|aBEXP
