0	Index      	 *	Score 	Summary	Detail	
1	61114 21214	 * 	194.62	DCR|3VULN|2DMG|1AART|3DUR	13DMG|234DUR|3BPWR|5LIT|6RCR|789VULN|aAART
2	13352 53323	 * 	193.92	DCR|3VULN|2DMG|1AART|1CDMG	1CGEN|2LHND|3AART|4CDMG|56DMG|7RCR|89aVULN
3	61125 32226	   	192.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	13DMG|23DUR|3BPWR|4DUST|59VULN|6AART|7CDMG|8ZMB|aRCR
4	13352 43333	 * 	189.71	DCR|2AART|2DMG|2VULN|1CDMG	1CGEN|2LHND|36AART|4CDMG|59DMG|7RCR|8aVULN
5	13352 53322	   	189.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CGEN|2LHND|3AART|4CDMG|56DMG|7RCR|89VULN|aZMB
6	62521 23234	 * 	188.57	DCR|2VULN|2DMG|3CDMG|1AART|1SELL	15DMG|235CDMG|4SELL|5BPWR|6RCR|7DUST|89VULN|aAART
7	62521 24211	 * 	187.84	DCR|3DMG|3CDMG|1AART|1VULN|1SELL	157DMG|235CDMG|4SELL|57BPWR|6RCR|8AART|9DUST|aVULN
8	13352 43323	 * 	187.78	DCR|3VULN|2AART|1DMG|1CDMG	1CGEN|2LHND|36AART|4CDMG|5DMG|7RCR|89aVULN
9	61435 33333	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2DUR|36CGEN|4AART|5CDMG|7RCR|8aVULN
10	13352 53332	 * 	183.27	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2LHND|3AART|4CDMG|569DMG|7RCR|8VULN|aDUR
11	13352 53334	   	183.27	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CGEN|2LHND|3AART|4CDMG|569DMG|7RCR|8VULN|aASPD
12	13352 43322	   	183.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CGEN|2LHND|36AART|4CDMG|5DMG|7RCR|89VULN|aZMB
13	13352 43332	   	183.13	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1CGEN|2LHND|36AART|4CDMG|59DMG|7RCR|8VULN|aZMB
14	41412 63121	 * 	182.98	DCR|5VULN|1AART|2DUR	1AART|28ERES|3589aVULN|4BELT|68DUR|7RCR|8BPWR
15	61435 33323	   	182.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|36CGEN|4AART|5CDMG|7RCR|89aVULN
16	61115 42222	   	181.96	DCR|2VULN|2DMG|1AART|3DUR	13DMG|234DUR|3BPWR|5AART|6RCR|7aVULN|8LIT|9CGEN
17	61115 42231	   	181.96	DCR|2VULN|2DMG|1AART|3DUR	13DMG|234DUR|3BPWR|5AART|6RCR|7aVULN|8LIT|9DMSP
18	61115 42311	   	181.96	DCR|2VULN|2DMG|1AART|3DUR	13DMG|234DUR|3BPWR|5AART|6RCR|7aVULN|8RCVC|9LIT
19	43223 16363	 * 	181.94	DCR|2AART|2VULN|1DMG|2CDMG	14AART|2LIT|3aCDMG|5DUST|6RCR|78VULN|9DMG
20	61115 41333	   	181.86	DCR|2VULN|2DMG|1AART|3DUR	13DMG|234DUR|3BPWR|5AART|6RCR|7RPLT|8ERES|9aVULN
21	62125 34131	 * 	181.86	DCR|2VULN|2DMG|3CDMG|3DUR	17DMG|27aCDMG|3TLV|4DUST|57aDUR|6RCR|7aBPWR|8FEWX|9aVULN
22	62125 34231	   	181.86	DCR|2VULN|2DMG|3CDMG|3DUR	17DMG|27aCDMG|3TLV|4DUST|57aDUR|6RCR|7aBPWR|8LHND|9aVULN
23	41412 63131	 * 	181.60	DCR|4VULN|2AART|2DUR	19AART|28ERES|358aVULN|4BELT|68DUR|7RCR|8BPWR
24	11143 22355	   	181.25	DCR|3VULN|2DMG|1CDMG|2DUR	1CGEN|2aDUR|3LWND|4CDMG|59aVULN|6RCR|7ERES|8aDMG|aBPWR
25	61114 21622	   	180.16	DCR|2VULN|2DMG|1AART|3DUR	13DMG|234DUR|3BPWR|5LIT|6RCR|7aVULN|8AART|9CGEN
26	61114 21631	   	180.16	DCR|2VULN|2DMG|1AART|3DUR	13DMG|234DUR|3BPWR|5LIT|6RCR|7aVULN|8AART|9DMSP
27	61115 42131	 * 	180.03	DCR|3DMG|1AART|1VULN|3DUR	13aDMG|234DUR|3BPWR|5AART|6RCR|7VULN|8CGEN|9FEWX
28	61115 42211	   	180.03	DCR|3DMG|1AART|1VULN|3DUR	13aDMG|234DUR|3BPWR|5AART|6RCR|7VULN|8LIT|9FEWX
29	62251 21141	 * 	179.77	DCR|3DMG|2VULN|2CDMG|1DUR	139DMG|2aCDMG|4DUR|5aVULN|6DMSP|7RCR|8aERES|aBPWR
30	62256 22231	   	178.65	DCR|3DMG|2VULN|1CDMG|2DUR	13aDMG|2CDMG|4aDUR|5DUST|6LEGI|7RCR|8ERES|9aVULN|aBPWR
31	13352 33333	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	16CGEN|2LHND|3AART|4CDMG|59DMG|7RCR|8aVULN
32	13352 53324	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2LHND|3AART|4CDMG|56DMG|7RCR|89VULN|aFEWX
33	61114 21611	   	178.23	DCR|3DMG|1AART|1VULN|3DUR	13aDMG|234DUR|3BPWR|5LIT|6RCR|7VULN|8AART|9FEWX
34	13352 53321	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2LHND|3AART|4CDMG|56DMG|7RCR|89VULN|aMBVNT
35	12262 34242	   	178.14	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1CGEN|2CDMG|37DMG|4ASPD|5DUR|6RCR|8aVULN|9ZMB
36	12225 34363	 * 	178.12	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	17CGEN|27CDMG|38DMG|4DUST|57DUR|6RCR|7BPWR|9AART|aVULN
37	63121 53123	 * 	178.08	DCR|2VULN|2DMG|1AART|2CDMG	13DMG|23LHND|3BPWR|49CDMG|57VULN|6LIT|8RCR|aAART
