0	Index      	 *	Score 	Summary	Detail	
1	22243 42521	 * 	190.52	DCR|3VULN|2DMG|1AART|1CDMG	1aBEXP|23aVULN|4CDMG|5AART|6RPLT|7LHND|8RCR|9aDMG|aBPWR
2	62241 24133	 * 	186.51	DCR|4VULN|1DMG|1CDMG|1FLTHEA|2DUR	15DUR|2379VULN|4CDMG|6DMG|8RCR|aFLTHEA
3	22242 31154	   	183.47	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1BEXP|237VULN|4CDMG|5ASPD|6ZMB|8DMG|9AART|aRCR
4	62211 21134	 * 	180.92	DCR|4VULN|2DMG|3DUR	169DUR|239aVULN|4BEXP|56LHND|69BPWR|79DMG|8RCR
5	62235 21134	   	180.92	DCR|4VULN|2DMG|3DUR	169DUR|239aVULN|4LHND|56BEXP|69BPWR|79DMG|8RCR
6	62251 21134	   	180.92	DCR|4VULN|2DMG|3DUR	169DUR|239aVULN|4FEWX|56LHND|69BPWR|79DMG|8RCR
7	62213 51134	   	180.82	DCR|4VULN|2DMG|3DUR	159DUR|239aVULN|4BEXP|6LHND|79DMG|8RCR|9BPWR
8	62221 21134	   	180.82	DCR|4VULN|2DMG|3DUR	169DUR|239aVULN|4DUST|56LHND|69BPWR|79DMG|8RCR
9	62232 21134	   	180.82	DCR|4VULN|2DMG|3DUR	169DUR|239aVULN|4LHND|5LWND|79DMG|8RCR|9BPWR
10	62223 51134	   	180.72	DCR|4VULN|2DMG|3DUR	159DUR|239aVULN|4DUST|6LHND|79DMG|8RCR|9BPWR
11	62234 21134	   	180.72	DCR|4VULN|2DMG|3DUR	169DUR|239aVULN|4LHND|56DUST|69BPWR|79DMG|8RCR
12	62211 21132	 * 	180.46	DCR|3VULN|2DMG|3DUR|1CDMG	169DUR|239VULN|4BEXP|56LHND|69BPWR|79DMG|8RCR|aCDMG
13	62235 21132	   	180.46	DCR|3VULN|2DMG|3DUR|1CDMG	169DUR|239VULN|4LHND|56BEXP|69BPWR|79DMG|8RCR|aCDMG
14	62251 21132	   	180.46	DCR|3VULN|2DMG|3DUR|1CDMG	169DUR|239VULN|4FEWX|56LHND|69BPWR|79DMG|8RCR|aCDMG
15	62213 51132	   	180.36	DCR|3VULN|2DMG|3DUR|1CDMG	159DUR|239VULN|4BEXP|6LHND|79DMG|8RCR|9BPWR|aCDMG
16	62232 21132	   	180.36	DCR|3VULN|2DMG|3DUR|1CDMG	169DUR|239VULN|4LHND|5LWND|79DMG|8RCR|9BPWR|aCDMG
17	62253 51132	   	180.36	DCR|3VULN|2DMG|3DUR|1CDMG	159DUR|239VULN|4FEWX|6LHND|79DMG|8RCR|9BPWR|aCDMG
