0	Index      	 *	Score 	Summary	Detail	
1	33261 13526	 * 	194.35	DCR|2VULN|2DMG|1AART|2CDMG|2DUR|1ASPD	18DUR|28DMG|3ASPD|45VULN|68CDMG|7AART|8BPWR|9LIT|aRCR
2	53428 43444	 * 	193.64	ACR|3VULN|2DMG|1AART|1CDMG	1RPLT|25DMG|3RCR|4MBVNT|67aVULN|8AART|9CDMG
3	53318 73444	 * 	193.22	DCR|3VULN|2DMG|1AART|1CDMG	1RPLT|25DMG|3MBVNT|47aVULN|6RCR|8AART|9CDMG
4	53411 41323	 * 	192.13	ACR|3VULN|3DMG|1CDMG|1ASPD	1RPLT|267DMG|3RCR|47aVULN|57CGEN|7BPWR|8ASPD|9CDMG
5	53413 41323	   	191.93	ACR|3VULN|3DMG|1CDMG|1ASPD	1RPLT|267DMG|3RCR|47aVULN|57ERES|7BPWR|8ASPD|9CDMG
6	53428 43433	 * 	191.43	ACR|3VULN|2DMG|2AART	1RPLT|25DMG|3RCR|4MBVNT|679VULN|8aAART
7	53318 73433	 * 	191.01	DCR|3VULN|2DMG|2AART	1RPLT|25DMG|3MBVNT|479VULN|6RCR|8aAART
8	33252 23641	 * 	185.87	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR|1ZMB	19DUR|28DMG|39ASPD|4CDMG|5RCR|6ZMB|79VULN|9BPWR|aRPLT
9	33252 23642	   	185.87	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR|1ZMB	19DUR|28DMG|39ASPD|4CDMG|5RCR|6ZMB|79VULN|9BPWR|aFEWX
10	33252 23643	   	185.87	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR|1ZMB	19DUR|28DMG|39ASPD|4CDMG|5RCR|6ZMB|79VULN|9BPWR|aMLV
11	33312 63643	 * 	185.16	DCR|3DMG|2VULN|3DUR|1CDMG	19aDUR|289DMG|3BEXP|4CDMG|5RCVC|6RCR|79VULN|9BPWR
