0	Index      	 *	Score 	Summary	Detail	
1	61433 36132	 * 	191.62	DCR|4VULN|2DMG|2ASPD|1ZMB	19ASPD|2ZMB|39DMG|4RMIN|5LEGI|689aVULN|7RCR|9BPWR
2	61324 61311	 * 	190.91	DCR|3VULN|2DMG|2ZMB|1CDMG|1ASPD	1ASPD|29ZMB|3CDMG|4BEXP|59DMG|6RCR|7LWND|89aVULN|9BPWR
3	61324 63311	   	190.81	DCR|3VULN|2DMG|2ZMB|1CDMG|1ASPD	1ASPD|29ZMB|3CDMG|4BEXP|59DMG|6RCR|7DUST|89aVULN|9BPWR
4	32336 43511	 * 	189.43	DCR|4VULN|2DMG|2CDMG	179aVULN|2FEWX|39DMG|4BEXP|5DUST|6RCR|89CDMG|9BPWR
5	32322 25411	   	187.75	DCR|4VULN|2DMG|1CDMG|1DUR	189aVULN|2FEWX|39DMG|4DUR|5CDMG|69LHND|7RCR|9BPWR
6	32322 45411	   	187.75	DCR|4VULN|2DMG|1CDMG|1DUR	189aVULN|2FEWX|39DMG|4DUR|5CDMG|69LWND|7RCR|9BPWR
7	32322 15411	   	187.55	DCR|4VULN|2DMG|1CDMG|1DUR	189aVULN|2FEWX|39DMG|4DUR|5CDMG|69DUST|7RCR|9BPWR
8	22324 23113	 * 	187.31	DCR|3DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|26FEWX|356DMG|4AART|6BPWR|7VULN|8RCR|9ASPD|aCDMG
9	22324 23364	 * 	186.44	DCR|3DMG|2VULN|1AART|1DUR|1ASPD	1DUR|26FEWX|356DMG|4AART|6BPWR|79VULN|8ASPD|aRCR
10	36342 33131	 * 	185.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2DUR|39DMG|4CDMG|5BELT|6RCR|7AART|8CGEN
11	22324 23115	 * 	185.10	DCR|3DMG|2AART|1VULN|1DUR|1ASPD	1DUR|26FEWX|356DMG|4aAART|6BPWR|7VULN|8RCR|9ASPD
12	33511 64122	 * 	184.47	DCR|3VULN|1AART|1DMG|2ZMB|1ASPD	138VULN|2ASPD|45ZMB|6RCR|7AART|9DMG|aFEWX
13	33511 64123	   	184.37	DCR|3VULN|1AART|1DMG|2ZMB|1ASPD	138VULN|2ASPD|45ZMB|6RCR|7AART|9DMG|aERES
14	22324 23133	   	184.06	DCR|3DMG|2VULN|1AART|1DUR|1SELL	1DUR|26FEWX|356DMG|4AART|6BPWR|7aVULN|8RCR|9SELL
15	22324 12154	   	183.56	DCR|3DMG|2AART|1VULN|2DUR	17DUR|2FEWX|357DMG|49AART|67LWND|7BPWR|8RCR|aVULN
16	36342 33111	 * 	183.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	19aVULN|2DUR|3DMG|4CDMG|5BELT|6RCR|7AART|8CGEN
17	36342 33421	   	183.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	18aVULN|2DUR|3DMG|4CDMG|5BELT|6RCR|7AART|9CGEN
18	33214 64124	 * 	182.56	DCR|3VULN|2DMG|2ASPD|1CDMG	18aVULN|2aASPD|3MLV|4CDMG|5aDMG|6RCR|7RPLT|9MBVNT|aBPWR
19	35216 25311	 * 	182.53	DCR|4VULN|1AART|1DMG|1CDMG	1689VULN|2SNIHEL|3FEWX|4AART|5CDMG|7DMG|aRCR
20	33511 64222	 * 	182.47	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	13VULN|2ASPD|45ZMB|6RCR|7AART|8DMG|9MLV|aCDMG
21	61314 63311	 * 	182.19	DCR|3VULN|1DMG|2CDMG|2ASPD|1ZMB	19ASPD|2ZMB|39CDMG|4LEGI|5DMG|6RCR|7DUST|89aVULN|9BPWR
22	32322 15211	   	180.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2FEWX|39DMG|4DUR|5CDMG|689DUST|7RCR|9BPWR|aAART
