0	Index      	 *	Score 	Summary	Detail	
1	22323 61435	 * 	211.69	ACR|4VULN|1AART|3ZMB|3ASPD	1AART|2RCR|38aZMB|48aASPD|5LHND|6ERES|789aVULN|8aBPWR
2	22653 31421	 * 	207.48	ACR|5VULN|2AART|1DMG	1aAART|2RCR|34678VULN|5LHND|9DMG
3	22356 33326	 * 	203.10	ACR|2AART|2DMG|1VULN|1FLTHEA|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6BASICY|7aDMG|8VULN|9FLTHEA
4	22254 22322	 * 	200.24	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUST|468VULN|5BEXP|7CDMG|9aDMG
5	22553 22322	   	200.24	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|3BEXP|468VULN|5DUST|7CDMG|9aDMG
6	22624 22322	   	200.24	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|368VULN|4DUST|5BEXP|7CDMG|9aDMG
7	22353 23435	 * 	197.34	ACR|2AART|2VULN|2DMG|2ZMB	14AART|2RCR|35ZMB|6aVULN|7LIT|89DMG
8	24431 23431	 * 	196.94	ACR|3VULN|2DMG|1AART|2ZMB	1AART|28ZMB|389VULN|4RCR|5MLV|6LHND|78DMG|8BPWR|aLIT
9	24431 23432	   	196.94	ACR|3VULN|2DMG|1AART|2ZMB	1AART|28ZMB|389VULN|4RCR|5MLV|6LHND|78DMG|8BPWR|aCGEN
10	24431 23433	   	196.94	ACR|3VULN|2DMG|1AART|2ZMB	1AART|28ZMB|389VULN|4RCR|5MLV|6LHND|78DMG|8BPWR|aBELT
11	24433 23431	   	196.94	ACR|3VULN|2DMG|1AART|2ZMB	1AART|28ZMB|389VULN|4RCR|5CGEN|6LHND|78DMG|8BPWR|aLIT
12	24433 23432	   	196.94	ACR|3VULN|2DMG|1AART|2ZMB	1AART|28ZMB|389VULN|4RCR|5aCGEN|6LHND|78DMG|8BPWR
13	22653 31114	   	196.85	ACR|4VULN|1AART|1DMG|1CDMG	1AART|2RCR|3467VULN|5LHND|8CDMG|9CGEN|aDMG
14	24433 23433	   	196.84	ACR|3VULN|2DMG|1AART|2ZMB	1AART|28ZMB|389VULN|4RCR|5CGEN|6LHND|78DMG|8BPWR|aERES
15	22254 22323	   	196.75	ACR|4VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUST|468aVULN|5BEXP|7CDMG|9DMG
16	22553 22323	   	196.75	ACR|4VULN|1AART|1DMG|1CDMG	1AART|2RCR|3BEXP|468aVULN|5DUST|7CDMG|9DMG
17	22624 22323	   	196.75	ACR|4VULN|1AART|1DMG|1CDMG	1AART|2RCR|368aVULN|4DUST|5BEXP|7CDMG|9DMG
18	22653 31154	   	196.75	ACR|4VULN|1AART|1DMG|1CDMG	1AART|2RCR|3467VULN|5LHND|8CDMG|9MBVNT|aDMG
19	22352 22422	   	196.38	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	14AART|2RCR|3ZMB|5TLV|6DUR|7CDMG|8VULN|9aDMG
20	22352 22423	   	196.38	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	14AART|2RCR|3ZMB|5TLV|6DUR|7CDMG|8aVULN|9DMG
21	22356 13422	   	196.38	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	14AART|2RCR|3ZMB|5CDMG|6TLV|7DUR|8VULN|9aDMG
22	22356 13423	   	196.38	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	14AART|2RCR|3ZMB|5CDMG|6TLV|7DUR|8aVULN|9DMG
23	22356 24322	   	196.38	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	14AART|2RCR|3ZMB|5CDMG|69VULN|7MBVNT|8DUR|aDMG
24	22653 31422	   	196.03	ACR|5VULN|1AART|1DMG	1AART|2RCR|34678VULN|5LHND|9DMG|aFEWX
25	22653 31423	   	196.03	ACR|5VULN|1AART|1DMG	1AART|2RCR|34678VULN|5LHND|9DMG|aMLV
26	22356 21126	 * 	195.86	ACR|2AART|2DMG|1VULN|2CDMG|1ZMB	14AART|2RCR|3ZMB|5aCDMG|6VULN|79DMG|8BEXP
27	22356 21326	   	195.86	ACR|2AART|2DMG|1VULN|2CDMG|1ZMB	14AART|2RCR|3ZMB|5aCDMG|6VULN|79DMG|8LHND
28	22433 64122	 * 	195.54	ACR|3VULN|1AART|2CDMG|2FLTHEA	1AART|2RCR|34RCVC|59CDMG|69FLTHEA|7RPLT|89aVULN|9BPWR
29	22366 33326	   	195.50	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1FLTHEA	1AART|2RCR|34ZMB|5CDMG|6BASICY|7aDMG|8VULN|9FLTHEA
30	22366 21241	 * 	195.48	ACR|2DMG|1AART|3ZMB|1VULN|1CDMG	1AART|2RCR|348ZMB|5CDMG|6VULN|7aDMG|9BELT
31	22366 21251	   	195.48	ACR|2DMG|1AART|3ZMB|1VULN|1CDMG	1AART|2RCR|348ZMB|5CDMG|6VULN|79DMG|aBEXP
32	22366 21252	   	195.48	ACR|2DMG|1AART|3ZMB|1VULN|1CDMG	1AART|2RCR|348ZMB|5CDMG|6VULN|79DMG|aFEWX
33	22366 22252	 * 	195.48	ACR|2VULN|1AART|3ZMB|1DMG|1CDMG	1AART|2RCR|348ZMB|5CDMG|6aVULN|7MLV|9DMG
34	22366 21253	   	195.38	ACR|2DMG|1AART|3ZMB|1VULN|1CDMG	1AART|2RCR|348ZMB|5CDMG|6VULN|79DMG|aDUST
35	22366 23252	   	195.38	ACR|2VULN|1AART|3ZMB|1DMG|1CDMG	1AART|2RCR|348ZMB|5CDMG|6aVULN|7ERES|9DMG
36	22653 36322	   	194.20	ACR|4VULN|1AART|1DMG|1ZMB	1AART|2RCR|3469VULN|5LHND|7ZMB|8RPLT|aDMG
37	22655 11322	   	194.20	ACR|4VULN|1AART|1DMG|1ZMB	1AART|2RCR|3479VULN|5ZMB|6FEWX|8RPLT|aDMG
38	22663 31114	   	194.20	ACR|3VULN|2AART|1DMG|1CDMG	14AART|2RCR|367VULN|5LHND|8CDMG|9CGEN|aDMG
39	22655 21322	   	194.10	ACR|4VULN|1AART|1DMG|1ZMB	1AART|2RCR|3479VULN|5ZMB|6LEGI|8RPLT|aDMG
40	22655 31322	   	194.10	ACR|4VULN|1AART|1DMG|1ZMB	1AART|2RCR|3479VULN|5ZMB|6DUST|8RPLT|aDMG
41	22663 31154	   	194.10	ACR|3VULN|2AART|1DMG|1CDMG	14AART|2RCR|367VULN|5LHND|8CDMG|9MBVNT|aDMG
42	22356 24424	 * 	193.72	ACR|3AART|2DMG|1VULN|1CDMG|1ZMB	14aAART|2RCR|3ZMB|5CDMG|6VULN|7MBVNT|89DMG
43	22356 33362	 * 	193.72	ACR|3AART|2VULN|1DMG|1CDMG|1ZMB	149AART|2RCR|3ZMB|5CDMG|6BASICY|7DMG|8aVULN
44	22353 23422	   	193.40	ACR|2AART|2VULN|1DMG|2ZMB|1CDMG	14AART|2RCR|35ZMB|6aVULN|7LIT|8DMG|9CDMG
45	22366 24424	   	193.30	ACR|2AART|2DMG|1VULN|2ZMB|1CDMG	1aAART|2RCR|34ZMB|5CDMG|6VULN|7MBVNT|89DMG
46	22356 33325	   	192.45	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	14AART|2RCR|3ZMB|5CDMG|6BASICY|7DMG|8VULN|9FLTHEA|aASPD
47	22356 25113	   	192.08	ACR|3VULN|2AART|1CDMG|1ZMB|1ASPD	14AART|2RCR|3ZMB|5CDMG|68aVULN|7FEWX|9ASPD
48	22324 62352	   	191.98	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1AART|2RCR|3ZMB|4ASPD|5DUR|6BEXP|7CDMG|8VULN|9aDMG
49	22324 62353	   	191.98	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2RCR|3ZMB|4ASPD|5DUR|6BEXP|7CDMG|8aVULN|9DMG
50	22325 62352	   	191.98	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1AART|2RCR|3ZMB|4ASPD|5BEXP|6DUR|7CDMG|8VULN|9aDMG
51	22325 62353	   	191.98	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2RCR|3ZMB|4ASPD|5BEXP|6DUR|7CDMG|8aVULN|9DMG
52	22356 24324	   	191.98	ACR|3VULN|2AART|1CDMG|1ZMB|1DUR	14AART|2RCR|3ZMB|5CDMG|69aVULN|7MBVNT|8DUR
53	22356 33322	   	191.82	ACR|2AART|1VULN|2CDMG|1DMG|1FLTHEA|1ZMB	14AART|2RCR|3ZMB|5aCDMG|6BASICY|7DMG|8VULN|9FLTHEA
54	22621 23436	   	191.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2RCR|38VULN|4DUST|5RMIN|68CGEN|78DMG|8BPWR|9DUR|aCDMG
55	22333 61435	   	191.63	ACR|4VULN|1AART|3ZMB	1AART|2RCR|38aZMB|4RMIN|5LHND|68aERES|789aVULN|8aBPWR
56	22663 36322	   	191.55	ACR|3VULN|2AART|1DMG|1ZMB	14AART|2RCR|369VULN|5LHND|7ZMB|8RPLT|aDMG
57	22665 11322	   	191.55	ACR|3VULN|2AART|1DMG|1ZMB	14AART|2RCR|379VULN|5ZMB|6FEWX|8RPLT|aDMG
58	22665 21322	   	191.45	ACR|3VULN|2AART|1DMG|1ZMB	14AART|2RCR|379VULN|5ZMB|6LEGI|8RPLT|aDMG
59	22665 31322	   	191.45	ACR|3VULN|2AART|1DMG|1ZMB	14AART|2RCR|379VULN|5ZMB|6DUST|8RPLT|aDMG
60	55241 22332	 * 	191.37	DCR|3VULN|2DMG|1AART|1ZMB	19FEWX|2LSRHEA|3AART|49DMG|5ZMB|6MLV|7RCR|89aVULN|9BPWR
61	22323 61434	   	191.07	ACR|3VULN|1AART|3ZMB|2ASPD	1AART|2RCR|38aZMB|48ASPD|5LHND|6ERES|789VULN|8BPWR
62	22254 22222	 * 	190.90	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2RCR|3DUST|46VULN|5BEXP|78CDMG|9aDMG
63	22553 22222	   	190.90	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2RCR|3BEXP|46VULN|5DUST|78CDMG|9aDMG
64	22624 22222	   	190.90	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2RCR|36VULN|4DUST|5BEXP|78CDMG|9aDMG
65	24431 62322	   	190.89	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2ZMB|38VULN|4RCR|5MLV|6BEXP|7CDMG|9aDMG
66	24433 62322	   	190.89	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2ZMB|38VULN|4RCR|5CGEN|6BEXP|7CDMG|9aDMG
67	24432 51322	 * 	190.70	ACR|3VULN|2AART|1DMG|2ZMB	15AART|26ZMB|369VULN|4RCR|6BPWR|7BEXP|8RPLT|aDMG
68	22631 33626	   	190.14	ACR|4VULN|1AART|1DMG|1DUR	1AART|2RCR|3689VULN|4RPLT|5FEWX|7DUR|aDMG
69	22631 33652	   	190.14	ACR|4VULN|1AART|1DMG|1DUR	1AART|2RCR|368aVULN|4RPLT|5FEWX|7DUR|9DMG
70	22242 33626	   	190.04	ACR|4VULN|1AART|1DMG|1DUR	1AART|2RCR|3DUST|4RPLT|5689VULN|7DUR|aDMG
71	22242 33652	   	190.04	ACR|4VULN|1AART|1DMG|1DUR	1AART|2RCR|3DUST|4RPLT|568aVULN|7DUR|9DMG
72	22324 13626	   	189.77	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD|1DUR	17AART|2RCR|3ZMB|4ASPD|5DUR|6RPLT|89VULN|aDMG
73	22324 13652	   	189.77	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD|1DUR	17AART|2RCR|3ZMB|4ASPD|5DUR|6RPLT|8aVULN|9DMG
74	22653 32532	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2RCR|346VULN|5LHND|7ERES|8CDMG|9DUR|aDMG
75	22356 21122	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8BEXP|aFEWX
76	22356 21123	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8BEXP|aLHND
77	22356 21124	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8BEXP|aLIT
78	22356 21132	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7aDMG|8BEXP|9MLV
79	22356 21133	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7DMG|8BEXP|9MLV
80	22356 21162	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7aDMG|8BEXP|9CGEN
81	22356 21163	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7DMG|8BEXP|9CGEN
82	22356 21322	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8LHND|aFEWX
83	22356 21323	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8aLHND
84	22356 21324	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8LHND|aLIT
85	22356 21332	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7aDMG|8LHND|9MLV
86	22356 21333	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7DMG|8LHND|9MLV
87	22356 21362	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7aDMG|8LHND|9CGEN
88	22356 21363	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7DMG|8LHND|9CGEN
89	22356 21412	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|68VULN|7DMG|9CGEN|aLWND
90	22356 21413	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|68VULN|7DMG|9CGEN|aRPLT
91	22356 21422	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|68VULN|7DMG|9LHND|aFEWX
92	22356 21423	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|68VULN|7DMG|9aLHND
93	22356 21522	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8LWND|aFEWX
94	22356 21523	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8LWND|aLHND
95	22356 21532	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7aDMG|8LWND|9MLV
96	22356 21533	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7DMG|8LWND|9MLV
97	22356 22122	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7MLV|8BEXP|9aDMG
98	22356 22123	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7MLV|8BEXP|9DMG
99	22356 22522	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7MLV|8LWND|9aDMG
100	22356 22523	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7MLV|8LWND|9DMG
101	22356 25122	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|68VULN|7FEWX|9LHND|aDMG
102	22352 11114	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5TLV|67VULN|8CDMG|9CGEN|aDMG
103	22356 21121	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8BEXP|aDUST
104	22356 21125	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8BEXP|aERES
105	22356 21152	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7aDMG|8BEXP|9TLV
106	22356 21153	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7DMG|8BEXP|9TLV
107	22356 21321	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8LHND|aDUST
108	22356 21325	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8LHND|aERES
109	22356 21352	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7aDMG|8LHND|9TLV
110	22356 21353	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7DMG|8LHND|9TLV
111	22356 21421	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|68VULN|7DMG|9LHND|aDUST
112	22356 21432	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|68VULN|7DMG|9TLV|aLWND
113	22356 21433	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|68VULN|7DMG|9TLV|aRPLT
114	22356 21521	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8LWND|aDUST
115	22356 21622	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8DUST|aFEWX
116	22356 21623	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|79DMG|8DUST|aLHND
117	22356 21632	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7aDMG|8DUST|9MLV
118	22356 21633	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7DMG|8DUST|9MLV
119	22356 22322	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7MLV|8LEGI|9aDMG
120	22356 22323	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7MLV|8LEGI|9DMG
121	22356 22622	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7MLV|8DUST|9aDMG
122	22356 22623	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7MLV|8DUST|9DMG
123	22356 23122	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7ERES|8BEXP|9aDMG
124	22356 23123	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7ERES|8BEXP|9DMG
125	22356 23522	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7ERES|8LWND|9aDMG
126	22356 23523	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7ERES|8LWND|9DMG
127	22356 24122	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|68VULN|7MBVNT|9LHND|aDMG
128	22356 24142	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|68VULN|7MBVNT|9FEWX|aDMG
