0	Index      	 *	Score 	Summary	Detail	
1	25121 51612	 * 	224.70	ACR|3VULN|3DMG|2ASPD|1AART|1AAC	18ASPD|2TLV|378VULN|4RCR|5AAC|68aDMG|8BPWR|9AART
2	25121 51621	 * 	216.77	ACR|4VULN|3DMG|2ASPD|1AAC	18ASPD|2TLV|3789VULN|4RCR|5AAC|68aDMG|8BPWR
3	21335 26622	 * 	216.27	DCR|3ASPD|2VULN|1DMG|2ZMB|2DUR	124ASPD|39VULN|5ERES|69DUR|7RCR|89ZMB|9BPWR|aDMG
4	21332 26623	 * 	214.14	DCR|3VULN|3ASPD|2DUR|2ZMB	124ASPD|39aVULN|5CGEN|69DUR|7RCR|89ZMB|9BPWR
5	41321 51334	 * 	213.37	DCR|4VULN|1MDPS|1AART|1DMG|1CDMG|1AAC	1MDPS|2347VULN|5AAC|6DMG|8RCR|9AART|aCDMG
6	41321 51332	 * 	213.19	DCR|4VULN|2AART|1MDPS|1DMG|1AAC	1MDPS|2347VULN|5AAC|6DMG|8RCR|9aAART
7	24551 12133	 * 	212.91	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|2CDMG|3ZMB|4aVULN|5SPLARM|6RCR|7AART|8LIT|9RMIN
8	22322 43335	 * 	211.66	DCR|3VULN|2DMG|2ASPD	19ASPD|26BEXP|39aVULN|4CGEN|5TLV|7RCR|89DMG|9BPWR
9	22322 63335	   	211.66	DCR|3VULN|2DMG|2ASPD	19ASPD|2BEXP|39aVULN|46CGEN|5TLV|7RCR|89DMG|9BPWR
10	25152 13335	   	211.56	DCR|3VULN|2DMG|2ASPD	19ASPD|25TLV|39aVULN|4BEXP|6CGEN|7RCR|89DMG|9BPWR
11	41363 22223	 * 	211.54	DCR|4VULN|1MDPS|2ASPD|2CDMG	1MDPS|239aVULN|4CGEN|5RPLT|69CDMG|79ASPD|8RCR|9BPWR
12	51121 51612	   	210.58	ACR|3VULN|3DMG|1AART|1ASPD|1AAC	18AME|2ASPD|378VULN|4RCR|5AAC|68aDMG|8BPWR|9AART
13	41323 23634	 * 	209.95	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1MDPS|234VULN|5DMSP|6ASPD|7RCR|8ZMB|9AART|aCDMG
14	41323 23632	 * 	209.78	DCR|3VULN|2AART|1MDPS|1ASPD|1ZMB	1MDPS|234VULN|5DMSP|6ASPD|7RCR|8ZMB|9aAART
15	41432 31422	 * 	209.56	DCR|3VULN|1MDPS|2DMG|2ASPD	1MDPS|269VULN|39BEXP|4aASPD|56DMG|69BPWR|79ERES|8RCR
16	24551 11133	 * 	209.30	DCR|1SPLARM|2VULN|2ASPD|1CDMG|1AAC|1ZMB	17ASPD|2CDMG|3ZMB|48VULN|5SPLARM|6RCR|9MULARM|aAAC
17	25121 51611	   	209.05	ACR|3VULN|2DMG|2ASPD|1AART|1AAC	18ASPD|2TLV|378VULN|4RCR|5AAC|68DMG|8BPWR|9AART|aBEXP
18	25121 51613	   	209.05	ACR|3VULN|2DMG|2ASPD|1AART|1AAC	18ASPD|2TLV|378VULN|4RCR|5AAC|68DMG|8BPWR|9AART|aLIT
19	24353 11142	 * 	208.16	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	13ASPD|2CDMG|4DUR|5AART|6MDPS|7RCR|8VULN|9DMG|aRMIN
