0	Index      	 *	Score 	Summary	Detail	
1	33633 24324	 * 	197.58	DCR|4VULN|3DMG|2ZMB	1DMSP|259DMG|3SNIHEL|49ZMB|689aVULN|7RCR|9BPWR
2	33125 11145	 * 	191.72	DCR|3VULN|3DMG|1AART	1DMSP|249DMG|35aVULN|6AART|7RPLT|8RCR|aBPWR
3	51151 22243	 * 	191.62	DCR|3DMG|2VULN|1AART|1CDMG	1aVULN|2CGEN|3AART|46aDMG|5CANHEL|7CDMG|8RCR|9aMLV|aBPWR
4	33123 24135	   	187.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1DMSP|24DMG|39VULN|5AART|6DUR|7ZMB|8CDMG|aRCR
5	33126 33262	 * 	186.60	ACR|3VULN|3DMG|2CDMG	1DMSP|24aDMG|38aVULN|5RCR|6ERES|7CGEN|9aCDMG|aBPWR
6	51215 51211	 * 	186.03	ACR|3VULN|2DMG|2AART	178VULN|2CGEN|36DMG|4ERES|5RCR|9aAART
7	35112 33224	   	185.33	ACR|3VULN|2DMG|1AART|1ASPD	1DMSP|2aCGEN|39aVULN|4RCR|5ERES|6ASPD|7AART|8aDMG|aBPWR
8	54233 22235	   	183.73	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36aDMG|4ZMB|5AART|7CDMG|8RCR|9CGEN
9	33151 66232	 * 	183.50	ACR|3VULN|1AART|1DMG|2CDMG|1DUR	1DMSP|2DMG|367VULN|46CDMG|5RCR|6BPWR|8MGNLIT|9DUR|aAART
10	33633 24321	   	183.47	DCR|3VULN|3DMG|2ZMB	1DMSP|259DMG|3SNIHEL|49ZMB|689VULN|7RCR|9BPWR|aCGEN
11	33633 24322	   	183.47	DCR|3VULN|3DMG|2ZMB	1DMSP|259DMG|3SNIHEL|49ZMB|689VULN|7RCR|9BPWR|aRPLT
