0	Index      	 *	Score 	Summary	Detail	
1	24245 23323	 * 	192.22	ACR|2VULN|3ZMB|1AART|1DMG|1CDMG|1ASPD	1aVULN|279ZMB|3ASPD|4CDMG|5RCR|6AART|8DMG
2	24245 21312	 * 	186.28	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB|1ASPD	1aVULN|2ZMB|3ASPD|4CDMG|5RCR|67AART|8DMG|9LHND
3	24245 21333	 * 	186.28	ACR|2DMG|2AART|1VULN|1CDMG|1ZMB|1ASPD	1VULN|2ZMB|3ASPD|4CDMG|5RCR|67AART|8aDMG|9CGEN
4	24214 61322	 * 	186.07	DCR|3VULN|2AART|1DMG|1ZMB|1ASPD	14aVULN|2ZMB|3ASPD|57AART|6RPLT|8DMG|9RCR
5	24245 22231	   	181.78	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	19VULN|2ZMB|3ASPD|4CDMG|5RCR|6AART|7FEWX|8DUR|aDMG
6	14436 13122	 * 	181.37	DCR|4VULN|3ZMB|1DMG	1LWND|256ZMB|3RCVC|456aVULN|56BPWR|7RCR|8DMG|9MLV
7	24324 16111	 * 	180.57	ACR|3VULN|2AART|3ZMB	16aVULN|26aZMB|3BELT|4RCR|5RMIN|6aBPWR|78AART|9aERES
8	24211 12236	 * 	179.25	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	145VULN|2ZMB|3ASPD|6RCR|7ERES|8CDMG|9DUR|aAART
9	24221 52236	   	179.25	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	157VULN|2ZMB|3ASPD|45ERES|5BPWR|6RCR|8CDMG|9DUR|aAART
10	24223 52236	   	179.25	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	157VULN|2ZMB|3ASPD|4ERES|6RCR|8CDMG|9DUR|aAART
11	24245 21323	 * 	179.16	ACR|2AART|1VULN|1DMG|2ZMB|2ASPD|1CDMG	1VULN|29ZMB|3aASPD|4CDMG|5RCR|67AART|8DMG
12	23121 45153	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	179VULN|2LEGI|3FEWX|4DUR|5ZMB|6RCR|8DMG|aAART
13	23221 45153	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	179VULN|2LEGI|3BEXP|4DUR|5ZMB|6RCR|8DMG|aAART
14	24211 13336	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	145VULN|2ZMB|3ASPD|6RCR|7FEWX|8DMG|9ERES|aAART
15	24245 23312	   	178.69	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1aVULN|27ZMB|3ASPD|4CDMG|5RCR|6AART|8DMG|9LHND
16	24245 23333	 * 	178.69	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1ASPD	1VULN|27ZMB|3ASPD|4CDMG|5RCR|6AART|8aDMG|9CGEN
17	24214 63322	 * 	178.47	DCR|3VULN|1AART|1DMG|2ZMB|1ASPD	14aVULN|27ZMB|3ASPD|5AART|6RPLT|8DMG|9RCR
18	24351 23353	   	178.33	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	146VULN|2ZMB|3BELT|5DUR|7RCR|8DMG|9AART|aRCVC
19	24321 34262	 * 	178.16	ACR|3VULN|2DMG|1ZMB|1ASPD|1DUR	17aVULN|2ZMB|3BELT|4RCR|5DUR|69DMG|8ASPD
20	24245 21133	   	177.21	ACR|2AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	1VULN|2ZMB|3aASPD|4CDMG|5RCR|67AART|8RCVC|9DMG
21	24351 23351	   	177.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	146VULN|2ZMB|3BELT|5DUR|7RCR|8DMG|9AART|aLIT
22	24351 23352	   	177.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	146VULN|2ZMB|3BELT|5DUR|7RCR|8DMG|9AART|aLHND
23	23366 13114	   	176.81	DCR|3VULN|1AART|1DMG|2DUR	179VULN|2LEGI|37DUR|4AART|57LHND|6RCR|7BPWR|8LIT|aDMG
24	24211 34316	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	145VULN|2ZMB|3ASPD|6LWND|7RCR|8DMG|9CGEN|aAART
25	22643 32422	 * 	175.93	ACR|4VULN|1AART|1CDMG|1ASPD	178aVULN|2LHND|3CDMG|4RCR|5BEXP|6AART|9ASPD
26	24211 14233	 * 	175.88	DCR|3VULN|1DMG|2ASPD|1CDMG|1ZMB	145VULN|2ZMB|3aASPD|6RCR|7RMIN|8CDMG|9DMG
