0	Index      	 *	Score 	Summary	Detail	
1	51123 42215	 * 	195.00	ACR|3VULN|2DMG|1AART|2ZMB|1SELL	1RPLT|26aVULN|3RCR|4SELL|56FEWX|6aBPWR|7aZMB|8AART|9aDMG
2	51123 23535	 * 	194.30	ACR|3DMG|2VULN|1AART|2ZMB|1SELL	1RPLT|2aVULN|3RCR|4SELL|5FEWX|6aZMB|78aDMG|9AART|aBPWR
3	32113 61443	 * 	189.63	ACR|3VULN|3DMG|1CDMG|1DUR	189ERES|2DUR|3BELT|4RCR|5RPLT|689DMG|789VULN|89BPWR|aCDMG
4	51217 47241	 * 	187.32	DCR|3DMG|2VULN|1AART|1CDMG	1RPLT|26VULN|3RCVC|4MBVNT|567DMG|6BPWR|8RCR|9CDMG|aAART
5	31611 13145	 * 	185.02	DCR|4VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ASPD|3589VULN|4DMG|6ZMB|7AART|aRCR
6	21614 31355	 * 	183.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|357VULN|4MBVNT|6AART|8RCR|9DMG|aZMB
7	51135 21235	 * 	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|26aVULN|3RCR|4BEXP|5DUR|7DMG|8ZMB|9AART
8	51123 21215	 * 	179.24	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	1RPLT|2aVULN|3RCR|4SELL|5FEWX|6aZMB|7RCVC|8AART|9aDMG|aBPWR
9	51123 23315	 * 	179.24	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	1RPLT|2aVULN|3RCR|4SELL|59FEWX|6aZMB|7aDMG|8AART|aBPWR
10	32112 42144	   	179.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2DUR|3BELT|4RCR|5ZMB|6AART|789VULN|aDMG
11	21614 31358	   	178.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2CDMG|357VULN|4MBVNT|6AART|8RCR|9DMG|aDUR
12	21614 31362	 * 	178.90	DCR|5VULN|1AART|1CDMG	1LHND|2CDMG|3579aVULN|4MBVNT|6AART|8RCR
13	21625 31362	   	178.90	DCR|5VULN|1AART|1CDMG	1LHND|2CDMG|3479aVULN|5MBVNT|6AART|8RCR
14	36226 22511	 * 	178.87	DCR|3VULN|2DMG|3CDMG	13ERES|236CDMG|36BPWR|46aVULN|5RMIN|7RCR|89DMG
15	33113 11422	 * 	178.71	DCR|3VULN|2DMG|1AART|1DUR	17ERES|2RPLT|37DMG|4MBVNT|5AART|678VULN|7BPWR|9DUR|aRCR
16	53113 11422	   	178.71	DCR|3VULN|2DMG|1AART|1DUR	1RPLT|27ERES|37DMG|4MBVNT|5AART|678VULN|7BPWR|9DUR|aRCR
17	33114 48514	 * 	178.34	DCR|3DMG|1AART|1VULN|2CDMG	1ERES|2RPLT|369DMG|4MBVNT|56CDMG|6BPWR|7RCR|8VULN|aAART
18	53114 48514	   	178.34	DCR|3DMG|1AART|1VULN|2CDMG	1RPLT|2ERES|369DMG|4MBVNT|56CDMG|6BPWR|7RCR|8VULN|aAART
19	14611 13135	 * 	177.63	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	19ASPD|258VULN|3MLV|4DMG|6ZMB|7AART|aRCR
20	15611 13135	   	177.63	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	19ASPD|2CGEN|358VULN|4DMG|6ZMB|7AART|aRCR
21	51617 41242	   	177.61	DCR|3VULN|2DMG|1AART|1ASPD	1RPLT|236VULN|4MBVNT|56DMG|6BPWR|7AART|8FEWX|9ASPD|aRCR
22	51617 41342	   	177.61	DCR|3VULN|2DMG|1AART|1ASPD	1RPLT|236VULN|4MBVNT|56DMG|6BPWR|7AART|8BEXP|9ASPD|aRCR
23	51617 41442	   	177.61	DCR|3VULN|2DMG|1AART|1ASPD	1RPLT|236VULN|4MBVNT|56DMG|6BPWR|7AART|8LWND|9ASPD|aRCR
24	31611 13135	   	177.53	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	1ERES|29ASPD|358VULN|4DMG|6ZMB|7AART|aRCR
25	21614 47173	 * 	177.37	DCR|3VULN|3DMG|1CDMG	1aLHND|2CDMG|35aVULN|4MBVNT|67aDMG|8LEGI|9RCR|aBPWR
26	34112 51353	   	177.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1ERES|278VULN|3BELT|4RCR|5ZMB|6DMG|9AART|aDUR
27	51122 31452	 * 	177.24	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1RPLT|27VULN|3RCR|4SELL|5LIT|6aDMG|8CDMG|9AART
28	33113 43481	   	176.86	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|2RPLT|36DMG|4MBVNT|5AART|7RCR|8aVULN|9CDMG
29	33113 53481	   	176.86	DCR|2VULN|2DMG|1AART|1CDMG	16ERES|2RPLT|36DMG|4MBVNT|5AART|6BPWR|7RCR|8aVULN|9CDMG
30	53113 43481	   	176.86	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|2ERES|36DMG|4MBVNT|5AART|7RCR|8aVULN|9CDMG
31	53113 53481	   	176.86	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|26ERES|36DMG|4MBVNT|5AART|6BPWR|7RCR|8aVULN|9CDMG
32	11171 26544	 * 	176.74	DCR|3VULN|1AART|3ASPD|2ZMB	128ASPD|3MBVNT|4AART|58aVULN|68aERES|7RCR|8aBPWR|9aZMB
33	32113 61441	   	175.98	ACR|3VULN|3DMG|1DUR	189ERES|2DUR|3BELT|4RCR|5RPLT|689DMG|789VULN|89BPWR|aLIT
34	32113 61442	   	175.98	ACR|3VULN|3DMG|1DUR	189ERES|2DUR|3BELT|4RCR|5RPLT|689DMG|789VULN|89BPWR|aLWND
35	14611 13621	   	175.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|259VULN|3MLV|4DMG|6ZMB|7AART|8RCR|aBEXP
36	14611 13622	   	175.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|259VULN|3MLV|4DMG|6ZMB|7AART|8RCR|aRMIN
37	14611 13623	   	175.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|259VULN|3MLV|4DMG|6ZMB|7AART|8RCR|aRCVC
38	15611 13621	   	175.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2CGEN|359VULN|4DMG|6ZMB|7AART|8RCR|aBEXP
39	15611 13622	   	175.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2CGEN|359VULN|4DMG|6ZMB|7AART|8RCR|aRMIN
40	15611 13623	   	175.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2CGEN|359VULN|4DMG|6ZMB|7AART|8RCR|aRCVC
41	31611 13621	   	175.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ASPD|359VULN|4DMG|6ZMB|7AART|8RCR|aBEXP
42	31611 13622	   	175.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ASPD|359VULN|4DMG|6ZMB|7AART|8RCR|aRMIN
43	31611 13623	   	175.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ASPD|359VULN|4DMG|6ZMB|7AART|8RCR|aRCVC
44	31611 13626	   	175.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ASPD|359VULN|4DMG|6ZMB|7AART|8RCR|aLWND
45	31611 13625	   	175.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1aERES|2ASPD|359VULN|4DMG|6ZMB|7AART|8RCR
46	51123 23531	 * 	174.59	ACR|2VULN|2DMG|1AART|1ZMB|1SELL	1RPLT|2aVULN|3RCR|4SELL|5FEWX|6ZMB|78DMG|9AART
47	32113 61146	 * 	174.32	ACR|4VULN|2DMG|1DUR	19ERES|2DUR|3BELT|4RCR|5RPLT|69DMG|789aVULN|9BPWR
48	32113 61144	   	173.87	ACR|3VULN|2DMG|1CDMG|1DUR	19ERES|2DUR|3BELT|4RCR|5RPLT|69DMG|789VULN|9BPWR|aCDMG
49	21626 63232	 * 	173.82	DCR|4VULN|1AART|1CDMG|1FLTHEA	1LHND|2CDMG|3479VULN|5LIT|6FLTHEA|8AART|aRCR
50	31611 13616	   	173.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2ASPD|35VULN|4DMG|6ZMB|7AART|8RCR|9NUKE|aCDMG
