0	Index      	 *	Score 	Summary	Detail	
1	23263 26363	 * 	194.24	ACR|3VULN|3DMG|1AART	19aVULN|2RMIN|39aLWND|4RCR|5BELT|69aDMG|7AART|8LEGI|9aBPWR
2	22428 35142	 * 	193.69	ACR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	178VULN|2LWND|3RCR|4MBVNT|58CDMG|68DMG|8BPWR|9ZMB|aASPD
3	24425 32332	   	189.99	ACR|3DMG|2VULN|1AART|1ZMB	17VULN|2FEWX|3RCR|4MBVNT|578DMG|67LHND|7BPWR|9ZMB|aAART
4	26462 32123	 * 	189.35	ACR|4VULN|1AART|1DMG|1CDMG	1457VULN|247LHND|3RCR|47BPWR|67LWND|8CDMG|9DMG|aAART
5	22432 52123	   	189.25	ACR|4VULN|1AART|1DMG|1CDMG	1457VULN|27LWND|3RCR|67LHND|7BPWR|8CDMG|9DMG|aAART
6	26462 33123	   	189.15	ACR|4VULN|1AART|1DMG|1CDMG	1457VULN|24LHND|3RCR|4BPWR|6LWND|8CDMG|9DMG|aAART
7	22432 22355	   	189.05	ACR|4VULN|1AART|1DMG|1CDMG	1457VULN|2LWND|3RCR|6CGEN|8CDMG|9DMG|aAART
8	22432 53123	   	189.05	ACR|4VULN|1AART|1DMG|1CDMG	1457VULN|2LWND|3RCR|6LHND|8CDMG|9DMG|aAART
9	22425 13374	   	186.93	ACR|3VULN|2DMG|1AART|1ASPD	169VULN|2LWND|3RCR|4MBVNT|5aDMG|7ASPD|8AART
10	21213 26353	 * 	186.92	DCR|3VULN|2DMG|1AART|1CDMG	18aVULN|2RPLT|3CDMG|4aLWND|5BELT|6aDMG|7AART|9RCR|aBPWR
11	22428 35141	   	186.75	ACR|3VULN|2DMG|2CDMG|1ZMB	178VULN|2LWND|3RCR|4MBVNT|58CDMG|68DMG|8BPWR|9ZMB|aBEXP
12	22428 35143	   	186.75	ACR|3VULN|2DMG|2CDMG|1ZMB	178VULN|2LWND|3RCR|4MBVNT|58CDMG|68DMG|8BPWR|9ZMB|aFEWX
13	22428 35144	   	186.75	ACR|3VULN|2DMG|2CDMG|1ZMB	178VULN|2LWND|3RCR|4MBVNT|58CDMG|68DMG|8BPWR|9ZMB|aLIT
14	22431 34114	 * 	185.64	ACR|4VULN|3DMG	1478VULN|28LWND|3RCR|5RPLT|68aDMG|8BPWR|9RCVC
15	64211 32152	 * 	183.93	DCR|3DMG|3ZMB|1VULN|3ASPD	189ASPD|26FEWX|3RCVC|489ZMB|589DMG|7RCR|89BPWR|aVULN
16	63211 52152	   	183.83	DCR|3DMG|3ZMB|1VULN|3ASPD	189ASPD|2DUST|36RCVC|489ZMB|589DMG|7RCR|89BPWR|aVULN
17	22432 52124	 * 	183.64	ACR|4VULN|2DMG|1CDMG	1457VULN|27LWND|3RCR|67LHND|7BPWR|8CDMG|9aDMG
18	22432 22351	   	183.44	ACR|4VULN|2DMG|1CDMG	1457VULN|2LWND|3RCR|6CGEN|8CDMG|9aDMG
19	22432 53124	   	183.44	ACR|4VULN|2DMG|1CDMG	1457VULN|2LWND|3RCR|6LHND|8CDMG|9aDMG
20	24432 22351	   	183.34	ACR|4VULN|2DMG|1CDMG	1457VULN|2FEWX|3RCR|6TLV|8CDMG|9aDMG
21	22431 34125	 * 	182.81	ACR|5VULN|2DMG	1478aVULN|28LWND|3RCR|5RPLT|68DMG|8BPWR|9LHND
22	22433 35353	 * 	182.06	ACR|3VULN|1AART|1DMG|2CDMG	148VULN|28LWND|3RCR|5FEWX|6BEXP|78CDMG|8BPWR|9AART|aDMG
23	22432 12353	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	145VULN|2LWND|3RCR|6DMSP|7ASPD|8CDMG|9DMG|aAART
24	22432 32353	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	145VULN|26LWND|3RCR|7ASPD|8CDMG|9DMG|aAART
25	23261 14363	   	180.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	169VULN|2RMIN|3LWND|4RCR|5DUR|7DMG|8AART|aCDMG
26	22425 13373	   	180.34	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	169VULN|2LWND|3RCR|4MBVNT|5DMG|7ASPD|8AART|aZMB
27	62532 21335	 * 	180.00	DCR|3VULN|3DMG|1ASPD|1DUR	1ASPD|2RMIN|36aVULN|4DLOT|569DMG|6BPWR|7DUR|8RCR
28	21231 61633	   	179.46	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2RPLT|3CDMG|4aDUST|5AART|6RCR|7BELT|8RCVC|9aDMG|aBPWR
29	21231 65533	   	179.46	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2RPLT|3CDMG|4aDUST|5AART|6RCR|7RCVC|8BELT|9aDMG|aBPWR
30	22431 33253	   	179.39	ACR|3VULN|2DMG|1AART	148VULN|2LWND|3RCR|5RPLT|6aDMG|7TLV|9AART
31	24431 33253	   	179.39	ACR|3VULN|2DMG|1AART	148VULN|2FEWX|3RCR|5RPLT|6aDMG|7TLV|9AART
32	22425 15411	   	179.39	ACR|3VULN|2DMG|1AART	16aVULN|2LWND|3RCR|4MBVNT|57DMG|8LIT|9AART
33	22431 33553	   	179.39	ACR|3DMG|2VULN|1AART	14VULN|2LWND|3RCR|5RPLT|68aDMG|7TLV|9AART
34	21231 61433	   	179.36	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2RPLT|3CDMG|48aDUST|5AART|6RCR|7BELT|9aDMG|aBPWR
35	62532 21323	 * 	179.10	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1aASPD|2RMIN|36VULN|4DLOT|56DMG|6BPWR|7DUR|8RCR|9AART
36	24425 32342	   	178.99	ACR|3DMG|2VULN|1AART	17VULN|2FEWX|3RCR|4MBVNT|578DMG|67LHND|7BPWR|9CGEN|aAART
37	21163 63253	   	178.97	DCR|3VULN|2DMG|1AART	148VULN|2RPLT|3LWND|5aDMG|6RCR|7TLV|9AART
