0	Index      	 *	Score 	Summary	Detail	
1	24331 52336	 * 	194.98	DCR|2DMG|3ZMB|1AART|2CDMG|1VULN	19CDMG|24CGEN|379ZMB|59DMG|6RCR|8AART|9BPWR|aVULN
2	24331 52334	   	181.85	DCR|2DMG|3ZMB|1AART|2CDMG|1ASPD	19CDMG|24CGEN|379ZMB|59DMG|6RCR|8AART|9BPWR|aASPD
3	41531 33362	 * 	178.37	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	15aVULN|2MLV|39ASPD|4DMG|6DUR|7AART|8RCR
4	41531 23362	 * 	176.17	DCR|3VULN|2AART|1DMG|1ASPD	15aVULN|2MLV|3ASPD|4DMG|6DUST|79AART|8RCR
5	21331 13322	 * 	175.43	DCR|2DMG|3CDMG|1AART|1VULN	149CDMG|2BEXP|39MLV|5RCVC|6RCR|79DMG|8AART|9BPWR|aVULN
6	24331 52331	   	174.91	DCR|2DMG|3ZMB|1AART|2CDMG	19CDMG|24CGEN|379ZMB|59DMG|6RCR|8AART|9BPWR|aLHND
7	24331 52332	   	174.91	DCR|2DMG|3ZMB|1AART|2CDMG	19CDMG|24aCGEN|379ZMB|59DMG|6RCR|8AART|9BPWR
8	24331 52333	   	174.81	DCR|2DMG|3ZMB|1AART|2CDMG	19CDMG|24CGEN|379ZMB|59DMG|6RCR|8AART|9BPWR|aDUST
9	21136 21346	 * 	173.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|28BEXP|3aVULN|4AART|5MLV|6RCR|7ZMB|9DMG
10	41531 33342	   	173.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	15aVULN|2MLV|3ASPD|4DMG|6DUR|7AART|8RCR|9RCVC
11	21334 13322	   	172.63	DCR|2DMG|3CDMG|1AART|1VULN	149CDMG|2BEXP|39MLV|5DMSP|6RCR|79DMG|8AART|9BPWR|aVULN
12	21321 13323	   	172.37	DCR|2DMG|1AART|1VULN|2CDMG	19CDMG|2BEXP|39MLV|45RCVC|6RCR|79DMG|8AART|9BPWR|aVULN
13	41531 33352	   	171.76	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	15aVULN|2MLV|3ASPD|4DMG|6DUR|7AART|8RCR|9FEWX
14	41531 23342	   	171.66	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	15aVULN|2MLV|3ASPD|4DMG|6DUST|7AART|8RCR|9DUR
15	24331 52353	   	170.88	DCR|3ZMB|1AART|1VULN|1DMG|1CDMG	1CDMG|24CGEN|37aZMB|5DMG|6RCR|8AART|9VULN
16	42683 43131	 * 	170.57	DCR|3VULN|2DMG|1AART	159VULN|2LWND|3MBVNT|46DMG|7AART|8DMSP|aRCR
17	24331 53332	   	170.52	DCR|2DMG|1AART|2CDMG|2ZMB|1DUR	19CDMG|24CGEN|39ZMB|59DMG|6RCR|7RCVC|8AART|9BPWR|aDUR
18	42364 32323	   	169.85	DCR|2VULN|2DMG|1AART|1ASPD	1aVULN|2LWND|3aCGEN|4ASPD|5BELT|6AART|7RCR|8ERES|9aDMG|aBPWR
19	24111 51332	 * 	169.82	DCR|2DMG|1AART|2CDMG|2ASPD|1DUR	19CDMG|27CGEN|39DMG|49ASPD|5RCVC|6RCR|8AART|9BPWR|aDUR
20	21324 13323	   	169.69	DCR|2DMG|1AART|1VULN|2CDMG	19CDMG|2BEXP|39MLV|4RCVC|5DMSP|6RCR|79DMG|8AART|9BPWR|aVULN
21	21351 13323	   	169.39	DCR|2DMG|1AART|1VULN|2CDMG	19CDMG|24BEXP|39MLV|5RCVC|6RCR|79DMG|8AART|9BPWR|aVULN
22	21331 13343	   	169.19	DCR|2DMG|1AART|1VULN|2CDMG	14CDMG|2BEXP|3MLV|5RCVC|6RCR|79DMG|8AART|aVULN
23	21136 21226	 * 	169.07	DCR|3VULN|1AART|1CDMG|1ZMB	1CDMG|2BEXP|39aVULN|4AART|5MLV|6RCR|7ZMB|8CGEN
24	23133 56324	   	169.05	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2LWND|36VULN|4AART|5DUR|7DMG|8ERES|9RCR|aASPD
25	21136 21526	   	168.97	DCR|3VULN|1AART|1CDMG|1ZMB	1CDMG|2BEXP|39aVULN|4AART|5MLV|6RCR|7ZMB|8ERES
26	21135 54451	   	168.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2BEXP|3aVULN|4AART|5MBVNT|6RPLT|7ZMB|8RCR|9DMG
27	21135 54464	   	168.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2BEXP|39VULN|4AART|5MBVNT|6RPLT|7ZMB|8RCR|aDMG
28	42683 43224	 * 	168.56	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2LWND|3MBVNT|46DMG|7AART|8MLV|9CDMG|aRCR
29	24331 51332	   	168.32	DCR|2DMG|1AART|2CDMG|2ZMB|1DUR	19CDMG|247CGEN|39ZMB|59DMG|6RCR|8AART|9BPWR|aDUR
30	41531 33353	   	167.55	DCR|2VULN|2AART|1DMG|1DUR|1ASPD	15VULN|2MLV|3ASPD|4DMG|6DUR|7aAART|8RCR|9FEWX
31	41531 23343	   	167.45	DCR|2VULN|2AART|1DMG|1DUR|1ASPD	15VULN|2MLV|3ASPD|4DMG|6DUST|7aAART|8RCR|9DUR
32	21136 21253	 * 	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2BEXP|3VULN|4aAART|5MLV|6RCR|7ZMB|8CGEN|9DMG
33	21136 21553	   	167.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2BEXP|3VULN|4aAART|5MLV|6RCR|7ZMB|8ERES|9DMG
34	22415 63211	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|3DMG|4FEWX|59VULN|6RCR|7DUR|8AART|aCGEN
35	22415 63212	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|3DMG|4FEWX|59VULN|6RCR|7DUR|8AART|aDMSP
36	22415 63213	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|3DMG|4FEWX|59VULN|6RCR|7DUR|8AART|aRPLT
37	23415 63211	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3DMG|4FEWX|59VULN|6RCR|7DUR|8AART|aCGEN
38	23415 63212	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3DMG|4FEWX|59VULN|6RCR|7DUR|8AART|aDMSP
39	23415 63213	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3DMG|4FEWX|59VULN|6RCR|7DUR|8AART|aRPLT
40	24113 51332	   	167.01	DCR|2DMG|1AART|2CDMG|2ASPD|1DUR	19CDMG|257CGEN|39DMG|49ASPD|6RCR|8AART|9BPWR|aDUR
41	24114 51332	   	167.01	DCR|2DMG|1AART|2CDMG|2ASPD|1DUR	19CDMG|27CGEN|39DMG|49ASPD|5DMSP|6RCR|8AART|9BPWR|aDUR
42	41151 33363	   	167.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	15VULN|2MLV|3TLV|4DMG|6DUR|7AART|8RCR|9ASPD|aZMB
43	41531 33323	   	167.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	15VULN|2MLV|3ASPD|4DMG|6DUR|7AART|8RCR|9ERES|aZMB
44	22425 63211	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|3DMG|4DUST|59VULN|6RCR|7DUR|8AART|aCGEN
45	22425 63212	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|3DMG|4DUST|59VULN|6RCR|7DUR|8AART|aDMSP
46	22425 63213	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|3DMG|4DUST|59VULN|6RCR|7DUR|8AART|aRPLT
47	23425 63211	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3DMG|4DUST|59VULN|6RCR|7DUR|8AART|aCGEN
48	23425 63212	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3DMG|4DUST|59VULN|6RCR|7DUR|8AART|aDMSP
49	23425 63213	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3DMG|4DUST|59VULN|6RCR|7DUR|8AART|aRPLT
50	21132 56363	 * 	166.72	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2BEXP|36VULN|4aAART|5LHND|7DMG|8MLV|9RCR
51	22131 56363	   	166.72	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LHND|36VULN|4aAART|5FEWX|7DMG|8MLV|9RCR
52	23131 56323	   	166.72	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LWND|36VULN|4aAART|5FEWX|7DMG|8MLV|9RCR
53	23134 56323	   	166.72	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LWND|36VULN|4aAART|5BEXP|7DMG|8MLV|9RCR
54	22136 26363	   	166.62	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LHND|35VULN|4aAART|6DUST|7DMG|8MLV|9RCR
55	23131 56523	   	166.62	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LWND|36VULN|4aAART|5FEWX|7DMG|8ERES|9RCR
56	23136 26323	   	166.62	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LWND|35VULN|4aAART|6DUST|7DMG|8MLV|9RCR
57	25136 13523	   	166.62	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2DUST|35VULN|4aAART|6MLV|7DMG|8FEWX|9RCR
58	21264 13323	   	166.59	DCR|2DMG|1AART|1VULN|2CDMG	19CDMG|23BEXP|4DMSP|59MLV|6RCR|79DMG|8AART|9BPWR|aVULN
59	21354 13323	   	166.59	DCR|2DMG|1AART|1VULN|2CDMG	19CDMG|24BEXP|39MLV|5DMSP|6RCR|79DMG|8AART|9BPWR|aVULN
60	23136 26523	   	166.52	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LWND|35VULN|4aAART|6DUST|7DMG|8ERES|9RCR
61	21332 13343	   	166.39	DCR|2DMG|1AART|1VULN|2CDMG	14CDMG|2BEXP|35MLV|6RCR|79DMG|8AART|aVULN
62	21334 13343	   	166.39	DCR|2DMG|1AART|1VULN|2CDMG	14CDMG|2BEXP|3MLV|5DMSP|6RCR|79DMG|8AART|aVULN
63	41151 33342	   	166.32	DCR|3VULN|1AART|1DMG|1DUR	15aVULN|2MLV|3TLV|4DMG|6DUR|7AART|8RCR|9RCVC
64	21131 31443	 * 	166.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	18CDMG|26BEXP|36VULN|4AART|5BELT|6BPWR|7DMG|9DUR|aRCR
65	21131 31553	   	166.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|26BEXP|36VULN|4AART|5BELT|6BPWR|7DMG|8DUR|aRCR
66	44421 22133	 * 	166.19	DCR|5VULN|1AART|1DUR	14579VULN|2DUR|3CGEN|6DUST|8AART|aRCR
67	21321 13343	   	165.85	DCR|2DMG|1AART|1VULN|1CDMG	1CDMG|2BEXP|3MLV|45RCVC|6RCR|79DMG|8AART|aVULN
68	44231 32611	 * 	165.81	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	15VULN|23aDUR|4ASPD|6AART|7LIT|8RCR|9DMG
69	25122 35314	 * 	165.69	DCR|2VULN|1AART|2CDMG|2FLTHEA	1aCDMG|2DUST|3aVULN|4CGEN|5CANSTR|6RCR|7RPLT|8aFLTHEA|9AART|aBPWR
70	22123 12563	   	165.52	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2LHND|37VULN|4CGEN|5DMG|6aAART|8BEXP|9RCR
71	23123 16523	 * 	165.52	DCR|2DMG|2AART|1VULN|1CDMG	1CDMG|2LWND|3VULN|4CGEN|57DMG|6aAART|8BEXP|9RCR
72	41533 33362	   	165.52	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1aVULN|2MLV|39ASPD|4DMG|5RCVC|6DUR|7AART|8RCR
73	21415 33522	   	165.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2BEXP|3DMG|4BELT|5RCVC|68VULN|7ZMB|9RCR|aAART
74	22122 36642	 * 	165.33	DCR|4VULN|1DMG|1CDMG	1CDMG|2LHND|378aVULN|4CGEN|5CANSTR|6RCR|9DMG
75	23122 36642	   	165.33	DCR|4VULN|1DMG|1CDMG	1CDMG|2LWND|378aVULN|4CGEN|5CANSTR|6RCR|9DMG
