0	Index      	 *	Score 	Summary	Detail	
1	32166 21372	 * 	208.94	ACR|4VULN|2DMG|1AART|2ASPD	1MBVNT|2AART|369aVULN|4RCR|59DMG|7LEGI|89ASPD|9BPWR
2	32161 34472	   	207.72	ACR|4VULN|2DMG|1AART|2DUR	1MBVNT|2AART|379aVULN|4RCR|5RMIN|69DMG|89DUR|9BPWR
3	32166 14472	   	207.72	ACR|4VULN|2DMG|1AART|2DUR	1MBVNT|2AART|379aVULN|4RCR|59DMG|6RMIN|89DUR|9BPWR
4	32161 34475	   	204.62	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	1MBVNT|2AART|379VULN|4RCR|5RMIN|69DMG|89DUR|9BPWR|aZMB
5	32111 16647	 * 	202.38	DCR|4VULN|2AART|1DMG|1CDMG	1MBVNT|29AART|3468VULN|4BPWR|5CDMG|7RCR|aDMG
6	32166 21373	   	201.78	ACR|3VULN|2DMG|1AART|2ASPD|1DUR	1MBVNT|2AART|369VULN|4RCR|59DMG|7LEGI|89ASPD|9BPWR|aDUR
7	32114 13672	 * 	199.61	DCR|4VULN|2DMG|1AART|1ASPD	1MBVNT|2AART|349aVULN|49BPWR|5ASPD|69LHND|79DMG|8RCR
8	32114 23672	   	199.61	DCR|4VULN|2DMG|1AART|1ASPD	1MBVNT|2AART|349aVULN|49BPWR|5ASPD|69LWND|79DMG|8RCR
9	32162 35173	 * 	197.44	ACR|3VULN|2DMG|1AART|3DUR	1MBVNT|2AART|39aVULN|4RCR|5LSRICY|69DMG|789DUR|9BPWR
10	32161 34473	   	197.44	ACR|3VULN|2DMG|1AART|3DUR	1MBVNT|2AART|379VULN|4RCR|5RMIN|69DMG|89aDUR|9BPWR
11	32166 14473	   	197.44	ACR|3VULN|2DMG|1AART|3DUR	1MBVNT|2AART|379VULN|4RCR|59DMG|6RMIN|89aDUR|9BPWR
12	32814 13672	 * 	196.95	DCR|3VULN|2AART|2DMG|1ASPD	1MBVNT|23AART|49aVULN|5ASPD|69LHND|79DMG|8RCR|9BPWR
13	32814 23672	   	196.95	DCR|3VULN|2AART|2DMG|1ASPD	1MBVNT|23AART|49aVULN|5ASPD|69LWND|79DMG|8RCR|9BPWR
14	32111 16671	   	195.52	DCR|4VULN|1AART|1CDMG|1FLTHEA|1ZMB	1MBVNT|2AART|3468VULN|4BPWR|5CDMG|7RCR|9FLTHEA|aZMB
15	32161 34372	   	195.49	ACR|4VULN|2DMG|1AART	1MBVNT|2AART|379aVULN|4RCR|5RMIN|69DMG|89LWND|9BPWR
16	32161 34872	   	195.49	ACR|4VULN|2DMG|1AART	1MBVNT|2AART|379aVULN|4RCR|5RMIN|69DMG|89LHND|9BPWR
17	32162 33478	   	195.49	ACR|4VULN|2DMG|1AART	1MBVNT|2AART|389aVULN|4RCR|5LSRICY|69DMG|79LHND|9BPWR
18	32166 14372	   	195.49	ACR|4VULN|2DMG|1AART	1MBVNT|2AART|379aVULN|4RCR|59DMG|6RMIN|89LWND|9BPWR
19	32167 44472	   	195.14	ACR|4VULN|2DMG|1AART|1SELL	1MBVNT|2AART|369aVULN|4RCR|5RPLT|79DMG|8SELL|9BPWR
20	32161 54351	   	195.04	ACR|3VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|37aVULN|4RCR|5RMIN|6CDMG|8aDMG|9aCGEN|aBPWR
21	37741 34472	   	194.89	ACR|4VULN|2DMG|1AART	1MBVNT|29BEXP|3AART|4RCR|5RMIN|69DMG|789aVULN|9BPWR
