0	Index      	 *	Score 	Summary	Detail	
1	53331 32243	 * 	206.98	ACR|3VULN|3DMG|1AART|1ASPD	14LHND|2RCR|34aDMG|4BPWR|5AART|6ASPD|789VULN
2	53331 32246	 * 	202.77	ACR|3VULN|2AART|2DMG|1ASPD	14LHND|2RCR|34DMG|4BPWR|5aAART|6ASPD|789VULN
3	53331 12262	   	200.14	ACR|3VULN|3DMG|1AART	14aLHND|2RCR|34aDMG|4aBPWR|5AART|6RMIN|78aVULN|9NUKE
4	53331 62362	   	200.14	ACR|3VULN|3DMG|1AART	14aLHND|2RCR|34aDMG|4aBPWR|5AART|67aVULN|8RMIN|9NUKE
5	53331 12243	   	200.04	ACR|3VULN|3DMG|1AART	14LHND|2RCR|34aDMG|4BPWR|5AART|6RMIN|789VULN
6	53331 22243	   	200.04	ACR|3VULN|3DMG|1AART	14LHND|2RCR|34aDMG|4BPWR|5AART|6MLV|789VULN
7	53331 62343	   	200.04	ACR|3VULN|3DMG|1AART	14LHND|2RCR|34aDMG|4BPWR|5AART|679VULN|8RMIN
8	13554 33112	 * 	199.74	DCR|3VULN|1AART|2CDMG|1DMG|2ZMB|1ASPD	1aZMB|2DUST|39aVULN|4DMG|5ASPD|6aCDMG|7AART|8RCR|aBPWR
9	53331 62412	   	198.42	ACR|3VULN|2DMG|1AART|2DUR	14aLHND|2RCR|34DMG|4aBPWR|5AART|67aVULN|8aDUR|9RCVC
10	52331 62512	 * 	198.30	DCR|4VULN|2DMG|1AART|2DUR	1LHND|24DUR|34DMG|4BPWR|5AART|6789VULN|aRCR
11	25331 62512	   	198.20	DCR|4VULN|2DMG|1AART|2DUR	14DUR|2LEGI|34DMG|4BPWR|5AART|6789VULN|aRCR
12	21554 33112	   	197.21	DCR|3VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	1aDUR|2RMIN|39aVULN|4DMG|5ASPD|6aCDMG|7AART|8RCR|aBPWR
13	53331 62122	   	196.82	ACR|3VULN|2DMG|1AART|2DUR	148aLHND|2RCR|34DMG|4aBPWR|5AART|67aVULN|9aDUR
14	26353 11126	 * 	196.26	DCR|3VULN|3DMG|1AART|1DUR	1DUR|269VULN|346DMG|5DMSP|6BPWR|7ERES|8RCR|aAART
15	53331 12246	   	195.83	ACR|3VULN|2AART|2DMG	14LHND|2RCR|34DMG|4BPWR|5aAART|6RMIN|789VULN
16	53331 22246	   	195.83	ACR|3VULN|2AART|2DMG	14LHND|2RCR|34DMG|4BPWR|5aAART|6MLV|789VULN
17	53331 62422	   	194.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14LHND|2RCR|34DMG|4BPWR|5AART|67VULN|8aDUR|9CDMG
18	26356 33122	 * 	194.02	DCR|3DMG|1AART|1VULN|2ZMB|1CDMG|2DUR	19DUR|2VULN|349DMG|5BEXP|6CDMG|7AART|89ZMB|9BPWR|aRCR
19	23331 62512	   	193.01	DCR|4VULN|2DMG|1AART|1DUR	1DUR|24LHND|34DMG|4BPWR|5AART|6789VULN|aRCR
20	53141 32243	   	192.43	ACR|3VULN|2DMG|1AART|1ASPD	14LHND|2RCR|3AART|5aDMG|6ASPD|789VULN
21	53161 32243	   	192.43	ACR|3VULN|2DMG|1AART|1ASPD	1LHND|2RCR|3AART|4DMSP|5aDMG|6ASPD|789VULN
22	53331 32241	   	191.33	ACR|3VULN|2DMG|1AART|1ASPD	14LHND|2RCR|34DMG|4BPWR|5AART|6ASPD|789VULN|aFEWX
23	53331 32242	   	191.33	ACR|3VULN|2DMG|1AART|1ASPD	14LHND|2RCR|34DMG|4BPWR|5AART|6ASPD|789VULN|aCGEN
24	53331 32244	   	191.33	ACR|3VULN|2DMG|1AART|1ASPD	14LHND|2RCR|34DMG|4BPWR|5AART|6ASPD|789VULN|aBEXP
25	53331 32223	   	191.23	ACR|3DMG|2VULN|1AART|1ASPD	14LHND|2RCR|34aDMG|4BPWR|5AART|6ASPD|78VULN|9TLV
26	53132 21121	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|2RCR|3AART|4BEXP|5DUR|68DMG|79VULN|aCDMG
27	22121 16326	 * 	189.92	DCR|3VULN|2DMG|1AART|3DUR	189DUR|2AART|349VULN|59DMG|6RMIN|7RPLT|9BPWR|aRCR
28	53331 62522	   	189.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	14LHND|2RCR|34DMG|4BPWR|5AART|67VULN|8LWND|9CDMG|aDUR
29	26121 16326	   	189.32	DCR|3VULN|2DMG|1AART|3DUR	189DUR|249VULN|3AART|59DMG|6RMIN|7RPLT|9BPWR|aRCR
30	53331 62423	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	14LHND|2RCR|34DMG|4BPWR|5AART|67VULN|8DUR|9CDMG|aLEGI
31	53331 33242	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	14LHND|2RCR|34DMG|4BPWR|5AART|6ASPD|7MBVNT|8aVULN|9CDMG
32	53341 12224	 * 	188.80	ACR|4VULN|1AART|1DMG|1ZMB	1LHND|2RCR|3DMG|4789VULN|5CGEN|6ZMB|aAART
33	53631 32243	 * 	188.59	ACR|3VULN|1AART|1DMG|2ZMB|1ASPD	14LHND|2RCR|34ZMB|4BPWR|5AART|6ASPD|789VULN|aDMG
34	53331 62411	   	188.28	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	14LHND|2RCR|34DMG|4BPWR|5AART|67VULN|8DUR|9RCVC|aZMB
35	53132 21126	   	188.22	ACR|2AART|2VULN|2DMG|1DUR	1LHND|2RCR|3aAART|4BEXP|5DUR|68DMG|79VULN
36	26351 36122	   	187.30	DCR|3DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	19DUR|2VULN|349DMG|5AART|6ASPD|7CDMG|89BEXP|9BPWR|aRCR
37	26344 33113	   	187.24	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1DUR|29VULN|3aDMG|4TLV|5ASPD|6CDMG|7AART|8RCR
38	26364 33113	   	187.24	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1DUR|29VULN|3aDMG|4ERES|5ASPD|6CDMG|7AART|8RCR
39	26353 11125	 * 	187.16	DCR|4VULN|3DMG|1DUR	1DUR|269aVULN|346DMG|5DMSP|6BPWR|7ERES|8RCR
40	53331 61362	   	186.69	ACR|3DMG|2VULN|1AART	14aLHND|2RCR|34aDMG|4aBPWR|5AART|6aVULN|7RCVC|8RMIN|9NUKE
41	53331 62121	   	186.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	148LHND|2RCR|34DMG|4BPWR|5AART|67VULN|9DUR|aZMB
42	53331 61343	   	186.59	ACR|3DMG|2VULN|1AART	14LHND|2RCR|34aDMG|4BPWR|5AART|69VULN|7RCVC|8RMIN
43	53331 32221	   	186.57	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	14LHND|2RCR|34DMG|4BPWR|5AART|6ASPD|78VULN|9TLV|aZMB
44	32522 63262	   	186.27	DCR|3VULN|2DMG|1AART	1aBEXP|2AART|3LHND|48aVULN|5RCVC|6RCR|7DMSP|9aDMG|aBPWR
45	53331 62512	   	186.19	ACR|3VULN|2DMG|1AART	14aLHND|2RCR|34DMG|4aBPWR|5AART|67aVULN|8aLWND|9RCVC
46	52331 62412	   	186.10	DCR|3VULN|2DMG|1AART|2DUR	1LHND|24DUR|34DMG|4BPWR|5AART|679VULN|8RCVC|aRCR
47	25331 62412	   	186.00	DCR|3VULN|2DMG|1AART|2DUR	14DUR|2LEGI|34DMG|4BPWR|5AART|679VULN|8RCVC|aRCR
48	52331 62522	   	185.80	DCR|3VULN|2DMG|1AART|2DUR	1LHND|24DUR|34DMG|4BPWR|5AART|678VULN|9RCVC|aRCR
49	25331 62522	   	185.70	DCR|3VULN|2DMG|1AART|2DUR	14DUR|2LEGI|34DMG|4BPWR|5AART|678VULN|9RCVC|aRCR
50	33122 63262	   	185.67	DCR|3VULN|2DMG|1AART	1aBEXP|2LHND|3AART|48aVULN|5RCVC|6RCR|7DMSP|9aDMG|aBPWR
51	33122 65262	   	185.67	DCR|3VULN|2DMG|1AART	1aBEXP|27LHND|3AART|48aVULN|5RCVC|6RCR|9aDMG|aBPWR
52	22121 34841	   	185.66	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2AART|349VULN|5DMG|6ASPD|7MBVNT|8RCR|aZMB
53	53141 12262	   	185.59	ACR|3VULN|2DMG|1AART	14aLHND|2RCR|3AART|5aDMG|6RMIN|78aVULN|9NUKE|aBPWR
54	53161 12262	   	185.59	ACR|3VULN|2DMG|1AART	1aLHND|2RCR|3AART|4DMSP|5aDMG|6RMIN|78aVULN|9NUKE|aBPWR
55	35122 63262	   	185.57	DCR|3VULN|2DMG|1AART	1aBEXP|2LEGI|3AART|48aVULN|5RCVC|6RCR|7DMSP|9aDMG|aBPWR
56	53141 12243	   	185.49	ACR|3VULN|2DMG|1AART	14LHND|2RCR|3AART|5aDMG|6RMIN|789VULN
57	53141 22243	   	185.49	ACR|3VULN|2DMG|1AART	14LHND|2RCR|3AART|5aDMG|6MLV|789VULN
58	53161 12243	   	185.49	ACR|3VULN|2DMG|1AART	1LHND|2RCR|3AART|4DMSP|5aDMG|6RMIN|789VULN
59	53161 22243	   	185.49	ACR|3VULN|2DMG|1AART	1LHND|2RCR|3AART|4DMSP|5aDMG|6MLV|789VULN
