0	Index      	 *	Score 	Summary	Detail	
1	12336 46312	 * 	299.75	紫2基础对甲3攻速2易伤3基地爆炸1伤害	149攻速24a基地爆炸3核49序列升级59基础对甲6金币生成7伤害89易伤
2	12336 46311	   	288.48	紫2基础对甲3攻速2易伤2基地爆炸1伤害	149攻速24基地爆炸3核49序列升级59基础对甲6金币生成7伤害89易伤a额外掉落
3	12336 46313	   	288.48	紫2基础对甲3攻速2易伤2基地爆炸1伤害	149攻速24基地爆炸3核49序列升级59基础对甲6金币生成7伤害89易伤a矿等
4	12336 33166	 * 	286.01	紫3攻速3伤害1基础对甲3基地爆炸	14a攻速24a基地爆炸3核4a序列升级5基础对甲6策反7随机矿89a伤害
5	12336 53216	 * 	281.98	紫2基础对甲3攻速2伤害2基地爆炸	14a攻速24基地爆炸3核4a序列升级5a基础对甲6时间7雷电8a伤害9技能
6	12336 34123	   	281.88	紫2基础对甲3攻速2伤害2基地爆炸	14a攻速24基地爆炸3核4a序列升级5a基础对甲6策反7等级8a伤害9技能
7	12336 11515	   	281.60	紫2基础对甲3攻速3基地爆炸1易伤1全技能	147攻速247基地爆炸3核47序列升级57基础对甲6双倍秒伤8金币生成9易伤a全技能
8	12336 11126	   	280.90	紫2基础对甲3攻速3基地爆炸1伤害1暴击	147攻速247基地爆炸3核47序列升级57基础对甲6双倍秒伤8最后敌人9伤害a暴击
9	12336 11326	   	280.90	紫2基础对甲3攻速3基地爆炸1伤害1暴击	147攻速247基地爆炸3核47序列升级57基础对甲6双倍秒伤8时间9伤害a暴击
10	12336 11216	   	279.50	紫2基础对甲3攻速3基地爆炸1易伤1暴击	147攻速247基地爆炸3核47序列升级57基础对甲6双倍秒伤8等级9易伤a暴击
11	12336 46123	   	278.56	紫3攻速1基础对甲3基地爆炸2伤害	14a攻速24a基地爆炸3核4a序列升级5基础对甲6金币生成7a伤害8核弹9技能
12	12336 42163	   	275.88	紫2基础对甲3攻速2伤害2基地爆炸	14a攻速24基地爆炸3核4a序列升级5a基础对甲6金币生成7立即金币8最后敌人9a伤害
13	12336 42363	   	275.88	紫2基础对甲3攻速2伤害2基地爆炸	14a攻速24基地爆炸3核4a序列升级5a基础对甲6金币生成7立即金币8敌人爆炸9a伤害
14	12336 42263	   	275.78	紫2基础对甲3攻速2伤害2基地爆炸	14a攻速24基地爆炸3核4a序列升级5a基础对甲6金币生成7立即金币8挖尘9a伤害
15	12336 33263	   	273.67	紫2基础对甲3攻速2伤害2基地爆炸	14a攻速24基地爆炸3核4a序列升级5a基础对甲6策反7随机矿8矿等9a伤害
16	12336 33463	   	273.67	紫2基础对甲3攻速2伤害2基地爆炸	14a攻速24基地爆炸3核4a序列升级5a基础对甲6策反7随机矿8金币生成9a伤害
17	12336 51363	   	273.67	紫2基础对甲3攻速2伤害2基地爆炸	14a攻速24基地爆炸3核4a序列升级5a基础对甲6时间7矿等8双倍矿9a伤害
18	12336 24421	   	273.57	紫2基础对甲3攻速2伤害2基地爆炸	149攻速24基地爆炸3核49序列升级59基础对甲6狙击对直升7低血量敌人89伤害a金币生成
19	12336 33363	   	273.57	紫2基础对甲3攻速2伤害2基地爆炸	14a攻速24基地爆炸3核4a序列升级5a基础对甲6策反7随机矿8掉矿9a伤害
20	12336 43363	   	273.57	紫2基础对甲3攻速2伤害2基地爆炸	14a攻速24基地爆炸3核4a序列升级5a基础对甲6金币生成7挖尘8双倍矿9a伤害
21	12336 24422	   	273.47	紫2基础对甲3攻速2伤害2基地爆炸	149攻速24基地爆炸3核49序列升级59基础对甲6狙击对直升7低血量敌人89伤害a挖尘
22	12336 24423	   	273.47	紫2基础对甲3攻速2伤害2基地爆炸	149攻速24基地爆炸3核49序列升级59基础对甲6狙击对直升7低血量敌人89伤害a双倍秒伤
23	12336 11235	   	273.16	紫2基础对甲3攻速3基地爆炸1易伤	147攻速247基地爆炸3核47序列升级57基础对甲6双倍秒伤8等级9技能a易伤
24	12336 61613	 * 	272.00	紫3攻速3易伤1基础对甲3基地爆炸	149攻速249基地爆炸3核49序列升级5基础对甲6等级79a易伤8随机矿
25	12336 36333	   	270.15	紫3攻速1基础对甲3基地爆炸2伤害	148攻速249基地爆炸3核4序列升级5基础对甲6策反7a伤害
