0	Index      	 *	Score 	Summary	Detail	
1	31153 12561	 * 	218.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	14ASPD|2AART|3CDMG|5AELBLL|6RCR|7FEWX|89VULN|aDMG
2	32551 53332	 * 	217.61	DCR|2VULN|2DMG|2ASPD|2CDMG	19ASPD|2CGEN|39VULN|4aCDMG|5MLV|69DMG|7RCR|8RPLT|9BPWR
3	32553 53332	   	217.51	DCR|2VULN|2DMG|2ASPD|2CDMG	19ASPD|2CGEN|39VULN|4aCDMG|5ERES|69DMG|7RCR|8RPLT|9BPWR
4	33553 53332	   	217.51	DCR|2VULN|2DMG|2ASPD|2CDMG	19ASPD|2AME|39VULN|4aCDMG|5ERES|69DMG|7RCR|8RPLT|9BPWR
5	36432 34251	 * 	215.59	ACR|3VULN|2DMG|2ASPD|1AART	1aASPD|2MBVNT|3RCR|47RCVC|56aVULN|8AART|9aDMG|aBPWR
6	12136 45222	 * 	214.18	DCR|2VULN|2AART|2ASPD|1CDMG	1BEXP|2BELT|3aVULN|4CDMG|58AART|6RCR|79ASPD
7	36432 38251	   	214.03	ACR|3VULN|2DMG|2ASPD|1AART	1aASPD|2MBVNT|3RCR|4RCVC|56aVULN|7DMSP|8AART|9aDMG|aBPWR
8	35312 43114	 * 	213.85	DCR|3VULN|2ASPD|1AART|1DMG	17ASPD|2DMG|3LEGI|478CGEN|567VULN|7BPWR|9RCR|aAART
9	35512 13114	 * 	213.71	DCR|2VULN|2DMG|2ASPD|1AART	17ASPD|27DMG|35VULN|48CGEN|67LWND|7BPWR|9RCR|aAART
10	61112 13365	 * 	213.11	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17DMG|2AART|37CDMG|4DUR|5DUST|67TLV|7BPWR|8RCR|9aVULN
11	35512 13222	   	211.61	DCR|2VULN|2DMG|2ASPD|1AART	17ASPD|27DMG|35VULN|4CGEN|67LWND|7BPWR|8AART|9ERES|aRCR
12	35512 13252	   	211.61	DCR|2VULN|2DMG|2ASPD|1AART	17ASPD|27DMG|35VULN|4CGEN|67LWND|7BPWR|8AART|9TLV|aRCR
13	65512 13222	   	211.61	DCR|2VULN|2DMG|2ASPD|1AART	17DMG|27ASPD|35VULN|4CGEN|67LWND|7BPWR|8AART|9ERES|aRCR
14	31153 34513	 * 	211.02	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	146ASPD|2AART|3CDMG|5AELBLL|7DMG|8VULN|9DUR|aRCR
15	32551 53331	   	210.18	DCR|2VULN|2DMG|2ASPD|1CDMG	19ASPD|2CGEN|39VULN|4CDMG|5MLV|69DMG|7RCR|8RPLT|9BPWR|aLHND
16	32553 53331	   	210.08	DCR|2VULN|2DMG|2ASPD|1CDMG	19ASPD|2CGEN|39VULN|4CDMG|5ERES|69DMG|7RCR|8RPLT|9BPWR|aLHND
17	33553 53331	   	210.08	DCR|2VULN|2DMG|2ASPD|1CDMG	19ASPD|2AME|39VULN|4CDMG|5ERES|69DMG|7RCR|8RPLT|9BPWR|aLHND
18	32551 53333	   	210.08	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	19ASPD|2CGEN|39VULN|4CDMG|5MLV|69DMG|7RCR|8RPLT|9BPWR|aSELL
19	32553 53333	   	209.98	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	19ASPD|2CGEN|39VULN|4CDMG|5ERES|69DMG|7RCR|8RPLT|9BPWR|aSELL
20	33553 53333	   	209.98	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	19ASPD|2AME|39VULN|4CDMG|5ERES|69DMG|7RCR|8RPLT|9BPWR|aSELL
21	31112 13365	 * 	209.74	DCR|2VULN|2ASPD|1AART|2CDMG|1DUR	17ASPD|2AART|37CDMG|4DUR|5DUST|67TLV|7BPWR|8RCR|9aVULN
22	65312 43113	 * 	209.29	DCR|4VULN|2DMG|1ASPD	17DMG|2ASPD|3LEGI|478CGEN|567aVULN|7BPWR|9RCR
23	12136 43531	 * 	209.25	DCR|3VULN|1AART|2CDMG|1ASPD	18BEXP|2BELT|38aVULN|48CDMG|5AART|6RCR|7LEGI|8BPWR|9ASPD
24	35512 13113	 * 	207.76	DCR|3VULN|2DMG|2ASPD	17ASPD|27DMG|35aVULN|48CGEN|67LWND|7BPWR|9RCR
25	65512 13113	   	207.76	DCR|3VULN|2DMG|2ASPD	17DMG|27ASPD|35aVULN|48CGEN|67LWND|7BPWR|9RCR
26	35312 43116	   	207.66	DCR|3VULN|2DMG|2ASPD	17ASPD|2aDMG|3LEGI|478CGEN|567VULN|7BPWR|9RCR
27	31123 12561	   	206.84	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2AART|3CDMG|4RCVC|5AELBLL|6RCR|7FEWX|89VULN|aDMG
28	61123 12561	   	206.84	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2AART|3CDMG|4RCVC|5AELBLL|6RCR|7FEWX|89VULN|aASPD
29	11243 26115	 * 	206.62	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG|1DUR	1BEXP|2TSLARM|3AART|49VULN|5SPLARM|6RCR|7DUR|8ASPD|aCDMG
30	13243 26115	   	206.62	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG|1DUR	1BEXP|2MSLFST|3AART|49VULN|5SPLARM|6RCR|7DUR|8ASPD|aCDMG
31	31153 12563	   	206.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	14ASPD|2AART|3CDMG|5AELBLL|6RCR|7FEWX|89VULN|aDUR
32	35235 12233	 * 	206.24	DCR|2VULN|2DMG|3CDMG|1ASPD	1ASPD|26DMG|3DUST|4LWND|568CDMG|6BPWR|7aVULN|9RCR
33	35312 43113	 * 	205.92	DCR|4VULN|2ASPD|1DMG	17ASPD|2DMG|3LEGI|478CGEN|567aVULN|7BPWR|9RCR
34	35512 13116	 * 	205.58	DCR|3DMG|2VULN|2ASPD	17ASPD|27aDMG|35VULN|48CGEN|67LWND|7BPWR|9RCR
35	33513 53253	   	205.39	DCR|2DMG|2ASPD|1AART|1VULN|1DUR|1SELL	19ASPD|29AME|3VULN|4CGEN|5SELL|69DMG|7RCR|8AART|9BPWR|aDUR
36	33613 53253	   	205.29	DCR|2DMG|2ASPD|1AART|1VULN|1DUR|1SELL	19ASPD|29AME|3SELL|4VULN|5ERES|69DMG|7RCR|8AART|9BPWR|aDUR
37	35636 11131	 * 	204.91	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|1AAC	1ASPD|2DMG|3CDMG|4FEWX|5SPLARM|6RCR|79VULN|8LWND|aAAC
38	36763 32344	   	204.02	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB	13ASPD|2MBVNT|4CDMG|5DMG|6BEXP|7VULN|8RCR|9AART|aZMB
39	36763 42344	   	203.92	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB	13ASPD|2MBVNT|4CDMG|5DMG|6DUST|7VULN|8RCR|9AART|aZMB
40	61152 21125	 * 	203.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	19DMG|2AART|3CDMG|4ASPD|5VULN|6FEWX|7DUST|8ZMB|aRCR
41	65235 12233	 * 	202.88	DCR|2VULN|2ASPD|3CDMG|1DMG	1DMG|26ASPD|3DUST|4LWND|568CDMG|6BPWR|7aVULN|9RCR
42	31151 24533	   	202.71	DCR|3ASPD|1AART|1VULN|1DMG|1CDMG	147ASPD|2AART|3CDMG|59LHND|6VULN|8DMG|aRCR
43	36846 44422	   	202.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ASPD|2MBVNT|3RMIN|4DUR|5CDMG|6RCR|7ZMB|8AART|9DMG|aVULN
44	31151 66312	   	202.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	14ASPD|2AART|3CDMG|5LHND|6DMG|7LWND|8RCR|9DUR|aVULN
45	36146 44422	   	202.01	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1ASPD|2MBVNT|3AAC|4DUR|5CDMG|6RCR|7ZMB|8AART|9DMG|aVULN
46	31151 62312	   	202.00	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG|1DUR	14ASPD|2AART|3CDMG|5LHND|6DMG|7DUST|8RCR|9DUR|aVULN
47	31154 62332	   	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	14ASPD|2AART|3CDMG|5DUR|6DMG|7DUST|8RCR|9LWND|aVULN
48	12136 41161	 * 	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|2BELT|39aVULN|4CDMG|5AART|6RCR|7LHND|8DMG
49	12136 41231	   	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1BEXP|2BELT|38aVULN|4CDMG|5AART|6RCR|7LHND|9ASPD
50	12136 42161	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|2BELT|39aVULN|4CDMG|5AART|6RCR|7FEWX|8DMG
51	12136 42231	   	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1BEXP|2BELT|38aVULN|4CDMG|5AART|6RCR|7FEWX|9ASPD
52	12136 43161	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|2BELT|39aVULN|4CDMG|5AART|6RCR|7LEGI|8DMG
53	12136 43231	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG	1BEXP|2BELT|38aVULN|4CDMG|5AART|6RCR|7LEGI|9ASPD
54	35235 12231	 * 	201.52	DCR|3DMG|3CDMG|1VULN|1ASPD	1ASPD|26aDMG|3DUST|4LWND|568CDMG|6BPWR|7VULN|9RCR
55	31123 13654	   	201.09	DCR|2VULN|2ASPD|1AART|1CDMG	1aASPD|2AART|3CDMG|4RCVC|5aAELBLL|6RCR|7ERES|8LIT|9aVULN|aBPWR
56	36146 12346	   	200.77	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR|1AAC	1ASPD|2MBVNT|3AAC|46DUR|56CDMG|6BPWR|7aVULN|8RCR|9AART
57	31123 16653	   	200.67	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1aASPD|2AART|3CDMG|4RCVC|5AELBLL|6RCR|7DMG|8LIT|9VULN
58	11243 26116	   	200.58	DCR|1SPLARM|2VULN|1AART|1ASPD|1AAC|1DUR	1BEXP|2TSLARM|3AART|49VULN|5SPLARM|6RCR|7DUR|8ASPD|aAAC
59	13243 26116	   	200.58	DCR|1SPLARM|2VULN|1AART|1ASPD|1AAC|1DUR	1BEXP|2MSLFST|3AART|49VULN|5SPLARM|6RCR|7DUR|8ASPD|aAAC
60	61121 25363	   	200.51	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2AART|3CDMG|4RCVC|5LHND|69aVULN|7TLV|8RCR
61	35522 25132	 * 	200.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2DMG|357VULN|4AME|6RCVC|8CDMG|9DUR|aRCR
62	11243 26161	 * 	200.33	DCR|1SPLARM|2DMG|1VULN|1AART|1ASPD|1DUR	1BEXP|2TSLARM|3AART|4VULN|5SPLARM|6RCR|7DUR|8ASPD|9aDMG
63	13243 26161	   	200.33	DCR|1SPLARM|2DMG|1VULN|1AART|1ASPD|1DUR	1BEXP|2MSLFST|3AART|4VULN|5SPLARM|6RCR|7DUR|8ASPD|9aDMG
64	65235 12231	 * 	200.08	DCR|2DMG|2ASPD|3CDMG|1VULN	1aDMG|26ASPD|3DUST|4LWND|568CDMG|6BPWR|7VULN|9RCR
65	12136 45232	   	199.96	DCR|2VULN|2AART|1ASPD|1CDMG	19BEXP|2BELT|3aVULN|4CDMG|58AART|6RCR|7ASPD
66	23656 13331	   	199.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|27VULN|3ASPD|4CDMG|5AART|6RMIN|8RCR|9MLV|aDMG
67	11243 21225	 * 	199.89	DCR|3VULN|1SPLARM|1AART|1ASPD	1BEXP|2TSLARM|3AART|49aVULN|5SPLARM|6RCR|7MLV|8ASPD
68	11243 21525	 * 	199.89	DCR|3VULN|1SPLARM|1AART|1DMG	1BEXP|2TSLARM|3AART|49aVULN|5SPLARM|6RCR|7MLV|8DMG
69	11243 24225	   	199.89	DCR|3VULN|1SPLARM|1AART|1ASPD	1BEXP|2TSLARM|3AART|49aVULN|5SPLARM|6RCR|7AME|8ASPD
70	13243 21225	   	199.89	DCR|3VULN|1SPLARM|1AART|1ASPD	1BEXP|2MSLFST|3AART|49aVULN|5SPLARM|6RCR|7MLV|8ASPD
71	13243 21525	   	199.89	DCR|3VULN|1SPLARM|1AART|1DMG	1BEXP|2MSLFST|3AART|49aVULN|5SPLARM|6RCR|7MLV|8DMG
72	13243 24225	   	199.89	DCR|3VULN|1SPLARM|1AART|1ASPD	1BEXP|2MSLFST|3AART|49aVULN|5SPLARM|6RCR|7AME|8ASPD
73	66146 44424	   	199.53	DCR|2DMG|1VULN|1AART|1CDMG|1AAC|1ZMB|1DUR	19DMG|2MBVNT|3AAC|4DUR|5CDMG|6RCR|7ZMB|8AART|aVULN
74	35511 43112	 * 	199.29	DCR|2VULN|2DMG|1MDPS|2ASPD	17ASPD|27DMG|36VULN|48CGEN|57FEWX|7BPWR|9RCR|aMDPS
75	36146 47234	   	198.70	DCR|2ASPD|1VULN|1AART|2CDMG|2DUR|1AAC	18ASPD|2MBVNT|3AAC|48DUR|58CDMG|6RCR|7AART|8BPWR|9MLV|aVULN
76	36146 47242	   	198.70	DCR|2ASPD|1VULN|1AART|2CDMG|2DUR|1AAC	18ASPD|2MBVNT|3AAC|48DUR|58CDMG|6RCR|7AART|8BPWR|9LHND|aVULN
77	36146 47222	   	198.60	DCR|2ASPD|1VULN|1AART|2CDMG|1AAC|2DUR	18ASPD|2MBVNT|3AAC|48DUR|58CDMG|6RCR|7AART|8BPWR|9DUST|aVULN
78	31153 12551	   	198.54	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	14ASPD|2AART|3CDMG|5AELBLL|6RCR|7FEWX|8VULN|9RCVC|aDMG
79	31116 63324	   	198.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	16ASPD|2AART|3CDMG|4DUR|5RPLT|79VULN|8CGEN|aRCR
80	31116 63224	   	198.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	16ASPD|2AART|3CDMG|4DUR|5RPLT|78VULN|9ERES|aRCR
81	11243 21226	   	198.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1BEXP|2TSLARM|3AART|49VULN|5SPLARM|6RCR|7MLV|8ASPD|aCDMG
82	11243 21526	 * 	198.31	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	1BEXP|2TSLARM|3AART|49VULN|5SPLARM|6RCR|7MLV|8DMG|aCDMG
83	11243 23115	   	198.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1BEXP|2TSLARM|3AART|49VULN|5SPLARM|6RCR|7LHND|8ASPD|aCDMG
84	11243 24226	   	198.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1BEXP|2TSLARM|3AART|49VULN|5SPLARM|6RCR|7AME|8ASPD|aCDMG
85	13243 21226	   	198.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1BEXP|2MSLFST|3AART|49VULN|5SPLARM|6RCR|7MLV|8ASPD|aCDMG
86	13243 21526	   	198.31	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	1BEXP|2MSLFST|3AART|49VULN|5SPLARM|6RCR|7MLV|8DMG|aCDMG
87	13243 23115	   	198.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1BEXP|2MSLFST|3AART|49VULN|5SPLARM|6RCR|7LHND|8ASPD|aCDMG
88	13243 24226	   	198.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1BEXP|2MSLFST|3AART|49VULN|5SPLARM|6RCR|7AME|8ASPD|aCDMG
89	66432 63233	 * 	198.13	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG	17DMG|2MBVNT|3RCR|4RCVC|57VULN|6BELT|7BPWR|8CDMG|9ASPD|aAART
