0	Index      	 *	Score 	Summary	Detail	
1	21122 36625	 * 	294.44	DCR|DCR|3VULN|2DUR|1ASPD	19DUR|257VULN|3BBNT|4DUST|6ASPD|8aRCR
2	21122 36635	   	287.79	DCR|DCR|3VULN|1ASPD	1DUR|257VULN|3BBNT|49DUST|6ASPD|8aRCR
3	21115 31251	   	283.14	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	1DUR|2aVULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8BEXP
4	21115 31451	   	283.14	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	1DUR|2aVULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8LWND
5	21115 31651	   	283.04	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	1DUR|2aVULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8DUST
6	11253 23635	   	279.79	DCR|DCR|3VULN|1ASPD	1BBNT|2TLV|359VULN|45CGEN|5BPWR|6BEXP|7ASPD|8aRCR
7	21115 31252	 * 	277.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1DUR|2VULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8BEXP|aDMG
8	21115 31452	 * 	277.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1DUR|2VULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8LWND|aDMG
9	21115 31652	 * 	276.90	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1DUR|2VULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8DUST|aDMG
10	61116 31235	   	275.08	DCR|DCR|2VULN|1MLV|1ASPD	18BEXP|29VULN|3BBNT|4MLV|5CGEN|6ASPD|7aRCR
11	31115 31251	   	274.83	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	1LHND|2aVULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8BEXP
12	31115 31451	   	274.83	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	1LHND|2aVULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8LWND
13	31115 31651	   	274.73	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	1LHND|2aVULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8DUST
14	11253 33625	   	272.50	DCR|DCR|2VULN|2DUR|1ASPD	1BBNT|2TLV|35VULN|45CGEN|5BPWR|69DUR|7ASPD|8aRCR
15	21121 36635	   	272.20	DCR|DCR|2VULN|2DUR|1ASPD	15DUR|27VULN|3BBNT|49DUST|6ASPD|8aRCR
16	21122 32625	   	272.20	DCR|DCR|2VULN|2DUR|1ASPD	19DUR|25VULN|3BBNT|47DUST|6ASPD|8aRCR
17	21122 43625	   	272.20	DCR|DCR|2VULN|2DUR|1ASPD	19DUR|25VULN|3BBNT|46DUST|7ASPD|8aRCR
18	21124 61325	 * 	271.97	DCR|DCR|2VULN|1DMG	1DUR|26VULN|3BBNT|49DUST|5DMG|7aRCR|8ERES
19	41251 32162	 * 	271.81	ACR|DCR|2VULN|1DMG|1MLV|1AART|1RPLT	1aRCR|2RPLT|3BEXP|4DMG|5AART|6ERES|78VULN|9MLV
20	42225 22162	 * 	270.18	ACR|DCR|2DMG|1VULN|2ASPD|1MLV	18RCR|2BELT|37LWND|4AME|57DMG|67ASPD|7BPWR|9VULN|aMLV
21	31115 31252	   	268.69	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1LHND|2VULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8BEXP|aDMG
22	31115 31452	   	268.69	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1LHND|2VULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8LWND|aDMG
23	31115 31652	   	268.59	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1LHND|2VULN|3BBNT|4MLV|5ZMB|6ASPD|79RCR|8DUST|aDMG
24	61131 23635	   	266.04	DCR|DCR|3VULN	15BEXP|269VULN|3BBNT|4AAC|7LWND|8aRCR
25	61133 61235	   	266.04	DCR|DCR|3VULN	18BEXP|269VULN|3BBNT|4AAC|5FEWX|7aRCR
26	21122 31345	   	265.65	DCR|DCR|2VULN|1ASPD	1DUR|25VULN|3BBNT|4DUST|6ASPD|7aRCR|8ERES|9DMSP
27	21122 31325	   	265.55	DCR|DCR|2VULN|1ASPD	1DUR|25VULN|3BBNT|49DUST|6ASPD|7aRCR|8ERES
