0	Index      	 *	Score 	Summary	Detail	
1	64211 53323	 * 	237.76	紫3攻速3伤害2易伤1基地爆炸	19易伤2双倍秒伤369攻速46最后敌人5核69序列升级7基地爆炸89a伤害
2	64231 53323	   	237.76	紫3攻速3伤害2易伤1基地爆炸	19易伤2双倍秒伤369攻速46低血量敌人5核69序列升级7基地爆炸89a伤害
3	64211 53322	   	235.75	紫3攻速2易伤2伤害1基地爆炸1暴击	19易伤2双倍秒伤369攻速46最后敌人5核69序列升级7基地爆炸89伤害a暴击
4	64231 53322	   	235.75	紫3攻速2易伤2伤害1基地爆炸1暴击	19易伤2双倍秒伤369攻速46低血量敌人5核69序列升级7基地爆炸89伤害a暴击
5	64251 12322	 * 	234.84	紫3攻速2易伤2伤害2基地爆炸	19易伤2双倍秒伤39a攻速47基地爆炸5核6敌人爆炸89伤害9序列升级
6	64211 53321	   	221.41	紫3攻速2易伤2伤害1基地爆炸	19易伤2双倍秒伤369攻速46最后敌人5核69序列升级7基地爆炸89伤害a立即金币
7	64231 53321	   	221.41	紫3攻速2易伤2伤害1基地爆炸	19易伤2双倍秒伤369攻速46低血量敌人5核69序列升级7基地爆炸89伤害a立即金币
8	63634 17242	 * 	217.87	紫3易伤3基地爆炸2攻速1伤害	128易伤3随机矿4加一5核68攻速789基地爆炸8序列升级a伤害
9	64251 12321	   	217.19	紫2易伤2攻速2伤害2基地爆炸	19易伤2双倍秒伤39攻速47基地爆炸5核6敌人爆炸89伤害9序列升级a额外掉落
10	64251 12323	   	217.09	紫2易伤2攻速2伤害2基地爆炸	19易伤2双倍秒伤39攻速47基地爆炸5核6敌人爆炸89伤害9序列升级a等级
11	63634 17243	 * 	213.46	紫3易伤3攻速3基地爆炸	128易伤3随机矿4加一5核68a攻速789基地爆炸8序列升级
12	44222 47222	 * 	211.75	紫1基础对甲3基地爆炸2攻速	19最后敌人2双倍秒伤39攻速4核5加一6平台789基地爆炸9序列升级a基础对甲
13	63634 14261	 * 	208.80	紫4易伤1基础对甲2攻速	128a易伤3随机矿4加一5核68攻速78敌人爆炸8序列升级9基础对甲
14	63634 31261	 * 	208.80	紫4易伤1基础对甲2伤害	128a易伤3随机矿4加一5核68敌人爆炸78伤害8序列升级9基础对甲
15	63634 41261	   	208.60	紫4易伤1基础对甲2伤害	128a易伤3随机矿4加一5核68挖尘78伤害8序列升级9基础对甲
