0	Index      	 *	Score 	Summary	Detail	
1	22332 64325	 * 	235.77	DCR|4VULN|2DMG|1ASPD|1CDMG|1ZMB	18DMG|2356VULN|4ASPD|7CDMG|9RCR|aZMB
2	22335 12634	 * 	228.69	DCR|3DMG|2VULN|1MDPS|1ASPD|3DUR	167DMG|23VULN|4ASPD|568DUR|6BPWR|9RCR|aMDPS
3	22325 12231	 * 	227.90	DCR|3VULN|3DMG|1ASPD|3DUR	167DMG|238VULN|48MLV|568DUR|68BPWR|9RCR|aASPD
4	25252 12231	   	227.90	DCR|3VULN|3DMG|1ASPD|3DUR	167DMG|248DUR|38MLV|568VULN|68BPWR|9RCR|aASPD
5	25352 12231	   	227.90	DCR|3VULN|3DMG|1ASPD|3DUR	167DMG|248DUR|38CGEN|568VULN|68BPWR|9RCR|aASPD
6	22355 12231	   	227.70	DCR|3VULN|3DMG|1ASPD|3DUR	167DMG|238VULN|48ERES|568DUR|68BPWR|9RCR|aASPD
7	25652 12231	   	227.70	DCR|3VULN|3DMG|1ASPD|3DUR	167DMG|248DUR|38ERES|568VULN|68BPWR|9RCR|aASPD
8	22325 12234	 * 	226.66	DCR|3VULN|3DMG|1MDPS|3DUR	167DMG|238VULN|48MLV|568DUR|68BPWR|9RCR|aMDPS
9	25252 12234	   	226.66	DCR|3VULN|3DMG|1MDPS|3DUR	167DMG|248DUR|38MLV|568VULN|68BPWR|9RCR|aMDPS
10	25352 12234	   	226.66	DCR|3VULN|3DMG|1MDPS|3DUR	167DMG|248DUR|38CGEN|568VULN|68BPWR|9RCR|aMDPS
11	22355 12234	   	226.46	DCR|3VULN|3DMG|1MDPS|3DUR	167DMG|238VULN|48ERES|568DUR|68BPWR|9RCR|aMDPS
12	22152 64322	   	225.44	DCR|4VULN|2DMG|1ASPD|1CDMG	18DMG|2456VULN|3ASPD|7CDMG|9RCR|aFEWX
13	22152 64323	   	225.44	DCR|4VULN|2DMG|1ASPD|1CDMG	18DMG|2456VULN|3ASPD|7CDMG|9RCR|aBELT
14	22332 64322	   	225.44	DCR|4VULN|2DMG|1ASPD|1CDMG	18DMG|2356VULN|4ASPD|7CDMG|9RCR|aFEWX
15	22332 64323	   	225.44	DCR|4VULN|2DMG|1ASPD|1CDMG	18DMG|2356VULN|4ASPD|7CDMG|9RCR|aBELT
16	22332 64324	   	225.44	DCR|4VULN|2DMG|1ASPD|1CDMG	18DMG|2356VULN|4ASPD|7CDMG|9RCR|aMULARM
17	22332 64326	   	225.44	DCR|4VULN|2DMG|1ASPD|1CDMG	18DMG|2356VULN|4ASPD|7CDMG|9RCR|aLHND
18	22152 64321	   	225.34	DCR|4VULN|2DMG|1ASPD|1CDMG	18DMG|2456VULN|3ASPD|7CDMG|9RCR|aDLOT
19	22332 64321	   	225.34	DCR|4VULN|2DMG|1ASPD|1CDMG	18DMG|2356VULN|4ASPD|7CDMG|9RCR|aDLOT
20	22155 12631	 * 	224.09	DCR|3DMG|2VULN|2ASPD|3DUR	167DMG|24VULN|3aASPD|568DUR|6BPWR|9RCR
21	22335 12631	   	224.09	DCR|3DMG|2VULN|2ASPD|3DUR	167DMG|23VULN|4aASPD|568DUR|6BPWR|9RCR
22	21232 32433	 * 	224.06	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	1DMG|24ASPD|3RMIN|5DUR|6AART|79aVULN|8RCR
23	22142 64322	 * 	223.81	DCR|3VULN|2DMG|2ASPD|1CDMG	18DMG|256VULN|34ASPD|7CDMG|9RCR|aFEWX
24	22142 64323	   	223.81	DCR|3VULN|2DMG|2ASPD|1CDMG	18DMG|256VULN|34ASPD|7CDMG|9RCR|aBELT
25	22142 64321	   	223.71	DCR|3VULN|2DMG|2ASPD|1CDMG	18DMG|256VULN|34ASPD|7CDMG|9RCR|aDLOT
26	22331 64325	   	222.73	DCR|3VULN|2DMG|1ASPD|1CDMG|1ZMB	18DMG|236VULN|4ASPD|5RCVC|7CDMG|9RCR|aZMB
27	25146 22122	 * 	221.58	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1DUR	16DMG|2DUR|34ASPD|5CDMG|7RCR|8TLV|9VULN|aAART
28	22132 64325	   	219.93	DCR|3VULN|2DMG|1ASPD|1CDMG|1ZMB	18DMG|256VULN|3ASPD|4DMSP|7CDMG|9RCR|aZMB
29	45122 12332	 * 	218.20	DCR|3ASPD|2VULN|1MDPS|1NUKE|1DUR	136ASPD|2DUR|4MLV|56VULN|6BPWR|7RCR|8RCVC|9NUKE|aMDPS
