0	Index      	 *	Score 	Summary	Detail	
1	33415 12523	 * 	291.67	橙橙3易伤1矿等	1立即金币2矿等358易伤45技能点5序列升级6a核7时间9爆破对冰
2	33425 12341	 * 	284.29	橙3易伤3伤害2矿等3时间	1立即金币2a矿等359易伤45a伤害5a序列升级6核78a时间
3	33415 12323	   	276.08	橙橙2易伤1矿等2时间	1立即金币2矿等35易伤45技能点5序列升级6a核78时间9爆破对冰
4	33425 12522	 * 	276.05	橙4易伤2伤害2矿等	1立即金币2a矿等358a易伤45伤害5a序列升级6核7时间9a散射对绿
5	13125 62361	 * 	274.54	紫橙2易伤1伤害1矿等1攻速	16核2低血量敌人3攻速4金币生成5伤害7时间8矿等9a易伤
6	33415 12423	   	269.53	橙橙2易伤1矿等	18立即金币2矿等35易伤45技能点5序列升级6a核7时间9爆破对冰
7	33432 12523	   	269.53	橙橙2易伤1矿等	14立即金币2矿等38易伤5掉矿6a核7时间9爆破对冰
8	12662 22611	 * 	267.01	紫橙2易伤2伤害2时间2策反	17核29策反39易伤4爆破对壮5a时间6加一89伤害9序列升级
9	13125 61361	   	266.24	紫橙2易伤1伤害1矿等1攻速	16核2低血量敌人3攻速4金币生成5伤害7敌人爆炸8矿等9a易伤
10	13125 64311	   	266.24	紫橙2易伤1伤害1矿等1攻速	16核27低血量敌人3攻速4金币生成5伤害8矿等9a易伤
11	33425 14212	   	264.43	橙3易伤3伤害2矿等	1立即金币28矿等358易伤458伤害58序列升级6核7技能9敌人爆炸a雷电
12	33425 14213	   	264.43	橙3易伤3伤害2矿等	1立即金币28矿等358易伤458伤害58序列升级6核7技能9敌人爆炸a最后敌人
13	33425 14221	   	264.43	橙3易伤3伤害2矿等	19立即金币28矿等358易伤458伤害58序列升级6核7技能a最后敌人
14	33425 15212	   	264.43	橙3易伤3伤害2矿等	1立即金币28矿等358易伤458伤害58序列升级6核7随机矿9敌人爆炸a雷电
15	33425 15213	   	264.43	橙3易伤3伤害2矿等	1立即金币28矿等358易伤458伤害58序列升级6核7随机矿9敌人爆炸a最后敌人
16	33425 15221	   	264.43	橙3易伤3伤害2矿等	19立即金币28矿等358易伤458伤害58序列升级6核7随机矿a最后敌人
17	33425 14211	   	264.33	橙3易伤3伤害2矿等1策反	1立即金币28矿等358易伤458伤害58序列升级6核7技能9敌人爆炸a策反
18	33425 14222	   	264.33	橙3易伤3伤害2矿等	19立即金币28矿等358易伤458伤害58序列升级6核7技能a挖尘
19	33425 14223	   	264.33	橙3易伤3伤害2矿等	19立即金币28矿等358易伤458伤害58序列升级6核7技能a掉矿
20	33425 14232	   	264.33	橙3易伤3伤害2矿等	1立即金币28矿等358易伤458伤害58序列升级6核7技能9挖尘a雷电
21	33425 14233	   	264.33	橙3易伤3伤害2矿等	1立即金币28矿等358易伤458伤害58序列升级6核7技能9挖尘a最后敌人
22	33425 15211	   	264.33	橙3易伤3伤害2矿等1策反	1立即金币28矿等358易伤458伤害58序列升级6核7随机矿9敌人爆炸a策反
23	33425 15222	   	264.33	橙3易伤3伤害2矿等	19立即金币28矿等358易伤458伤害58序列升级6核7随机矿a挖尘
24	33425 15223	   	264.33	橙3易伤3伤害2矿等	19立即金币28矿等358易伤458伤害58序列升级6核7随机矿a掉矿
25	33425 15232	   	264.33	橙3易伤3伤害2矿等	1立即金币28矿等358易伤458伤害58序列升级6核7随机矿9挖尘a雷电
26	33425 15233	   	264.33	橙3易伤3伤害2矿等	1立即金币28矿等358易伤458伤害58序列升级6核7随机矿9挖尘a最后敌人
27	33425 14231	   	264.23	橙3易伤3伤害2矿等1策反	1立即金币28矿等358易伤458伤害58序列升级6核7技能9挖尘a策反
28	33425 15231	   	264.23	橙3易伤3伤害2矿等1策反	1立即金币28矿等358易伤458伤害58序列升级6核7随机矿9挖尘a策反
29	33425 11511	   	264.13	橙3易伤3伤害2矿等	1立即金币2a矿等358易伤45a伤害5a序列升级6核79a挖尘
30	33425 12322	   	263.43	橙3易伤2伤害2矿等2时间	1立即金币2a矿等35a易伤45伤害5a序列升级6核78时间9a散射对绿
31	33351 21261	 * 	262.74	橙3易伤3矿等2伤害	1立即金币258矿等3赏金邻近4随机矿58序列升级68伤害789易伤a核
32	33624 21261	   	262.74	橙3易伤3矿等2伤害	1立即金币238矿等38序列升级4技能5赏金邻近68伤害789易伤a核
33	33425 14122	   	262.23	橙3易伤2伤害2矿等1攻速	1立即金币2a矿等35a易伤45伤害5a序列升级6核7技能8攻速9a散射对绿
34	33425 15122	   	262.23	橙3易伤2伤害2矿等1攻速	1立即金币2a矿等35a易伤45伤害5a序列升级6核7随机矿8攻速9a散射对绿
35	33426 12341	   	262.05	橙2易伤3伤害2矿等3时间	1立即金币2a矿等39易伤45a伤害6核78a时间a序列升级
