0	Index      	 *	Score 	Summary	Detail	
1	32642 23623	 * 	281.27	橙橙2伤害1易伤1暴击1平台1卖塔	1易伤2平台3基地爆炸4卖塔5最后敌人6a伤害79核8暴击
2	33333 26641	 * 	274.78	橙4易伤2伤害2矿等	179a易伤2赏金邻近3额外掉落4激光减费57矿等67伤害7序列升级8核
3	33261 24412	 * 	274.17	橙橙2易伤1矿等	13易伤2赏金邻近4技能点5时间6矿等7多重对甲8双倍物品9a核
4	31152 23412	   	265.96	橙橙2易伤1矿等	17易伤2敌人爆炸3加农对毒4等级5矿等6赏金塔8双倍物品9a核
5	36152 23412	   	265.96	橙橙2易伤1矿等	17易伤2最后敌人3加农对毒4等级5矿等6赏金塔8双倍物品9a核
6	33263 24412	   	265.86	橙橙2易伤1矿等	13易伤2赏金邻近4技能点5最后敌人6矿等7多重对甲8双倍物品9a核
7	32642 23621	 * 	263.68	橙橙1易伤1伤害1暴击1平台1卖塔	1易伤2平台3基地爆炸4卖塔5最后敌人6伤害79核8暴击a敌人爆炸
8	32642 23622	 * 	263.68	橙橙1易伤1伤害1暴击1平台1卖塔	1易伤2平台3基地爆炸4卖塔5最后敌人6伤害79核8暴击a低血量敌人
9	33613 63412	   	263.28	橙橙2易伤2时间	17易伤2赏金邻近3加农对毒46时间5敌人爆炸8双倍物品9a核
10	33352 31335	   	262.08	橙橙2易伤1攻速	15易伤2赏金邻近3额外掉落4双倍物品6挖尘7敌人爆炸8攻速9a核
11	35352 31335	   	262.08	橙橙2易伤1攻速	15易伤2赏金塔3额外掉落4双倍物品6挖尘7敌人爆炸8攻速9a核
12	31363 43624	 * 	257.70	橙橙1易伤1伤害1矿等1卖塔	1易伤2敌人爆炸3伤害4挖青5技能6加一79核8卖塔a矿等
13	21613 43412	   	256.73	橙橙2易伤	1赏金塔25敌人爆炸3基础对冰4时间67易伤8双倍物品9a核
14	33613 43412	   	256.73	橙橙2易伤	17易伤2赏金邻近3加农对毒4时间5敌人爆炸6双倍矿8双倍物品9a核
15	33261 61412	   	256.63	橙橙2易伤	13易伤2赏金邻近4技能点5时间6喷火对黄7随机矿8双倍物品9a核
16	33333 26642	   	254.63	橙3易伤2伤害2矿等	179易伤2赏金邻近3a额外掉落4激光减费57矿等67伤害7序列升级8核
17	31362 63532	   	254.53	橙3易伤2伤害2矿等	179易伤2敌人爆炸39伤害4挖青5最后敌人6加农对甲89矿等9序列升级a核
18	33333 26643	   	254.53	橙3易伤2伤害2矿等	179易伤2赏金邻近3额外掉落4激光减费57矿等67伤害7序列升级8核a挖尘
19	33333 26615	   	253.12	橙2易伤2伤害2矿等1暴击	17易伤2赏金邻近3额外掉落4激光减费57矿等67伤害7序列升级8核9暴击a时间
20	33333 26651	   	253.12	橙2易伤2伤害2矿等1攻速	17易伤2赏金邻近3额外掉落4激光减费57矿等67伤害7序列升级8核9时间a攻速
21	33333 26652	   	253.12	橙2易伤2伤害2矿等1暴击	17易伤2赏金邻近3额外掉落4激光减费57矿等67伤害7序列升级8核9时间a暴击
