0	Index      	 *	Score 	Summary	Detail	
1	32241 16224	 * 	313.86	DCR|DCR|2VULN|2DMG|1TLV|1SELL	1NUKE|2TLV|36DMG|48VULN|5SELL|7MDPS|9aRCR
2	32255 12224	 * 	310.17	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1NUKE|2TLV|3DMG|4FEWX|58VULN|6DUST|7CDMG|9aRCR
3	32265 12224	   	310.07	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1NUKE|2TLV|3DMG|4BEXP|58VULN|6DUST|7CDMG|9aRCR
4	33243 12224	   	307.00	DCR|DCR|2VULN|1TLV|1AAC|1CDMG	1NUKE|2AAC|3TLV|48VULN|5FEWX|6DUST|7CDMG|9aRCR
5	33255 12224	   	307.00	DCR|DCR|2VULN|1TLV|1AAC|1CDMG	1NUKE|2AAC|3TLV|4FEWX|58VULN|6DUST|7CDMG|9aRCR
6	32325 12224	   	306.90	DCR|DCR|2VULN|1TLV|1AAC|1CDMG	1NUKE|2TLV|3BEXP|4AAC|58VULN|6DUST|7CDMG|9aRCR
7	33265 12224	   	306.90	DCR|DCR|2VULN|1TLV|1AAC|1CDMG	1NUKE|2AAC|3TLV|4BEXP|58VULN|6DUST|7CDMG|9aRCR
8	32241 25224	   	296.27	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1NUKE|2TLV|3DMG|48VULN|5SELL|6DUST|7FEWX|9aRCR
9	32251 23224	   	296.27	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1NUKE|2TLV|3DMG|4FEWX|5SELL|6DUST|78VULN|9aRCR
10	32251 53224	   	296.27	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1NUKE|2TLV|3DMG|4FEWX|5SELL|6BEXP|78VULN|9aRCR
11	32211 53224	   	296.17	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1NUKE|2TLV|3DMG|4DUST|5SELL|6BEXP|78VULN|9aRCR
12	32261 23224	   	296.17	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1NUKE|2TLV|3DMG|4BEXP|5SELL|6DUST|78VULN|9aRCR
13	32241 41422	 * 	294.40	DCR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1NUKE|2TLV|3DMG|4VULN|5SELL|68RCR|7DMSP|9BEXP|aMLV
14	32241 41411	 * 	294.19	DCR|DCR|2DMG|1VULN|1TLV|1SELL	1NUKE|2TLV|39DMG|4VULN|5SELL|68RCR|7DMSP|aDUR
15	32241 41432	   	292.13	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1SELL	1NUKE|2TLV|3DMG|4VULN|5SELL|68RCR|7DMSP|9RAT|aAAC
16	32211 43634	 * 	285.78	DCR|DCR|2DMG|1VULN|1TLV|1SELL	1NUKE|2TLV|39DMG|4DUST|5SELL|6aRCR|7FEWX|8VULN
17	32241 41412	 * 	285.78	DCR|DCR|2DMG|1VULN|1TLV|1SELL|1MSE	1NUKE|2TLV|39DMG|4VULN|5SELL|68RCR|7DMSP|aMSE
18	32241 41413	 * 	285.78	DCR|DCR|2DMG|1VULN|1TLV|1SELL	1NUKE|2TLV|39DMG|4VULN|5SELL|68RCR|7DMSP|aMDPS
19	32241 43134	 * 	285.78	DCR|DCR|2DMG|1VULN|1TLV|1SELL	1NUKE|2TLV|39DMG|4VULN|5SELL|6aRCR|7FEWX|8BEXP
20	32261 43334	 * 	285.78	DCR|DCR|2DMG|1VULN|1TLV|1SELL	1NUKE|2TLV|39DMG|4BEXP|5SELL|6aRCR|7FEWX|8VULN
21	32211 41415	 * 	285.78	DCR|DCR|2DMG|1VULN|1TLV|1SELL	1NUKE|2TLV|39DMG|4DUST|5SELL|68RCR|7DMSP|aVULN
22	32251 23434	 * 	285.78	DCR|DCR|2DMG|1VULN|1TLV|1SELL	1NUKE|2TLV|39DMG|4FEWX|5SELL|6DUST|7VULN|8aRCR
23	32211 53434	 * 	285.68	DCR|DCR|2DMG|1VULN|1TLV|1SELL	1NUKE|2TLV|39DMG|4DUST|5SELL|6BEXP|7VULN|8aRCR
24	32261 23434	 * 	285.68	DCR|DCR|2DMG|1VULN|1TLV|1SELL	1NUKE|2TLV|39DMG|4BEXP|5SELL|6DUST|7VULN|8aRCR
25	32211 41462	   	284.45	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1SELL	1NUKE|2TLV|3DMG|4DUST|5SELL|68RCR|7DMSP|9ASPD|aVULN
