0	Index      	 *	Score 	Summary	Detail	
1	61415 12311	 * 	325.97	橙橙2易伤2伤害1矿等1暴击	18伤害28雷电3赏金邻近4时间5暴击68易伤7a核8序列升级9矿等
2	24113 23241	   	312.12	橙橙2易伤2伤害1矿等	1基地爆炸2赏金邻近3时间49伤害5矿等67核8a易伤
3	34113 23241	   	312.12	橙橙2易伤2伤害1矿等	1敌人爆炸2赏金邻近3时间49伤害5矿等67核8a易伤
4	42113 23241	   	312.12	橙橙2易伤2伤害1矿等	1赏金塔2敌人爆炸3时间49伤害5矿等67核8a易伤
5	46113 23241	   	312.02	橙橙2易伤2伤害1矿等	1赏金塔2挖尘3时间49伤害5矿等67核8a易伤
6	62613 23241	   	312.02	橙橙2易伤2伤害1矿等	19伤害2时间3挖尘4赏金塔5矿等67核8a易伤
7	62633 23241	   	312.02	橙橙2易伤2伤害1矿等	19伤害2时间3挖尘4赏金邻近5矿等67核8a易伤
8	61415 12211	   	308.18	橙橙2易伤1伤害1矿等1暴击	1伤害2雷电3赏金邻近4时间5暴击68易伤7a核9矿等
9	63344 32111	 * 	302.03	橙橙2易伤3伤害	134伤害23等级3序列升级5a易伤6双倍矿7赏金塔89核
10	24113 23244	 * 	299.65	橙橙2伤害1易伤2矿等	1基地爆炸2赏金邻近3时间49伤害5a矿等67核8易伤
11	34113 23244	   	299.65	橙橙2伤害1易伤2矿等	1敌人爆炸2赏金邻近3时间49伤害5a矿等67核8易伤
12	42113 23244	   	299.65	橙橙2伤害1易伤2矿等	1赏金塔2敌人爆炸3时间49伤害5a矿等67核8易伤
13	63342 43213	 * 	296.59	紫橙3易伤3伤害	134伤害23等级3序列升级57核6技能89a易伤
