0	Index      	 *	Score 	Summary	Detail	
1	33163 11345	 * 	303.46	DCR|DCR|2VULN|2DMG|1ASPD|1SELL	18LWND|28VULN|3SELL|4ASPD|5DUR|68DMG|7aRCR|8BPWR|9BELT
2	33326 11233	 * 	300.81	DCR|DCR|2VULN|1DMG|1MLV	1LWND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aAART
3	43326 11233	   	300.81	DCR|DCR|2VULN|1DMG|1MLV	1LHND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aAART
4	33326 11232	   	298.09	DCR|DCR|2VULN|1DMG|1MLV	1LWND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aNUKE
5	43326 11232	   	298.09	DCR|DCR|2VULN|1DMG|1MLV	1LHND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aNUKE
6	33326 21233	 * 	293.23	DCR|DCR|3VULN|1MLV	1LWND|23aVULN|4RPLT|5MLV|6AAC|79RCR|8TLV
7	43326 21233	   	293.23	DCR|DCR|3VULN|1MLV	1LHND|23aVULN|4RPLT|5MLV|6AAC|79RCR|8TLV
8	33326 11234	   	291.15	DCR|DCR|2VULN|1DMG|1MLV	1LWND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aRMIN
9	33326 11235	   	291.15	DCR|DCR|2VULN|1DMG|1MLV	1LWND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aBBNT
10	33326 21232	   	291.15	DCR|DCR|2VULN|1DMG|1MLV	1LWND|23VULN|4RPLT|5MLV|6AAC|79RCR|8TLV|aDMG
11	43326 11234	   	291.15	DCR|DCR|2VULN|1DMG|1MLV	1LHND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aRMIN
12	43326 11235	   	291.15	DCR|DCR|2VULN|1DMG|1MLV	1LHND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aBBNT
13	43326 21232	   	291.15	DCR|DCR|2VULN|1DMG|1MLV	1LHND|23VULN|4RPLT|5MLV|6AAC|79RCR|8TLV|aDMG
14	33326 11231	   	291.05	DCR|DCR|2VULN|1DMG|1MLV	1LWND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aLEGI
15	33326 11236	   	291.05	DCR|DCR|2VULN|1DMG|1MLV	1LWND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aMBVNT
16	43326 11231	   	291.05	DCR|DCR|2VULN|1DMG|1MLV	1LHND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aLEGI
17	43326 11236	   	291.05	DCR|DCR|2VULN|1DMG|1MLV	1LHND|23VULN|4RPLT|5MLV|6DMG|79RCR|8TLV|aMBVNT
18	33326 21236	   	284.74	DCR|DCR|2VULN|1MLV|1CDMG	1LWND|23VULN|4RPLT|5MLV|6AAC|79RCR|8TLV|aCDMG
19	43326 21236	   	284.74	DCR|DCR|2VULN|1MLV|1CDMG	1LHND|23VULN|4RPLT|5MLV|6AAC|79RCR|8TLV|aCDMG
20	33426 11233	   	274.61	DCR|DCR|1VULN|1DMG|1MLV	1LWND|2VULN|3RCVC|4RPLT|5MLV|6DMG|79RCR|8TLV|aAART
21	43426 11233	   	274.61	DCR|DCR|1VULN|1DMG|1MLV	1LHND|2VULN|3RCVC|4RPLT|5MLV|6DMG|79RCR|8TLV|aAART
