0	Index      	 *	Score 	Summary	Detail	
1	43312 22253	 * 	235.89	DCR|2VULN|2AART|2CDMG|1ASPD|1DMG|1ZMB	1ZMB|25CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|9DMG|aASPD
2	22323 42443	 * 	235.07	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG|1DUR	1RCVC|24AART|39VULN|5DMG|6RCR|7ASPD|8DUR|aMDPS
3	43312 42511	 * 	234.42	DCR|3VULN|2AART|1MDPS|2CDMG|1ZMB	1ZMB|25CDMG|359VULN|48AART|5BPWR|6RCR|7RMIN|aMDPS
4	43312 22221	 * 	233.66	DCR|3VULN|2AART|2CDMG|1ASPD|1ZMB	1ZMB|25CDMG|35aVULN|48AART|5BPWR|6LIT|7RCR|9ASPD
5	43312 22251	 * 	233.66	DCR|3VULN|2AART|2CDMG|1DMG|1ZMB	1ZMB|25CDMG|35aVULN|48AART|5BPWR|6LIT|7RCR|9DMG
6	43312 22223	 * 	230.05	DCR|2VULN|2AART|2ASPD|2CDMG|1ZMB	1ZMB|25CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|9aASPD
7	53212 28134	 * 	229.89	DCR|3VULN|2DMG|3CDMG|1AART	1MBVNT|25aCDMG|3AART|4LHND|69aVULN|7aDMG|8RCR|aBPWR
8	53262 28134	   	229.89	DCR|3VULN|2DMG|3CDMG|1AART	1MBVNT|25aCDMG|3AART|4FEWX|69aVULN|7aDMG|8RCR|aBPWR
9	53273 28134	   	229.89	DCR|3VULN|2DMG|3CDMG|1AART	1MBVNT|24aCDMG|3AART|5FEWX|69aVULN|7aDMG|8RCR|aBPWR
10	53282 28134	   	229.89	DCR|3VULN|2DMG|3CDMG|1AART	1MBVNT|25aCDMG|3AART|4LWND|69aVULN|7aDMG|8RCR|aBPWR
11	22323 42423	 * 	229.70	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG|1DUR	1RCVC|24AART|3VULN|5aDMG|6RCR|7ASPD|8DUR|9CDMG
12	22323 42243	   	226.77	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1RCVC|24AART|39VULN|5DMG|6RCR|7ASPD|8LHND|aMDPS
13	22323 42643	   	226.77	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1RCVC|24AART|39VULN|5DMG|6RCR|7ASPD|8FEWX|aMDPS
14	22323 42343	   	226.67	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1RCVC|24AART|39VULN|5DMG|6RCR|7ASPD|8DUST|aMDPS
15	53336 28134	   	225.72	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|2aCDMG|3LWND|4RCVC|5AART|69aVULN|7aDMG|8RCR|aBPWR
16	62323 42423	   	225.54	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG|1DUR	1DMSP|24AART|3VULN|5aDMG|6RCR|7ASPD|8DUR|9CDMG
17	54433 22818	 * 	225.53	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	1MBVNT|27aVULN|3DUR|47LWND|57DMG|6AART|7BPWR|8ASPD|9RCR
18	54433 22815	 * 	223.95	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1DUR	1MBVNT|27VULN|3DUR|47LWND|57DMG|6AART|7BPWR|8ASPD|9RCR|aCDMG
19	43312 42512	   	223.90	DCR|3VULN|2AART|2CDMG|1ZMB|1DUR	1ZMB|25CDMG|359VULN|48AART|5BPWR|6RCR|7RMIN|aDUR
20	54217 61134	 * 	223.85	DCR|3VULN|1AART|2CDMG|1ASPD|3DUR	1MBVNT|29aVULN|3AART|4ASPD|57aDUR|6aCDMG|8RCR|aBPWR
21	22323 46434	 * 	223.30	DCR|3VULN|2AART|2DMG	1RCVC|24AART|39aVULN|5aDMG|6RCR|7RPLT|8MBVNT|aBPWR
22	22323 42442	   	223.02	DCR|2VULN|2AART|1ASPD|1DMG|1AAC|1DUR	1RCVC|24AART|39VULN|5DMG|6RCR|7ASPD|8DUR|aAAC
23	43312 22263	 * 	222.88	DCR|2VULN|2AART|3CDMG|1DMG|1ZMB	1ZMB|259CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|aDMG
