0	Index      	 *	Score 	Summary	Detail	
1	61216 21143	 * 	223.31	DCR|2DMG|2ASPD|1VULN|2CDMG|1AART|1DUR	1LIT|29CDMG|3LHND|4AART|5DUR|69DMG|7VULN|89ASPD|9BPWR|aRCR
2	61216 22143	 * 	219.74	DCR|2VULN|2DMG|2CDMG|1AART|1ZMB|1DUR	1LIT|29CDMG|3LHND|4AART|5DUR|69DMG|7ZMB|89VULN|9BPWR|aRCR
3	31162 25152	 * 	209.42	ACR|3VULN|3DMG|1AART|3DUR	179VULN|2FEWX|3RPLT|4RCR|579DMG|679DUR|79BPWR|8AART|aAELBLL
4	31162 25153	   	209.42	ACR|3VULN|3DMG|1AART|3DUR	179VULN|2FEWX|3RPLT|4RCR|579DMG|679DUR|79BPWR|8AART|aRCVC
5	32162 25152	   	209.42	ACR|3VULN|3DMG|1AART|3DUR	179VULN|2BEXP|3RPLT|4RCR|579DMG|679DUR|79BPWR|8AART|aAELBLL
6	32162 25153	   	209.42	ACR|3VULN|3DMG|1AART|3DUR	179VULN|2BEXP|3RPLT|4RCR|579DMG|679DUR|79BPWR|8AART|aRCVC
7	61216 26133	   	209.41	DCR|2VULN|2DMG|2CDMG|1AART|1DUR	1LIT|29CDMG|3LHND|4AART|5DUR|69DMG|7AME|89VULN|9BPWR|aRCR
8	31162 25151	   	209.32	ACR|3VULN|3DMG|1AART|3DUR	179VULN|2FEWX|3RPLT|4RCR|579DMG|679DUR|79BPWR|8AART|aERES
9	32162 25151	   	209.32	ACR|3VULN|3DMG|1AART|3DUR	179VULN|2BEXP|3RPLT|4RCR|579DMG|679DUR|79BPWR|8AART|aERES
10	35224 32214	 * 	205.19	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	19VULN|2AAC|3AART|49ERES|5BELT|6RCR|7DMSP|89DMG|9BPWR|aASPD
11	31434 11253	 * 	205.11	DCR|3DMG|2VULN|2CDMG|1ZMB	16VULN|2FEWX|3ZMB|456DMG|6BPWR|7aCDMG|8ERES|9RCR
12	31112 32611	 * 	203.41	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG|2DUR	17VULN|2FEWX|3RPLT|47DUR|57DMG|6MDPS|7BPWR|8ASPD|9CDMG|aRCR
13	32112 32611	   	203.41	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG|2DUR	17VULN|2BEXP|3RPLT|47DUR|57DMG|6MDPS|7BPWR|8ASPD|9CDMG|aRCR
14	33112 32611	   	203.41	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG|2DUR	17VULN|2LWND|3RPLT|47DUR|57DMG|6MDPS|7BPWR|8ASPD|9CDMG|aRCR
15	33224 65331	 * 	203.33	DCR|3VULN|1AART|1ASPD|1DMG	156VULN|2LWND|3AIRARM|4AART|7RCR|8MBVNT|9DMG|aASPD
16	34112 32611	   	203.31	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG|2DUR	17VULN|2DUST|3RPLT|47DUR|57DMG|6MDPS|7BPWR|8ASPD|9CDMG|aRCR
17	33221 25252	 * 	203.05	DCR|3VULN|1AART|2CDMG|1ASPD	17aVULN|2LWND|3aAIRARM|4AART|5ASPD|6ERES|8aCDMG|9RCR|aBPWR
18	61412 12143	   	201.96	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1LIT|29CDMG|3ASPD|4DUR|5AART|69DUST|7ZMB|89VULN|9BPWR|aRCR
19	31531 11152	   	201.30	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	18VULN|2FEWX|3LIT|4CDMG|5ASPD|6DMG|7DUR|9RCR|aMDPS
20	32531 11152	   	201.30	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	18VULN|2BEXP|3LIT|4CDMG|5ASPD|6DMG|7DUR|9RCR|aMDPS
21	33531 11152	   	201.30	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	18VULN|2LWND|3LIT|4CDMG|5ASPD|6DMG|7DUR|9RCR|aMDPS
22	61231 13152	   	201.30	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1LIT|2CDMG|3LHND|4DUR|5ASPD|6DMG|78VULN|9RCR|aMDPS
23	61411 13152	   	201.30	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1LIT|2CDMG|3ASPD|4DUR|5FEWX|6DMG|78VULN|9RCR|aMDPS
24	34531 11152	   	201.20	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	18VULN|2DUST|3LIT|4CDMG|5ASPD|6DMG|7DUR|9RCR|aMDPS
25	61413 13152	   	201.20	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1LIT|2CDMG|3ASPD|4DUR|5DUST|6DMG|78VULN|9RCR|aMDPS
26	31531 11151	 * 	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	18aVULN|2FEWX|3LIT|4CDMG|5ASPD|6DMG|7DUR|9RCR
27	32531 11151	   	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	18aVULN|2BEXP|3LIT|4CDMG|5ASPD|6DMG|7DUR|9RCR
28	33531 11151	   	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	18aVULN|2LWND|3LIT|4CDMG|5ASPD|6DMG|7DUR|9RCR
29	61231 13151	   	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1LIT|2CDMG|3LHND|4DUR|5ASPD|6DMG|78aVULN|9RCR
30	61411 13151	   	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1LIT|2CDMG|3ASPD|4DUR|5FEWX|6DMG|78aVULN|9RCR
31	34531 11151	   	200.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	18aVULN|2DUST|3LIT|4CDMG|5ASPD|6DMG|7DUR|9RCR
32	61413 13151	   	200.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1LIT|2CDMG|3ASPD|4DUR|5DUST|6DMG|78aVULN|9RCR
33	31531 11651	   	200.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1aVULN|2FEWX|3LIT|4CDMG|5ASPD|68DMG|7DUR|9RCR
34	32531 11651	   	200.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1aVULN|2BEXP|3LIT|4CDMG|5ASPD|68DMG|7DUR|9RCR
35	61231 13651	   	200.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1LIT|2CDMG|3LHND|4DUR|5ASPD|68DMG|7aVULN|9RCR
