0	Index      	 *	Score 	Summary	Detail	
1	41216 33115	 * 	225.69	DCR|3VULN|2ASPD|1AART|1CDMG|2ZMB	1aZMB|23aVULN|4CGEN|5AART|6CDMG|7aASPD|8RCR|9RMIN|aBPWR
2	41612 13115	 * 	223.93	DCR|2VULN|2AART|2ASPD|1CDMG|2ZMB	1aZMB|2aVULN|35AART|4CDMG|6CGEN|7aASPD|8RCR|9RMIN|aBPWR
3	16214 36323	 * 	219.61	DCR|3VULN|2AART|1ASPD|1DMG	1FEWX|2ASPD|359VULN|4BEXP|6aAART|7RCR|8DMG
4	16234 36323	   	219.51	DCR|3VULN|2AART|1ASPD|1DMG	1FEWX|2ASPD|359VULN|4DUST|6aAART|7RCR|8DMG
5	36214 36323	   	219.51	DCR|3VULN|2AART|1ASPD|1DMG	1DUST|2ASPD|359VULN|4FEWX|6aAART|7RCR|8DMG
6	41611 13125	 * 	217.71	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1ZMB|26VULN|3AART|46CDMG|5RMIN|6BPWR|7ASPD|8RCR|9ERES|aDMG
7	41613 31343	 * 	213.91	DCR|3VULN|1AART|3DUR|1CDMG|2ZMB	18ZMB|28aVULN|3AART|4CDMG|5ERES|6RCR|789DUR|8BPWR
8	23252 41135	 * 	212.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1CDMG|2LHND|34ASPD|5AART|6ERES|78VULN|9RCR|aDMG
9	23253 11135	   	212.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1CDMG|2LHND|34ASPD|5ERES|6AART|78VULN|9RCR|aDMG
10	26223 11135	   	212.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1CDMG|24ERES|34ASPD|4BPWR|5LWND|6AART|78VULN|9RCR|aDMG
11	26224 11135	   	212.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1CDMG|24ERES|34ASPD|4BPWR|5LHND|6AART|78VULN|9RCR|aDMG
12	16214 36322	   	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|2ASPD|359VULN|4BEXP|6AART|7RCR|8DMG|aDUR
13	16234 36322	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|2ASPD|359VULN|4DUST|6AART|7RCR|8DMG|aDUR
14	36214 36322	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2ASPD|359VULN|4FEWX|6AART|7RCR|8DMG|aDUR
15	41613 31253	   	211.09	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|2ZMB	19ZMB|29VULN|3AART|4CDMG|5ERES|6RCR|79DUR|8RPLT|9BPWR|aDMG
16	41613 31313	   	211.09	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|2ZMB	18ZMB|28VULN|3AART|4CDMG|5ERES|6RCR|78DUR|8BPWR|9RPLT|aDMG
17	26523 11135	 * 	211.03	DCR|3DMG|2VULN|1AART|1CDMG	1CDMG|24ERES|34aDMG|4BPWR|5LWND|6AART|78VULN|9RCR
18	41243 83311	   	210.09	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|23VULN|4CDMG|5MBVNT|6DMG|7ASPD|8RCR|9DUST|aAART
19	41221 36323	   	209.88	DCR|3VULN|2AART|1DMG|1ZMB	1ZMB|239VULN|4FEWX|5BEXP|6aAART|7RCR|8DMG
20	41221 36423	   	209.88	DCR|3VULN|2AART|1ASPD|1ZMB	1ZMB|239VULN|4FEWX|5BEXP|6aAART|7RCR|8ASPD
21	23253 11435	 * 	207.76	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	1CDMG|2LHND|34ASPD|5ERES|68AART|7VULN|9RCR|aDMG
22	26223 11435	   	207.76	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	1CDMG|24ERES|34ASPD|4BPWR|5LWND|68AART|7VULN|9RCR|aDMG
