0	Index      	 *	Score 	Summary	Detail	
1	36433 82344	 * 	201.46	DCR|4VULN|2AART|1ZMB	1ERES|2MBVNT|367aVULN|4ZMB|58AART|9RCR
2	62333 24433	 * 	197.55	DCR|2DMG|2ASPD|3ZMB|1VULN	19BEXP|259ZMB|3RPLT|45DMG|59BPWR|6TLV|79ASPD|8RCR|aVULN
3	51251 53324	 * 	195.09	DCR|3ASPD|2VULN|1MDPS|1AART|1DUR	1MDPS|27FEWX|3MBVNT|478ASPD|5AART|67VULN|7BPWR|9DUR|aRCR
4	12335 42143	 * 	194.88	DCR|2VULN|2DMG|1MDPS|1AART|2ZMB	17LWND|2aZMB|3RPLT|47DMG|5MDPS|67VULN|7BPWR|8RCR|9AART
5	36433 82348	 * 	192.39	DCR|3VULN|2AART|1AAC|1ZMB	1ERES|2MBVNT|367VULN|4ZMB|58AART|9RCR|aAAC
6	12334 23146	   	191.76	DCR|2VULN|2DMG|1AART|1ZMB	1aLWND|2ZMB|3RPLT|4aDMG|5FEWX|6BEXP|7aVULN|8RCR|9AART|aBPWR
7	12335 13146	   	191.66	DCR|2VULN|1MDPS|2DMG|1AART|1ZMB	1aLWND|2ZMB|3RPLT|4aDMG|5MDPS|6DMSP|7aVULN|8RCR|9AART|aBPWR
8	12335 42142	   	191.66	DCR|2VULN|2DMG|1MDPS|1AART|1ZMB	17LWND|2ZMB|3RPLT|47DMG|5MDPS|67VULN|7BPWR|8RCR|9AART|aAELBLL
9	12335 33146	 * 	191.56	DCR|2MDPS|2VULN|2DMG|1AART|1ZMB	1aLWND|2ZMB|3RPLT|4aDMG|56MDPS|7aVULN|8RCR|9AART|aBPWR
10	12335 42141	   	191.56	DCR|2VULN|1MDPS|2DMG|1AART|1ZMB	17LWND|2ZMB|3RPLT|47DMG|5MDPS|67VULN|7BPWR|8RCR|9AART|aERES
11	42153 13422	   	190.28	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2FEWX|3CGEN|4DMG|5DUR|6RCR|79VULN|8ZMB|aAART
12	36134 41631	   	189.96	DCR|2VULN|2ASPD|1AART|1DUR	1ERES|2MBVNT|3DUR|49VULN|5RMIN|6RCR|7aASPD|8AART
13	36444 41631	   	189.96	DCR|2VULN|2ASPD|1AART|1DUR	1ERES|2MBVNT|39VULN|4DUR|5RMIN|6RCR|7aASPD|8AART
14	53266 31322	 * 	189.11	DCR|3VULN|1MDPS|1AART|1CDMG|2DUR	1MDPS|2LEGI|3BELT|467VULN|57DUR|7BPWR|8AART|9RCR|aCDMG
15	53416 31322	   	189.11	DCR|3VULN|1MDPS|1AART|1CDMG|2DUR	1MDPS|2LEGI|367VULN|4BELT|57DUR|7BPWR|8AART|9RCR|aCDMG
16	36561 42412	 * 	188.82	DCR|3DMG|2VULN|1ASPD|1SELL	17ERES|2MBVNT|3AME|467DMG|57VULN|7BPWR|8ASPD|9SELL|aRCR
17	36433 22344	   	188.12	DCR|3VULN|2AART|1ZMB	1ERES|2MBVNT|37aVULN|4ZMB|58AART|6RCVC|9RCR
18	12335 42136	 * 	187.94	DCR|2VULN|2DMG|1MDPS|1NUKE|1ZMB	17LWND|2ZMB|3RPLT|47DMG|5MDPS|67VULN|7BPWR|8RCR|9RMIN|aNUKE
19	12335 42115	 * 	187.84	DCR|2VULN|2DMG|1MDPS|1ASPD|1ZMB	17LWND|2ZMB|3RPLT|47DMG|5MDPS|67VULN|7BPWR|8RCR|9LEGI|aASPD
20	12335 42125	   	187.84	DCR|2VULN|2DMG|1MDPS|1ASPD|1ZMB	17LWND|2ZMB|3RPLT|47DMG|5MDPS|67VULN|7BPWR|8RCR|9DUST|aASPD
21	43532 23133	 * 	187.59	DCR|2DMG|1MDPS|1AART|1ASPD|1CDMG|1DUR	1RCVC|2MDPS|3CDMG|4DUR|5CGEN|6AART|7RCR|8ASPD|9aDMG
22	26436 34643	   	187.39	DCR|4VULN|1AART|1ZMB	1CGEN|2MBVNT|3579VULN|4ZMB|6TLV|8RCR|aAART
23	36433 82744	   	187.29	DCR|4VULN|1AART|1ZMB	1ERES|2MBVNT|367aVULN|4ZMB|5AART|8RCVC|9RCR
24	53311 42143	   	186.34	DCR|3ASPD|2VULN|1MDPS|1AART|1SELL	1MDPS|2LEGI|389ASPD|4SELL|5AART|67VULN|aRCR
25	12631 52262	 * 	185.89	DCR|3VULN|1ASPD|1NUKE|1ZMB	1LWND|2ZMB|37ERES|4ASPD|568VULN|9RCR|aNUKE
26	36134 41621	 * 	185.66	DCR|2AART|2ASPD|1VULN|1DUR	1ERES|2MBVNT|3DUR|4VULN|5RMIN|6RCR|7aASPD|89AART
27	36444 41621	   	185.66	DCR|2AART|2ASPD|1VULN|1DUR	1ERES|2MBVNT|3VULN|4DUR|5RMIN|6RCR|7aASPD|89AART
28	36433 82342	   	185.62	DCR|3VULN|2AART|1ZMB	1ERES|2MBVNT|367VULN|4ZMB|58AART|9RCR|aBELT
29	36433 82346	   	185.62	DCR|3VULN|2AART|1ZMB	1ERES|2MBVNT|367VULN|4ZMB|58AART|9RCR|aRPLT
30	36433 82347	   	185.62	DCR|3VULN|2AART|1ZMB	1ERES|2MBVNT|367VULN|4ZMB|58AART|9RCR|aCGEN
31	12335 42116	 * 	185.61	DCR|3VULN|1MDPS|2DMG|1ZMB	17LWND|2ZMB|3RPLT|47DMG|5MDPS|67aVULN|7BPWR|8RCR|9LEGI
32	12335 42126	   	185.61	DCR|3VULN|2DMG|1MDPS|1ZMB	17LWND|2ZMB|3RPLT|47DMG|5MDPS|67aVULN|7BPWR|8RCR|9DUST
33	36433 82341	   	185.52	DCR|3VULN|2AART|1ZMB	1ERES|2MBVNT|367VULN|4ZMB|58AART|9RCR|aLEGI
