0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35233 13842	8	 * 	273.33	DCR|4VULN|3DUR|3TLV	17aDUR|2DUST|37aTLV|479aVULN|5MBVNT|6DLOT|7aBPWR|8RCR
2	35233 84842	8	   	269.76	DCR|4VULN|2TLV|2DUR|1AART	1aDUR|2DUST|3aTLV|469aVULN|5MBVNT|7AART|8RCR|aBPWR
3	41231 36511	8	 * 	269.40	DCR|4VULN|3TLV|1DMG|2CDMG	1457VULN|2FEWX|378TLV|67CDMG|7BPWR|9DMG|aRCR
4	45231 36311	8	   	269.30	DCR|4VULN|3TLV|1DMG|2CDMG	1457VULN|2DUST|378TLV|67CDMG|7BPWR|9DMG|aRCR
5	45231 36331	9	   	269.30	DCR|4VULN|3TLV|1DMG|2CDMG	1457VULN|2DUST|378TLV|67CDMG|7BPWR|9DMG|aRCR
6	12432 16422	1	 * 	269.20	DCR|2VULN|3DMG|2DUR|1TLV|1AART|1SELL	1RPLT|2aDUR|3TLV|46aDMG|5aVULN|7SELL|8RCR|9AART|aBPWR
7	41253 32612	9	 * 	267.29	DCR|3VULN|3DMG|1TLV|1CDMG	19aVULN|29FEWX|3TLV|4CDMG|5RPLT|6RCR|789DMG|9BPWR
8	34433 13611	10	   	265.45	DCR|4VULN|3DUR|1TLV	168DUR|28BEXP|3458VULN|7RPLT|8BPWR|9RCR|aTLV
9	35433 13611	10	   	265.25	DCR|4VULN|3DUR|1TLV	168DUR|28DUST|3458VULN|7RPLT|8BPWR|9RCR|aTLV
10	31235 16611	4	 * 	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2FEWX|3TLV|458VULN|5BPWR|6LHND|7CDMG|9DMG|aRCR
11	31235 21451	4	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2FEWX|3TLV|456VULN|5BPWR|7DMG|8BEXP|9CDMG|aRCR
12	31235 24111	4	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2FEWX|3TLV|456VULN|5BPWR|7CDMG|8LWND|9DMG|aRCR
13	31235 24411	4	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2FEWX|3TLV|456VULN|5BPWR|7CDMG|8LHND|9DMG|aRCR
14	31235 36611	4	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2FEWX|3TLV|458VULN|5BPWR|6LWND|7CDMG|9DMG|aRCR
15	34235 24111	4	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2BEXP|3TLV|456VULN|5BPWR|7CDMG|8LWND|9DMG|aRCR
16	35235 24111	4	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2DUST|3TLV|456VULN|5BPWR|7CDMG|8LWND|9DMG|aRCR
17	42234 11522	7	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14aVULN|2aZMB|3MBVNT|5TLV|6DUR|7aDMG|8RCR|9AART|aBPWR
18	62132 51522	7	   	263.70	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|24aVULN|3FEWX|5MBVNT|6TLV|7aDMG|8RCR|9AART|aBPWR
19	43132 51522	7	   	263.70	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	14aVULN|2aASPD|3FEWX|5MBVNT|6TLV|7aDMG|8RCR|9AART|aBPWR
20	32236 21812	4	 * 	263.67	DCR|4VULN|2DMG|2DUR	18DUR|25ZMB|3MBVNT|4568VULN|58BPWR|78DMG|9BELT|aRCR
21	32236 21812	5	   	263.67	DCR|4VULN|2DMG|2DUR	18DUR|25ZMB|3MBVNT|4568VULN|58BPWR|78DMG|9BELT|aRCR
22	42238 12811	7	   	263.57	DCR|4VULN|2DMG|2DUR	148aVULN|2ZMB|3MBVNT|58DMG|68DUR|7RCR|8BPWR|9CGEN
23	41411 22413	5	 * 	262.94	DCR|5VULN|1TLV|1CDMG|1AART	1348aVULN|24FEWX|4BPWR|5AART|6TLV|7RCR|9CDMG
24	31426 34822	8	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	19aDUR|24FEWX|34aVULN|4aBPWR|5aTLV|6MBVNT|7AART|8RCR
25	32231 54835	9	   	262.14	DCR|3VULN|3DUR|3TLV|1AART	19aDUR|2ZMB|3MBVNT|49aVULN|5AART|6RCR|7BELT|89aTLV|9aBPWR
