0	Index      	 *	Score 	Summary	Detail	Bounty	
1	62333 31847	 * 	301.06	橙3易伤2等级3时间2伤害	1a等级2加一3立即金币469时间56a易伤6a序列升级7a伤害8核	7
2	62421 47434	   	278.86	橙3易伤2等级2伤害1暴击	18等级2加一3雷电48伤害5暴击6敌人爆炸789易伤8序列升级a核	7
3	32322 23356	   	276.60	橙2易伤2等级2伤害2时间1暴击	1a挖尘25等级3a时间4暴击69伤害7a易伤8核a序列升级	1
4	62331 43455	 * 	276.27	橙2易伤3等级3时间2伤害	156等级2加一3立即金币456时间56a序列升级7a易伤8a伤害9核	6
5	62331 43735	   	276.27	橙2易伤3等级3时间2伤害	156等级2加一3立即金币456时间56a序列升级7核8a易伤9a伤害	7
6	66133 23121	 * 	274.90	橙5易伤2等级1时间	16等级2立即金币3最后敌人4时间5689a易伤6序列升级7核	7
7	66133 23521	   	274.90	橙5易伤2等级1时间	16等级2立即金币3最后敌人4时间5689a易伤6序列升级7核	8
8	61351 32533	   	274.77	橙3易伤2等级2伤害	19等级239易伤4赏金塔5全技能6赏金邻近79伤害8核9序列升级a攻速	2
9	61361 32533	   	274.77	橙3易伤2等级2伤害	19等级239易伤4赏金邻近5全技能6赏金塔79伤害8核9序列升级a攻速	2
10	63351 32533	   	274.77	橙3易伤2等级2伤害	19等级239易伤4赏金塔5全技能6赏金邻近79伤害8核9序列升级a攻速	1
11	63361 32533	   	274.77	橙3易伤2等级2伤害	19等级239易伤4赏金邻近5全技能6赏金塔79伤害8核9序列升级a攻速	1
12	61313 13215	 * 	273.67	橙3易伤2等级2时间3攻速	1a等级27a易伤345攻速6赏金邻近8核9a时间a序列升级	3
13	61313 43215	   	273.67	橙3易伤2等级2时间3攻速	1a等级27a易伤345攻速6赏金塔8核9a时间a序列升级	3
14	32323 23346	   	272.23	橙2易伤2等级3时间1伤害1暴击	1a挖尘29等级35a时间4暴击6伤害7a易伤8核a序列升级	1
15	66133 23321	 * 	271.14	橙4易伤2等级2时间	16等级2立即金币3最后敌人48时间569a易伤6序列升级7核	8
16	66133 23351	   	271.14	橙4易伤2等级2时间	16等级2立即金币3最后敌人48时间569a易伤6序列升级7核	9
17	66133 23511	   	271.14	橙4易伤2等级2时间	16等级2立即金币3最后敌人49时间568a易伤6序列升级7核	9
