0	Index      	 *	Score 	Summary	Detail	
1	24415 13333	 * 	300.63	橙橙2易伤2攻速3暴击	19易伤259暴击3基础对冰4掉矿6a核79攻速8双倍秒伤9序列升级
2	21334 23256	 * 	300.36	橙橙3易伤1伤害	124易伤2序列升级3伤害5金币生成6时间7挖青8额外掉落9a核
3	21314 23256	 * 	294.48	橙橙2易伤2伤害	12易伤2序列升级34伤害5金币生成6时间7挖青8额外掉落9a核
4	22633 63136	   	293.36	橙橙2易伤1矿等1攻速1暴击	1a易伤2攻速3暴击4双倍秒伤5赏金塔6矿等79核8雷电
5	21111 34145	 * 	292.04	橙橙4易伤	127a易伤2序列升级3低血量敌人46挖尘5赏金塔89核
6	21231 35615	   	286.65	橙橙3易伤2时间	12a易伤2序列升级34技能点56时间79核8挖青
7	22423 63633	 * 	286.56	紫橙3易伤1伤害1攻速	139易伤2攻速4随机矿5a核6伤害7全技能8赏金邻近
8	63213 22145	 * 	281.87	橙橙2易伤2矿等	1赏金邻近2立即金币36基地爆炸4随机矿56矿等6序列升级7a易伤89核
9	53113 22145	   	281.77	橙橙2易伤2矿等	1掉矿2立即金币3赏金邻近46基地爆炸56矿等6序列升级7a易伤89核
10	21521 16141	   	280.81	橙橙2易伤1矿等2时间	12易伤2序列升级3双倍秒伤45时间6最后敌人7挖青89核a矿等
11	23124 15315	   	280.40	橙橙3易伤	15a易伤23金币生成4随机矿6等级79核8时间
12	21162 25315	   	280.30	橙橙3易伤	12a易伤2序列升级3低血量敌人45金币生成6激光减费79核8时间
13	21134 25315	   	280.20	橙橙3易伤	12a易伤2序列升级34低血量敌人5掉矿6激光减费79核8时间
14	21224 15315	   	280.10	橙橙3易伤	12a易伤2序列升级36技能点4随机矿5掉矿79核8时间
15	21231 25615	   	280.00	橙橙3易伤	12a易伤2序列升级34技能点5时间6激光减费79核8挖青
16	21352 12523	 * 	279.95	橙3易伤3伤害2矿等	127易伤27序列升级378伤害4双倍秒伤5全技能67矿等9雷电a核
17	21425 62131	   	278.25	橙橙2易伤1伤害	12易伤2序列升级3平台4双倍秒伤5伤害6随机矿7a核8等级9敌人爆炸
18	21232 15231	   	278.15	橙橙2易伤1伤害	12易伤2序列升级34技能点5等级6赏金塔7a核8伤害9平台
19	21232 45231	   	278.15	橙橙2易伤1伤害	12易伤2序列升级34技能点5等级6赏金邻近7a核8伤害9平台
20	21425 22631	   	278.15	橙橙2易伤1伤害	12易伤2序列升级3平台4双倍秒伤5伤害6掉矿7a核8金币生成9敌人爆炸
21	21425 32131	   	278.15	橙橙2易伤1伤害	12易伤2序列升级3平台4双倍秒伤5伤害6金币生成7a核8技能点9敌人爆炸
22	21425 32331	   	278.15	橙橙2易伤1伤害	12易伤2序列升级3平台4双倍秒伤5伤害6金币生成7a核8掉矿9敌人爆炸
23	21425 62331	   	278.15	橙橙2易伤1伤害	12易伤2序列升级3平台4双倍秒伤5伤害6随机矿7a核8掉矿9敌人爆炸
24	21425 22131	   	278.05	橙橙2易伤1伤害	12易伤2序列升级3平台4双倍秒伤5伤害6掉矿7a核8技能点9敌人爆炸
25	22415 42332	 * 	277.50	橙4易伤2伤害2攻速	1367易伤27攻速47伤害5平台7序列升级8最后敌人9随机矿a核
26	21132 35256	   	276.90	橙橙2易伤1伤害	12易伤2序列升级34低血量敌人5伤害6时间7掉矿8额外掉落9a核
27	23114 23256	   	276.90	橙橙2易伤1伤害	15易伤23金币生成4伤害6时间7挖青8额外掉落9a核
28	21214 22256	   	276.80	橙橙2易伤1伤害	12易伤2序列升级3技能点4伤害5掉矿6时间7随机矿8额外掉落9a核
29	21222 35256	   	276.80	橙橙2易伤1伤害	12易伤2序列升级3技能点4随机矿5伤害6时间7掉矿8额外掉落9a核
30	21214 32226	   	276.80	橙橙2易伤1伤害	12易伤2序列升级3技能点4伤害5掉矿6金币生成7额外掉落8a核9时间
31	22633 53136	   	275.83	橙橙2易伤1攻速1暴击	1a易伤2攻速3暴击4双倍秒伤5赏金塔6金币生成79核8雷电
32	21426 12131	   	275.48	橙橙2易伤1矿等1策反	12易伤2序列升级3平台4双倍秒伤5矿等6策反7a核8等级9敌人爆炸
33	21426 12631	   	275.48	橙橙2易伤1矿等1策反	12易伤2序列升级3平台4双倍秒伤5矿等6策反7a核8金币生成9敌人爆炸
34	21426 12331	   	275.38	橙橙2易伤1矿等1策反	12易伤2序列升级3平台4双倍秒伤5矿等6策反7a核8掉矿9敌人爆炸
35	23126 25315	   	274.37	橙橙2易伤1矿等	1a易伤23金币生成4随机矿5矿等6激光减费79核8时间
36	23136 35315	   	274.37	橙橙2易伤1矿等	1a易伤236金币生成4技能点5矿等79核8时间
37	23136 15315	   	274.27	橙橙2易伤1矿等	1a易伤23金币生成46技能点5矿等79核8时间
38	23124 15215	   	272.09	橙橙3易伤	15a易伤23金币生成4随机矿6等级79核8基地爆炸
39	23134 15215	   	271.99	橙橙3易伤	15a易伤23金币生成4技能点6等级79核8最后敌人
40	21111 34142	   	271.89	橙橙3易伤	127易伤2序列升级3低血量敌人46挖尘5赏金塔89核a雷电
41	21111 34143	   	271.89	橙橙3易伤	127易伤2序列升级3a低血量敌人46挖尘5赏金塔89核
42	21111 34144	   	271.89	橙橙3易伤	127易伤2序列升级3低血量敌人46挖尘5赏金塔89核a等级
43	21111 34146	   	271.89	橙橙3易伤	127易伤2序列升级3低血量敌人46挖尘5赏金塔89核a赏金邻近
44	21224 31145	   	271.89	橙橙3易伤	12a易伤2序列升级3技能点4随机矿5掉矿6金币生成7赏金邻近89核
45	21234 15215	   	271.89	橙橙3易伤	12a易伤2序列升级34技能点5金币生成6等级79核8最后敌人
46	21224 15215	   	271.79	橙橙3易伤	12a易伤2序列升级36技能点4随机矿5掉矿79核8基地爆炸
47	21111 34141	   	271.79	橙橙3易伤	127易伤2序列升级3低血量敌人46挖尘5赏金塔89核a寒冰对黄
