0	Index      	 *	Score 	Summary	Detail	
1	24612 41221	 * 	230.01	DCR|3ASPD|2DMG|3CDMG|1AART|3DUR	189CDMG|258DUR|3LWND|4AART|69DMG|789ASPD|89BPWR|aRCR
2	46221 36113	 * 	225.40	4VULN|3DMG|2ASPD|1AART|1CDMG|1ZMB|1DUR	137DMG|2378VULN|37BPWR|4ZMB|5CDMG|67ASPD|9DUR|aAART
3	22141 62521	 * 	223.60	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1DMG	1aCDMG|2MDPS|3aVULN|4DMG|5ERES|6RCVC|7RCR|8aASPD|9AART|aBPWR
4	22146 12521	   	223.60	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1DMG	1aCDMG|2MDPS|3aVULN|4DMG|5RCVC|6TLV|7RCR|8aASPD|9AART|aBPWR
5	46222 14222	 * 	223.24	DCR|4VULN|2DMG|1AART|1AAC|1ZMB	13DMG|2378VULN|3BPWR|4ZMB|5AAC|6DMSP|9RCR|aAART
6	46221 36111	 * 	221.68	4VULN|3DMG|2ASPD|1NUKE|1CDMG|1ZMB|1DUR	137DMG|2378VULN|37BPWR|4ZMB|5CDMG|67ASPD|9DUR|aNUKE
7	22141 32521	 * 	220.81	DCR|1MDPS|2DMG|2ASPD|1AART|1VULN|2CDMG	1aCDMG|2MDPS|3VULN|4aDMG|5ERES|6AELBLL|7RCR|8aASPD|9AART|aBPWR
8	46211 13131	 * 	220.17	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4LWND|5FEWX|6aCGEN|7RCR|8DUR|9aASPD
9	46211 33131	   	220.17	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4LWND|5FEWX|6aMLV|7RCR|8DUR|9aASPD
10	46212 53131	   	220.17	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4LWND|5CGEN|6aFEWX|7RCR|8DUR|9aASPD
11	46213 13131	   	220.17	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4LWND|5BEXP|6aCGEN|7RCR|8DUR|9aASPD
12	46213 33131	   	220.17	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4LWND|5BEXP|6aMLV|7RCR|8DUR|9aASPD
13	46233 53131	   	220.17	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4CGEN|5LWND|6aFEWX|7RCR|8DUR|9aASPD
14	46212 33131	   	219.97	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4LWND|5CGEN|6aDUST|7RCR|8DUR|9aASPD
15	46233 33131	   	219.97	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4CGEN|5LWND|6aDUST|7RCR|8DUR|9aASPD
16	46236 33131	   	219.97	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4CGEN|5LHND|6aDUST|7RCR|8DUR|9aASPD
17	46243 33131	   	219.97	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4MLV|5LWND|6aDUST|7RCR|8DUR|9aASPD
18	46253 33131	   	219.97	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4AME|5LWND|6aDUST|7RCR|8DUR|9aASPD
19	44343 23131	   	219.87	DCR|3VULN|2DMG|2ASPD|1DUR	1aDMG|2AME|36aVULN|4DUST|5LEGI|7RCR|8DUR|9aASPD|aBPWR
20	46214 33131	   	219.87	DCR|3VULN|2DMG|2ASPD|1DUR	13DMG|23aVULN|3aBPWR|4LWND|5ERES|6aDUST|7RCR|8DUR|9aASPD
21	45343 23131	   	219.77	DCR|3VULN|2DMG|2ASPD|1DUR	1aDMG|2TLV|36aVULN|4DUST|5LEGI|7RCR|8DUR|9aASPD|aBPWR
22	22141 21421	 * 	218.70	DCR|3VULN|1MDPS|1AART|2CDMG|1DMG|2ZMB	1aCDMG|2MDPS|37aVULN|4DMG|5ERES|6aZMB|8RCR|9AART|aBPWR
23	22141 24421	 * 	218.46	DCR|2VULN|1MDPS|2DMG|1AART|2CDMG|2ZMB	1aCDMG|2MDPS|3aVULN|47DMG|5ERES|6aZMB|8RCR|9AART|aBPWR
24	32122 66325	 * 	217.57	DCR|4VULN|1AART|1DMG|1CDMG	1LWND|2AART|3LHND|459aVULN|6RCR|7CDMG|8DMG
25	46223 23361	   	217.30	DCR|3VULN|2DMG|1ASPD|2ZMB|1DUR	13DMG|23aVULN|3BPWR|46ZMB|5LWND|7DUR|8RCR|9ASPD
26	32422 16532	 * 	216.15	DCR|2DMG|3CDMG|1VULN|1AART|1ASPD|1DUR	18LWND|2AART|3ASPD|48DMG|5DUR|6VULN|789CDMG|8BPWR|aRCR
27	32223 65241	   	215.38	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG	1aLWND|2AART|3TLV|4aDMG|5LEGI|6RCR|7VULN|8CDMG|9aASPD|aBPWR
28	46334 23131	 * 	214.98	DCR|4VULN|1MDPS|2DMG|2ZMB|1DUR	1aDMG|256aVULN|35ZMB|4MDPS|5aBPWR|7RCR|8DUR|9aERES
29	43613 13241	   	213.48	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG	1aDMG|2LWND|3aCGEN|4AART|5LEGI|6VULN|7RCR|8CDMG|9aASPD|aBPWR
30	32223 13241	   	213.38	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG	1aLWND|2AART|3TLV|4aDMG|5LEGI|6VULN|7RCR|8CDMG|9aASPD|aBPWR
31	32623 13241	   	213.38	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG	1aLWND|2AART|3ERES|4aDMG|5LEGI|6VULN|7RCR|8CDMG|9aASPD|aBPWR
