0	Index      	 *	Score 	Summary	Detail	
1	61214 32654	 * 	234.66	DCR|4VULN|3DMG|1AART	1MBVNT|29aDMG|3aCGEN|4AART|578aVULN|6RCR|aBPWR
2	61352 45221	 * 	234.11	DCR|3DMG|3ASPD|1VULN|2CDMG|1DUR	1MBVNT|268DMG|3BEXP|48CDMG|568ASPD|68BPWR|7RCR|9VULN|aDUR
3	61115 43482	 * 	231.06	DCR|3DMG|2VULN|2ASPD|1AART	1MBVNT|257DMG|35ASPD|4AART|5BPWR|6TLV|8RCR|9aVULN
4	22126 35324	 * 	230.75	DCR|4VULN|3DMG|1ASPD	178aVULN|2TLV|3ASPD|459DMG|6RCR
5	26133 22543	   	230.25	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB|1DUR	17VULN|2DUST|37DMG|4LIT|5DUR|67ASPD|7BPWR|8ZMB|9AART|aRCR
6	61113 24816	   	229.26	DCR|3DMG|2VULN|2ASPD|1AART	1MBVNT|258DMG|3aASPD|4AART|6aBEXP|7aVULN|9RCR|aBPWR
7	61115 24814	   	229.16	DCR|3DMG|2VULN|2ASPD|1AART	1MBVNT|258DMG|35ASPD|4AART|5BPWR|6BEXP|7aVULN|9RCR
8	22125 36324	 * 	229.12	DCR|3VULN|3DMG|2ASPD	18aVULN|2TLV|35ASPD|479DMG|6RCR
9	61352 45223	   	225.81	DCR|3DMG|3ASPD|1VULN|2CDMG	1MBVNT|268DMG|3aBEXP|48CDMG|568ASPD|68BPWR|7RCR|9VULN
10	61352 45231	   	225.81	DCR|3DMG|3ASPD|1VULN|2CDMG	1MBVNT|268DMG|3BEXP|48CDMG|568ASPD|68BPWR|7RCR|9MLV|aVULN
11	61352 45222	   	225.71	DCR|3DMG|3ASPD|1VULN|2CDMG	1MBVNT|268DMG|3BEXP|48CDMG|568ASPD|68BPWR|7RCR|9VULN|aDUST
12	61352 45224	   	225.71	DCR|3DMG|3ASPD|1VULN|2CDMG	1MBVNT|268DMG|3BEXP|48CDMG|568ASPD|68BPWR|7RCR|9VULN|aLEGI
13	61352 45241	   	225.71	DCR|3DMG|3ASPD|1VULN|2CDMG	1MBVNT|268DMG|3BEXP|48CDMG|568ASPD|68BPWR|7RCR|9TLV|aVULN
14	61115 24812	 * 	225.03	DCR|3DMG|2ASPD|1VULN|1AART|1CDMG	1MBVNT|258DMG|35ASPD|4AART|5BPWR|6BEXP|7VULN|9RCR|aCDMG
15	22151 35351	 * 	224.09	DCR|4VULN|1ASPD|1DMG|1CDMG|1ZMB	1478VULN|2TLV|3ASPD|5ZMB|6RCR|9CDMG|aDMG
16	22126 35322	   	223.20	DCR|3VULN|3DMG|1ASPD|1DUR	178VULN|2TLV|3ASPD|459DMG|6RCR|aDUR
17	61214 34626	 * 	223.02	DCR|3VULN|2DMG|1AART|1ASPD	1MBVNT|27DMG|3CGEN|4AART|58aVULN|6RCR|9ASPD
18	61514 32624	   	223.02	DCR|3VULN|2DMG|1AART|1ASPD	1MBVNT|2aDMG|3MLV|4AART|578VULN|6RCR|9ASPD
19	61214 32846	 * 	222.68	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2DMG|3CGEN|4AART|57VULN|6RCR|8ASPD|9CDMG|aMDPS
20	22125 35322	   	221.77	DCR|3VULN|2DMG|2ASPD|1DUR	178VULN|2TLV|35ASPD|49DMG|6RCR|aDUR
21	22126 35323	   	221.67	DCR|3VULN|3DMG|1ASPD|1AAC	178VULN|2TLV|3ASPD|459DMG|6RCR|aAAC
22	61614 32843	 * 	221.34	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1MBVNT|2aDMG|3ERES|4AART|57VULN|6RCR|8ASPD|9CDMG
23	65214 32843	   	221.34	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1MBVNT|2AART|3ERES|4aDMG|57VULN|6RCR|8ASPD|9CDMG
24	61214 32626	 * 	221.28	DCR|4VULN|1AART|1ASPD|1DMG	1MBVNT|2DMG|3CGEN|4AART|578aVULN|6RCR|9ASPD
25	21152 22166	 * 	221.23	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1VULN|2DUR|34DMG|5ZMB|67CDMG|8ASPD|9RCR|aAART
26	61514 34624	   	220.84	DCR|3DMG|2VULN|1AART|1ASPD	1MBVNT|27aDMG|3MLV|4AART|58VULN|6RCR|9ASPD
27	61214 32847	 * 	219.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1MBVNT|2DMG|3CGEN|4aAART|57VULN|6RCR|8ASPD|9CDMG
28	22125 36322	   	219.59	DCR|3DMG|2VULN|2ASPD|1DUR	18VULN|2TLV|35ASPD|479DMG|6RCR|aDUR
29	22121 44336	   	219.41	DCR|2VULN|2DMG|2ASPD|1AART	1aVULN|2TLV|3aASPD|47DMG|5AME|6RCR|8aDUST|9AART|aBPWR
30	22126 34336	   	219.41	DCR|2VULN|2DMG|2ASPD|1AART	1aVULN|2TLV|3aASPD|45DMG|6RCR|7CGEN|8aDUST|9AART|aBPWR
31	21152 23166	   	219.04	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	1VULN|27DUR|34DMG|5ZMB|6CDMG|8ASPD|9RCR|aAART
32	61614 32345	 * 	219.03	DCR|3VULN|2AART|2DMG	1MBVNT|29DMG|39ERES|4aAART|579VULN|6RCR|8BELT|9BPWR
33	65214 32345	   	219.03	DCR|3VULN|2AART|2DMG	1MBVNT|2aAART|39ERES|49DMG|579VULN|6RCR|8BELT|9BPWR
34	61214 32644	   	219.01	DCR|4VULN|2DMG|1AART	1MBVNT|2aDMG|39aCGEN|4AART|578aVULN|6RCR|aBPWR
35	61214 32674	   	219.01	DCR|4VULN|2DMG|1AART	1MBVNT|2aDMG|3aCGEN|4AART|578aVULN|6RCR|9DMSP|aBPWR
36	63714 32644	   	219.01	DCR|4VULN|2DMG|1AART	1MBVNT|29aCGEN|3aDMG|4AART|578aVULN|6RCR|aBPWR
37	61214 34644	   	218.81	DCR|3VULN|3DMG|1AART	1MBVNT|27aDMG|39aCGEN|4AART|58aVULN|6RCR|aBPWR
38	61214 34674	   	218.81	DCR|3VULN|3DMG|1AART	1MBVNT|27aDMG|3aCGEN|4AART|58aVULN|6RCR|9DMSP|aBPWR
39	63714 34644	   	218.81	DCR|3VULN|3DMG|1AART	1MBVNT|29aCGEN|37aDMG|4AART|58aVULN|6RCR|aBPWR
40	61214 32652	   	218.81	DCR|4VULN|2DMG|1AART	1MBVNT|29DMG|3CGEN|4AART|578aVULN|6RCR
41	61614 32614	   	218.71	DCR|4VULN|2DMG|1AART	1MBVNT|2aDMG|39aERES|4AART|578aVULN|6RCR|aBPWR
42	65214 32614	   	218.71	DCR|4VULN|2DMG|1AART	1MBVNT|2AART|39aERES|4aDMG|578aVULN|6RCR|aBPWR
43	61614 34347	   	218.61	DCR|3VULN|3DMG|1AART	1MBVNT|279DMG|39ERES|4AART|59aVULN|6RCR|8BELT|9BPWR
44	65214 34347	   	218.61	DCR|3VULN|3DMG|1AART	1MBVNT|2AART|39ERES|479DMG|59aVULN|6RCR|8BELT|9BPWR
45	61614 34614	   	218.51	DCR|3VULN|3DMG|1AART	1MBVNT|27aDMG|39aERES|4AART|58aVULN|6RCR|aBPWR
46	65214 34614	   	218.51	DCR|3VULN|3DMG|1AART	1MBVNT|2AART|39aERES|47aDMG|58aVULN|6RCR|aBPWR
47	62836 34421	 * 	218.28	DCR|2VULN|2DMG|3CDMG|3ZMB|1NUKE	1MBVNT|24aCDMG|345ZMB|4aBPWR|6RCR|7NUKE|8aDMG|9aVULN
48	22125 36323	   	218.06	DCR|3DMG|2VULN|2ASPD|1AAC	18VULN|2TLV|35ASPD|479DMG|6RCR|aAAC
49	21115 44111	   	217.65	DCR|3DMG|2VULN|1ASPD|2DUR	19VULN|24DUR|378DMG|5ASPD|6RCR|aSPLREG
50	61163 48431	 * 	217.58	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2DMG|3ASPD|467VULN|5DUST|8RCR|9AART|aCDMG
51	23261 35321	 * 	217.46	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB|1SELL	178VULN|2SELL|3CDMG|4ASPD|5ZMB|6RCR|9DMG|aMDPS
52	23261 36531	 * 	217.46	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB|1SELL	189VULN|2SELL|3CDMG|4ASPD|5ZMB|6RCR|7DMG|aMDPS
53	61163 45431	   	217.34	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1MBVNT|27DMG|3ASPD|46VULN|5DUST|8RCR|9AART|aCDMG
54	23261 36131	 * 	217.21	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG|1ZMB|1SELL	19VULN|2SELL|3CDMG|4ASPD|5ZMB|6RCR|78DMG|aMDPS
55	61214 34847	 * 	217.13	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG	1MBVNT|27DMG|3CGEN|4aAART|5VULN|6RCR|8ASPD|9CDMG
56	61115 24811	   	217.09	DCR|3DMG|2ASPD|1VULN|1AART|1DUR	1MBVNT|258DMG|35ASPD|4AART|5BPWR|6BEXP|7VULN|9RCR|aDUR
57	61614 34342	 * 	217.03	DCR|3DMG|2VULN|1AART|1CDMG	1MBVNT|279DMG|39ERES|4AART|59VULN|6RCR|8BELT|9BPWR|aCDMG
58	65214 34342	   	217.03	DCR|3DMG|2VULN|1AART|1CDMG	1MBVNT|2AART|39ERES|479DMG|59VULN|6RCR|8BELT|9BPWR|aCDMG
59	61213 36482	   	216.94	DCR|3DMG|2VULN|1AART|1ASPD	1MBVNT|256DMG|36CGEN|4AART|6BPWR|7ASPD|8RCR|9aVULN
60	65713 41123	 * 	216.89	DCR|2VULN|2AART|2DMG|3DUR	1MBVNT|2aAART|38VULN|4RCVC|58DMG|678DUR|8BPWR|9RCR
61	21142 21421	 * 	216.84	DCR|3VULN|1SPLARM|1ASPD|1DMG|1CDMG|1DUR	19aVULN|2DUR|3DMG|4CDMG|5ASPD|6LWND|7SPLARM|8RCR
62	61113 43482	   	216.74	DCR|3DMG|2VULN|1AART|1ASPD	1MBVNT|257DMG|3ASPD|4AART|6TLV|8RCR|9aVULN
63	21142 31421	   	216.74	DCR|3VULN|1SPLARM|1ASPD|1DMG|1CDMG|1DUR	19aVULN|2DUR|3DMG|4CDMG|5ASPD|6DUST|7SPLARM|8RCR
64	61614 34843	   	216.61	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1MBVNT|27aDMG|3ERES|4AART|5VULN|6RCR|8ASPD|9CDMG
65	65214 34843	   	216.61	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1MBVNT|2AART|3ERES|47aDMG|5VULN|6RCR|8ASPD|9CDMG
66	61115 43451	 * 	216.08	DCR|3DMG|3ASPD|1AART|1CDMG	1MBVNT|257DMG|359ASPD|4AART|59BPWR|69TLV|8RCR|aCDMG
67	61742 18431	   	216.02	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1MBVNT|23DMG|4DUR|5ZMB|67VULN|8RCR|9AART|aCDMG
68	21115 44122	 * 	215.77	DCR|3DMG|2VULN|1ASPD|3DUR	1aVULN|249DUR|378DMG|5ASPD|6RCR
69	22126 36122	   	215.70	DCR|3DMG|2VULN|1ASPD|1ZMB|1DUR	1aVULN|2TLV|3ASPD|457DMG|6RCR|8ZMB|9DUR
70	21112 44114	 * 	215.51	DCR|1SPLARM|3DMG|2VULN|2DUR|1ZMB	19VULN|24DUR|378DMG|5ZMB|6RCR|aSPLARM
71	22122 24214	 * 	215.36	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG|1ZMB	19VULN|2TLV|3ASPD|48DMG|5ZMB|6CDMG|7RCR|aMDPS
72	22151 36143	 * 	215.15	DCR|2VULN|2DMG|1ASPD|1NUKE|1AAC|1ZMB	14VULN|2TLV|3ASPD|5ZMB|6RCR|78DMG|9NUKE|aAAC
73	22126 35363	   	215.09	DCR|4VULN|2DMG|1ASPD	178aVULN|2TLV|3ASPD|45DMG|6RCR|9MULARM
74	22126 35321	   	214.90	DCR|3VULN|3DMG|1ASPD	178VULN|2TLV|3ASPD|459DMG|6RCR|aRPLT
75	22126 35325	   	214.90	DCR|3VULN|3DMG|1ASPD	178VULN|2TLV|3ASPD|459DMG|6RCR|aCGEN
