0	Index      	 *	Score 	Summary	Detail	
1	53123 11135	 * 	196.22	DCR|3VULN|3DMG|3DUR|1CDMG	124DUR|379LIT|579DMG|679VULN|79BPWR|8RCR|aCDMG
2	21613 86344	 * 	194.02	DCR|3VULN|2DMG|1AART|2ZMB	1aZMB|2MBVNT|3LWND|47aVULN|5aDMG|6RCR|8RPLT|9AART|aBPWR
3	21563 46344	 * 	189.92	ACR|2VULN|2DMG|3ZMB|1AART	13aZMB|2MBVNT|4RCR|5LWND|6aDMG|7aVULN|8RPLT|9AART|aBPWR
4	21113 83274	 * 	187.86	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	1aZMB|2MBVNT|3LHND|4aVULN|5DMG|6RCR|7AART|8CDMG|9aDUR|aBPWR
5	21613 83274	   	187.86	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	1aZMB|2MBVNT|3LWND|4aVULN|5DMG|6RCR|7AART|8CDMG|9aDUR|aBPWR
6	41432 22134	 * 	187.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19VULN|2ZMB|3RPLT|4LIT|58DMG|6RCR|7CDMG|aAART
7	41123 51222	 * 	187.41	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	18VULN|2ZMB|3LHND|4DUR|567DMG|9AART|aRCR
8	51113 51222	   	187.41	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUR|2ZMB|3LHND|48VULN|567DMG|9AART|aRCR
9	21233 36284	 * 	186.62	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	18ZMB|2MBVNT|37LIT|48VULN|58DMG|6AART|8BPWR|9RCR|aCDMG
10	21113 86151	 * 	186.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2MBVNT|3LHND|478VULN|5DMG|6RCR|9AART|aCDMG
11	12156 63311	 * 	183.02	DCR|3VULN|1AART|3CDMG|1ZMB	139aCGEN|2AART|49aCDMG|5ZMB|6RCR|7FEWX|89aVULN|9aBPWR
12	53123 11131	   	182.57	DCR|3VULN|3DMG|3DUR	124DUR|379LIT|579DMG|679VULN|79BPWR|8RCR|aFEWX
13	53123 11132	   	182.57	DCR|3VULN|3DMG|3DUR	124DUR|379LIT|579DMG|679VULN|79BPWR|8RCR|aRCVC
14	53123 11134	   	182.57	DCR|3VULN|3DMG|3DUR	124DUR|379LIT|579DMG|679VULN|79BPWR|8RCR|aCGEN
15	55423 11131	   	182.57	DCR|3VULN|3DMG|3DUR	134DUR|279LIT|579DMG|679VULN|79BPWR|8RCR|aFEWX
16	55423 11132	   	182.57	DCR|3VULN|3DMG|3DUR	134DUR|279LIT|579DMG|679VULN|79BPWR|8RCR|aRCVC
17	53123 11133	   	182.47	DCR|3VULN|3DMG|3DUR	124DUR|379LIT|579DMG|679VULN|79BPWR|8RCR|aDUST
18	53123 11136	   	182.47	DCR|3VULN|3DMG|3DUR	124DUR|379LIT|579DMG|679VULN|79BPWR|8RCR|aMBVNT
19	55423 11133	   	182.47	DCR|3VULN|3DMG|3DUR	134DUR|279LIT|579DMG|679VULN|79BPWR|8RCR|aDUST
20	41432 22135	   	179.92	DCR|3VULN|2DMG|1CDMG|1ZMB	19aVULN|2ZMB|3RPLT|4LIT|58DMG|6RCR|7CDMG
21	21561 47121	 * 	179.67	ACR|2VULN|2DMG|3ZMB|1FLTHEA	13aZMB|2MBVNT|4RCR|5LHND|6aVULN|7FLTHEA|8TLV|9aDMG|aBPWR
22	21713 63522	 * 	178.67	DCR|3VULN|3DMG|2ZMB	18ZMB|2MBVNT|3BEXP|48aVULN|568DMG|7BELT|8BPWR|9RCR
23	21813 63522	   	178.57	DCR|3VULN|3DMG|2ZMB	18ZMB|2MBVNT|3DUST|48aVULN|568DMG|7BELT|8BPWR|9RCR
24	21113 83246	 * 	177.89	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1ZMB|2MBVNT|3LHND|4VULN|5aDMG|6RCR|7AART|89CDMG
25	21613 83246	   	177.89	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1ZMB|2MBVNT|3LWND|4VULN|5aDMG|6RCR|7AART|89CDMG
26	53123 12136	   	177.72	DCR|3DMG|2VULN|3DUR|1ZMB	124DUR|39LIT|579DMG|69VULN|8RCR|9BPWR|aZMB
27	53123 11126	   	177.72	DCR|3DMG|2VULN|3DUR|1ZMB	124DUR|37LIT|579DMG|67VULN|7BPWR|8RCR|aZMB
28	21115 38522	 * 	176.55	DCR|3VULN|2DMG|3ZMB	168ZMB|2MBVNT|3LHND|48aVULN|5BELT|78DMG|8BPWR|9RCR
29	22263 35432	   	176.51	DCR|3VULN|2DMG|3ZMB|1SELL	17aZMB|2DMSP|37aVULN|4SELL|5RPLT|6RCVC|7aBPWR|8aDMG|9RCR
30	21113 86173	 * 	176.33	DCR|4VULN|1DMG|1CDMG|1ZMB	1ZMB|2MBVNT|3LHND|4789VULN|5DMG|6RCR|aCDMG
31	21712 28246	   	176.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1ZMB|2MBVNT|3BEXP|4VULN|59CDMG|6AART|7RCR|8aDMG
32	21862 44246	 * 	175.81	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1ZMB|2MBVNT|3DUST|4RCR|59CDMG|6VULN|7AART|8aDMG
33	21113 83224	   	175.63	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1aZMB|2MBVNT|3LHND|4aVULN|5DMG|6RCR|7AART|8CDMG|9aFEWX|aBPWR
34	21613 83224	   	175.63	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1aZMB|2MBVNT|3LWND|4aVULN|5DMG|6RCR|7AART|8CDMG|9aFEWX|aBPWR
35	21113 83437	   	175.52	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2MBVNT|3LHND|4aVULN|59DMG|6RCR|7AART|8LIT
36	21862 42316	 * 	175.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2MBVNT|3DUST|4RCR|5CDMG|67VULN|8ASPD|9AART|aDMG
37	41123 51122	   	175.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1VULN|2ZMB|3LHND|48DUR|567DMG|9AART|aRCR
38	51113 51122	   	175.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	18DUR|2ZMB|3LHND|4VULN|567DMG|9AART|aRCR
39	52233 36211	 * 	174.93	DCR|3DMG|1AART|1VULN|3DUR	179DUR|2BEXP|379LIT|4RMIN|579DMG|6AART|79BPWR|8RCR|aVULN
40	55133 36213	   	174.93	DCR|3DMG|1AART|1VULN|3DUR	179DUR|2LIT|379FEWX|4RMIN|579DMG|6AART|79BPWR|8RCR|aVULN
41	24611 25311	 * 	174.71	DCR|2VULN|3ZMB|1AART|2CDMG	13aZMB|2ERES|4AART|5DMSP|6aVULN|7RCR|8aCDMG|9MBVNT|aBPWR
42	12321 23361	   	174.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2AART|3RMIN|49VULN|5LWND|6RCR|7DMG|8ZMB|aCDMG
43	12322 23135	   	174.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2AART|3RMIN|4VULN|5BEXP|6RCR|7aDMG|8CDMG|9ZMB
44	12322 23361	   	174.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2AART|3RMIN|49VULN|5BEXP|6RCR|7DMG|8ZMB|aCDMG
45	12324 23135	   	174.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2AART|3RMIN|4VULN|5FEWX|6RCR|7aDMG|8CDMG|9ZMB
46	12324 23361	   	174.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2AART|3RMIN|49VULN|5FEWX|6RCR|7DMG|8ZMB|aCDMG
47	55333 36213	   	174.63	DCR|3DMG|1AART|1VULN|3DUR	179DUR|2LIT|379DUST|4RMIN|579DMG|6AART|79BPWR|8RCR|aVULN
48	12326 23135	   	174.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2AART|3RMIN|4VULN|5DUST|6RCR|7aDMG|8CDMG|9ZMB
49	12326 23321	   	174.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2AART|3RMIN|4VULN|5DUST|6RCR|79DMG|8ZMB|aCDMG
50	12326 23361	   	174.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2AART|3RMIN|49VULN|5DUST|6RCR|7DMG|8ZMB|aCDMG
51	24531 23125	   	173.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2ERES|3AART|4DUST|5LWND|6RCR|7DMG|8CDMG|9aVULN
52	24532 23125	   	173.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2ERES|3AART|4DUST|5FEWX|6RCR|7DMG|8CDMG|9aVULN
