0	Index      	 *	Score 	Summary	Detail	
1	13334 33532	 * 	202.52	DCR|3DMG|2VULN|2ASPD|1CDMG|1FLTHEA|1ZMB	19VULN|2LHND|359DMG|4CDMG|6ZMB|79ASPD|8RCR|9BPWR|aFLTHEA
2	31343 52532	 * 	197.57	DCR|3DMG|2VULN|3ASPD|2ZMB|2DUR|1SELL	1SELL|29aDMG|39VULN|4aDUR|5aZMB|679ASPD|8RCR|9aBPWR
3	13334 33531	   	195.81	DCR|3DMG|2VULN|2ASPD|1CDMG|1ZMB|1DUR	19VULN|2LHND|359DMG|4CDMG|6ZMB|79ASPD|8RCR|9BPWR|aDUR
4	11254 13262	 * 	189.78	DCR|3VULN|3DMG|2ZMB|1CDMG|1SELL	189VULN|28ZMB|3BEXP|4CDMG|568DMG|7SELL|8BPWR|aRCR
5	14134 22332	 * 	189.38	ACR|2VULN|3ZMB|1DMG|2ASPD|1CDMG|1FLTHEA	19VULN|2DUST|389ZMB|4RCR|5DMG|6CDMG|79ASPD|9BPWR|aFLTHEA
6	36351 13243	 * 	189.05	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD|1DUR|1SELL	1SELL|2RCR|38ASPD|4RCVC|5DMG|68VULN|78CDMG|8BPWR|9AART|aDUR
7	13334 33533	   	188.87	DCR|3DMG|2VULN|2ASPD|1CDMG|1ZMB	19VULN|2LHND|359DMG|4CDMG|6ZMB|79ASPD|8RCR|9BPWR|aBEXP
8	13334 33535	   	188.87	DCR|3DMG|2VULN|2ASPD|1CDMG|1ZMB	19VULN|2LHND|359DMG|4CDMG|6ZMB|79ASPD|8RCR|9BPWR|aBELT
9	13334 33536	   	188.87	DCR|3DMG|2VULN|2ASPD|1CDMG|1ZMB	19VULN|2LHND|359DMG|4CDMG|6ZMB|79ASPD|8RCR|9BPWR|aLWND
10	31314 33532	   	188.62	DCR|3DMG|2VULN|2ASPD|1FLTHEA|1ZMB|1SELL	1SELL|259DMG|39VULN|4LHND|6ZMB|79ASPD|8RCR|9BPWR|aFLTHEA
11	36351 13242	 * 	188.43	ACR|2VULN|1AART|3ASPD|1DMG|2CDMG|1SELL	1SELL|2RCR|38aASPD|4RCVC|5DMG|68VULN|78CDMG|8BPWR|9AART
12	15332 22421	 * 	187.07	DCR|3DMG|2VULN|1AART|1ZMB	15VULN|2CGEN|3RMIN|468DMG|7RCR|9ZMB|aAART
13	15132 22421	   	186.97	DCR|3DMG|2VULN|1AART|1ZMB	15VULN|2CGEN|3ERES|468DMG|7RCR|9ZMB|aAART
14	23531 41523	   	186.47	DCR|3DMG|2VULN|1AART|1ZMB	1LIT|28VULN|3AART|467DMG|5LHND|9RCR|aZMB
15	31343 52533	 * 	186.22	DCR|2VULN|2DMG|3ASPD|1CDMG|1ZMB|1DUR|1SELL	1SELL|29DMG|39VULN|4DUR|5ZMB|679ASPD|8RCR|9BPWR|aCDMG
16	14334 14132	 * 	185.73	ACR|3DMG|2VULN|1AART|1DUR	1aVULN|2DUST|357DMG|4RCR|6AART|8CGEN|9DUR
17	14335 14132	   	185.73	ACR|3DMG|2VULN|1AART|1DUR	1aVULN|25DUST|357DMG|4RCR|5BPWR|6AART|8CGEN|9DUR
18	14331 14113	   	185.63	ACR|3DMG|2VULN|1AART|1DUR	18VULN|25DUST|37aDMG|4RCR|6AART|9DUR
19	14334 14212	   	185.48	ACR|3DMG|2VULN|1AART|1ASPD|1SELL	19VULN|2DUST|357DMG|4RCR|6AART|8SELL|aASPD
20	14335 14212	   	185.48	ACR|3DMG|2VULN|1AART|1ASPD|1SELL	19VULN|25DUST|357DMG|4RCR|5BPWR|6AART|8SELL|aASPD
21	14331 14115	 * 	183.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	18VULN|25DUST|37DMG|4RCR|6AART|9DUR|aCDMG
22	15332 22426	 * 	183.57	DCR|3VULN|3DMG|2ZMB	15aVULN|2aCGEN|3RMIN|468DMG|7RCR|9aZMB|aBPWR
23	15132 22143	 * 	182.91	DCR|3VULN|2DMG|1AART|1DUR	158VULN|2CGEN|3ERES|46DMG|7RCR|9DUR|aAART
24	16132 22143	   	182.91	DCR|3VULN|2DMG|1AART|1DUR	158VULN|2MLV|3ERES|46DMG|7RCR|9DUR|aAART
25	15332 22126	 * 	182.82	DCR|4VULN|3DMG	158aVULN|2CGEN|3RMIN|46aDMG|7RCR|9aFEWX|aBPWR
26	16332 22126	   	182.82	DCR|4VULN|3DMG	158aVULN|2MLV|3RMIN|46aDMG|7RCR|9aFEWX|aBPWR
27	41132 22143	   	182.81	DCR|3VULN|2DMG|1AART|1DUR	1TLV|258VULN|3ERES|46DMG|7RCR|9DUR|aAART
28	14134 22331	   	182.67	ACR|2VULN|3ZMB|1DMG|2ASPD|1CDMG|1DUR	19VULN|2DUST|389ZMB|4RCR|5DMG|6CDMG|79ASPD|9BPWR|aDUR
29	14336 42333	 * 	182.63	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	19VULN|2DUST|39DMG|4RCR|5LWND|6ASPD|7MBVNT|89ZMB|9BPWR|aAART
30	36351 13241	 * 	182.11	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD|1SELL	1SELL|2RCR|38ASPD|4RCVC|5DMG|68VULN|78CDMG|8BPWR|9AART|aRMIN
31	11133 64123	 * 	182.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	18VULN|2ZMB|389ERES|4DMG|5CDMG|6RCR|78DUR|8BPWR|aAART
32	31314 33531	   	181.91	DCR|3DMG|2VULN|2ASPD|1ZMB|1DUR|1SELL	1SELL|259DMG|39VULN|4LHND|6ZMB|79ASPD|8RCR|9BPWR|aDUR
33	14333 21153	 * 	181.79	ACR|3VULN|2DMG|2ZMB|1CDMG	18aVULN|2DUST|38DMG|4RCR|5ERES|6CDMG|78ZMB|8BPWR|9RMIN
34	14333 21163	   	181.79	ACR|3VULN|2DMG|2ZMB|1CDMG	18aVULN|2DUST|38DMG|4RCR|5ERES|6CDMG|78ZMB|8BPWR|9CGEN
