0	Index      	 *	Score 	Summary	Detail	
1	26214 63123	 * 	179.47	DCR|3DMG|2VULN|1AART	1ERES|2DUST|39VULN|4LHND|57aDMG|6RCR|8AART
2	22223 31542	 * 	170.63	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG	1ERES|2LWND|3VULN|4CDMG|5LHND|6aDMG|7RCR|8FLTHEA|9AART
3	21344 23523	 * 	170.57	ACR|2VULN|2DMG|1AART|1DUR	1ERES|2CGEN|3RCR|4DUR|58VULN|6MBVNT|7aDMG|9AART
4	31362 36262	   	169.51	ACR|2VULN|2DMG|1AART	1TLV|2CGEN|3RCR|4aDMG|58RCVC|69VULN|7AART
5	21363 46232	 * 	169.23	ACR|3VULN|2DMG|1CDMG	19ERES|2CGEN|3RCR|49DMG|5FEWX|6TLV|789VULN|9BPWR|aCDMG
6	31363 56232	   	169.23	ACR|3VULN|2DMG|1CDMG	19TLV|2CGEN|3RCR|49DMG|5FEWX|6ERES|789VULN|9BPWR|aCDMG
7	23334 33424	 * 	169.07	ACR|2VULN|2AART|1DMG|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|58VULN|6LHND|7DMG|9aAART
8	21315 32651	 * 	169.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	14ERES|2CGEN|3RCR|5AART|6CDMG|7ASPD|8DMG|9aVULN
9	13514 63123	   	168.92	DCR|3DMG|1AART|1VULN|1DUR	1LHND|2DUST|3DUR|4MLV|57aDMG|6RCR|8AART|9VULN
10	21254 13523	   	168.77	ACR|2VULN|2DMG|1AART|1DUR	1ERES|2CGEN|35VULN|4RCR|6DUST|7aDMG|8AART|9DUR
11	26214 63232	 * 	168.71	DCR|3VULN|2DMG|1CDMG	1ERES|2DUST|389VULN|4LHND|57DMG|6RCR|aCDMG
12	33361 41236	 * 	168.14	ACR|3VULN|1AART|1DMG|1ASPD	1TLV|2ASPD|3RCR|4DMG|5BEXP|689VULN|7MLV|aAART
13	31362 36412	   	167.74	ACR|2VULN|2DMG|1AART	1TLV|29CGEN|3RCR|4aDMG|5RCVC|68VULN|7AART
14	31362 36362	   	167.64	ACR|2VULN|2DMG|1AART	18TLV|2CGEN|3RCR|4aDMG|5RCVC|69VULN|7AART
15	31362 36423	   	167.64	ACR|2VULN|2DMG|1AART	1TLV|2CGEN|3RCR|4aDMG|5RCVC|68VULN|7AART|9DUST
16	33364 62322	 * 	167.59	ACR|2AART|1VULN|1DMG|2ASPD|2DUR	1TLV|2aASPD|3RCR|4DMG|59DUR|67AART|8VULN
17	33366 22126	 * 	167.52	ACR|2DMG|3ZMB|1AART|2ASPD	19TLV|29ASPD|3RCR|49DMG|567ZMB|8DMSP|9BPWR|aAART
18	11421 51531	 * 	167.03	ACR|3DMG|2VULN|1CDMG	1LHND|29LWND|3DUST|4RCR|5CDMG|69aDMG|7BEXP|89VULN|9BPWR
19	13221 51531	   	166.93	ACR|3DMG|2VULN|1CDMG	1LHND|29DUST|3LWND|4RCR|5CDMG|69aDMG|7BEXP|89VULN|9BPWR
20	13221 55531	   	166.93	ACR|3DMG|2VULN|1CDMG	1LHND|29DUST|3LWND|4RCR|5CDMG|69aDMG|7FEWX|89VULN|9BPWR
21	23334 36236	 * 	166.71	ACR|4VULN|1AART|1DUR|1ASPD	1ERES|2ASPD|3DUR|4RCR|5789VULN|6LHND|aAART
22	33361 62226	   	166.33	ACR|2VULN|2AART|1DMG|1ASPD	1TLV|2ASPD|3RCR|4DMG|5BEXP|67AART|8RMIN|9aVULN
23	25324 41232	 * 	166.11	ACR|2VULN|1AART|1DMG|2CDMG	18ERES|2LEGI|3RCR|4CGEN|58VULN|6BELT|78CDMG|8BPWR|9AART|aDMG
24	25326 31232	   	166.11	ACR|2VULN|1AART|1DMG|2CDMG	18ERES|2LEGI|3RCR|4CGEN|5BELT|68VULN|78CDMG|8BPWR|9AART|aDMG
25	21344 23324	   	166.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2CGEN|3RCR|4DUR|59VULN|6MBVNT|7DMG|8CDMG|aAART
26	25334 41232	   	166.01	ACR|2VULN|1AART|1DMG|2CDMG	18ERES|2LEGI|3RCR|4TLV|58VULN|6BELT|78CDMG|8BPWR|9AART|aDMG
27	25336 31232	   	166.01	ACR|2VULN|1AART|1DMG|2CDMG	18ERES|2LEGI|3RCR|4TLV|5BELT|68VULN|78CDMG|8BPWR|9AART|aDMG
28	31362 36512	 * 	165.80	ACR|3DMG|1AART|1VULN	1TLV|29CGEN|3RCR|48aDMG|5RCVC|6VULN|7AART
29	31362 36523	   	165.70	ACR|3DMG|1AART|1VULN	1TLV|2CGEN|3RCR|48aDMG|5RCVC|6VULN|7AART|9DUST
30	33364 41232	   	165.52	ACR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4DMG|5DUR|689VULN|7MLV|aCDMG
31	23134 26243	   	164.93	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2ASPD|3LHND|4RCR|57VULN|6RPLT|8AART|9CDMG|aDMG
32	33363 65122	   	164.69	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1TLV|2ASPD|3RCR|47DMG|5BELT|6MLV|8AART|9VULN|aZMB
33	21244 21243	 * 	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2CGEN|35VULN|4DUR|6RPLT|7RCR|8AART|9CDMG|aDMG
34	31366 13232	   	164.48	ACR|2VULN|2DMG|1CDMG|1ZMB	1TLV|2CGEN|3RCR|47DMG|5ZMB|6DUST|89VULN|aCDMG
35	41155 31332	   	164.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CGEN|3LHND|4RCR|5BELT|68VULN|7CDMG|9AART|aDMG
36	23134 41332	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2ASPD|3LHND|4RCR|58VULN|6BELT|7CDMG|9AART|aDMG
37	23135 31332	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2ASPD|3LHND|4RCR|5BELT|68VULN|7CDMG|9AART|aDMG
38	23434 41332	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2ASPD|3LWND|4RCR|58VULN|6BELT|7CDMG|9AART|aDMG
39	23435 31332	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2ASPD|3LWND|4RCR|5BELT|68VULN|7CDMG|9AART|aDMG
40	42134 41332	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|3ERES|4RCR|58VULN|6BELT|7CDMG|9AART|aDMG
41	42135 31332	   	164.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|3ERES|4RCR|5BELT|68VULN|7CDMG|9AART|aDMG
42	13521 52115	 * 	164.33	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2DUST|3DUR|4RCR|5CDMG|6aDMG|7LIT|8VULN|9AART
43	21233 35523	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2CGEN|37VULN|4ZMB|5FEWX|6RCR|8AART|9DUR|aDMG
44	21233 35563	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2CGEN|37VULN|4ZMB|5FEWX|6RCR|8AART|9ASPD|aDMG
45	45135 31332	   	164.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LEGI|3ERES|4RCR|5BELT|68VULN|7CDMG|9AART|aDMG
46	33364 62222	   	164.20	ACR|2AART|1VULN|1DMG|2ASPD|1DUR	1TLV|2aASPD|3RCR|4DMG|5DUR|67AART|8RCVC|9VULN
47	23315 63224	 * 	164.14	DCR|3VULN|2AART|1DUR|1ASPD	14ERES|2ASPD|3DUR|56AART|79aVULN|8RCR
48	21334 24423	   	164.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2CGEN|3RCR|4ZMB|5DUR|6FEWX|78VULN|9AART|aDMG
49	21362 45333	 * 	164.00	ACR|2AART|1VULN|1DMG|1FLTHEA|1ASPD	1ERES|2CGEN|3RCR|4DMG|5RCVC|6FLTHEA|7ASPD|8aAART|9VULN
50	21344 23522	   	163.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2CGEN|3RCR|4DUR|58VULN|6MBVNT|7DMG|9AART|aZMB
51	22223 31144	 * 	163.89	DCR|2DMG|1AART|1VULN|2CDMG	1ERES|2LWND|3VULN|49CDMG|5LHND|6aDMG|7RCR|8AART
52	26214 61123	   	163.81	DCR|2VULN|2DMG|1AART	1ERES|2DUST|39VULN|47LHND|5aDMG|6RCR|8AART
53	26214 63121	   	163.81	DCR|2VULN|2DMG|1AART	1ERES|2DUST|39VULN|4LHND|57DMG|6RCR|8AART|aRMIN
54	26214 63122	   	163.81	DCR|2VULN|2DMG|1AART	1ERES|2DUST|39VULN|4LHND|57DMG|6RCR|8AART|aFEWX
55	21324 53423	   	163.73	ACR|2VULN|2DMG|1AART	1ERES|2CGEN|3RCR|4FEWX|58VULN|6LHND|7aDMG|9AART
56	21361 24423	   	163.73	ACR|2VULN|2DMG|1AART	1ERES|2CGEN|3RCR|4aDMG|5BEXP|6FEWX|78VULN|9AART
57	21363 24423	   	163.73	ACR|2VULN|2DMG|1AART	1ERES|2CGEN|3RCR|4aDMG|5FEWX|6BEXP|78VULN|9AART
58	21255 41232	   	163.71	ACR|2VULN|1AART|1DMG|2CDMG	18ERES|2CGEN|38VULN|4RCR|5MBVNT|6BELT|78CDMG|8BPWR|9AART|aDMG
59	21233 36423	   	163.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2CGEN|38VULN|4ZMB|5FEWX|6RCR|7DUR|9AART|aDMG
60	21324 23523	   	163.63	ACR|2VULN|2DMG|1AART	1ERES|2CGEN|3RCR|4FEWX|58VULN|6MBVNT|7aDMG|9AART
61	26324 13423	   	163.63	ACR|2VULN|2DMG|1AART	1ERES|2DUST|3RCR|4CGEN|58VULN|6BEXP|7aDMG|9AART
62	35156 31232	   	163.61	ACR|2VULN|1AART|1DMG|2CDMG	18TLV|2LEGI|3ERES|4RCR|5BELT|68VULN|78CDMG|8BPWR|9AART|aDMG
63	25324 23523	   	163.53	ACR|2VULN|2DMG|1AART	1ERES|2LEGI|3RCR|4CGEN|58VULN|6MBVNT|7aDMG|9AART
64	26324 23523	   	163.53	ACR|2VULN|2DMG|1AART	1ERES|2DUST|3RCR|4CGEN|58VULN|6MBVNT|7aDMG|9AART
65	41366 21323	 * 	163.40	ACR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD	1ASPD|2CGEN|3RCR|4DMG|56ZMB|7ERES|8CDMG|9VULN|aAART
66	21124 63423	   	163.31	DCR|2VULN|2DMG|1AART	1ERES|2CGEN|3LHND|4FEWX|58VULN|6RCR|7aDMG|9AART
67	33366 21423	   	163.30	ACR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD	1TLV|2ASPD|3RCR|4DMG|56ZMB|7ERES|8CDMG|9VULN|aAART
68	33366 22243	 * 	163.28	ACR|3ZMB|1AART|1VULN|1DMG|1ASPD	1TLV|2ASPD|3RCR|4DMG|567ZMB|8FEWX|9VULN|aAART
69	33362 63326	 * 	163.10	ACR|2DMG|1AART|3ASPD|2ZMB	19TLV|267ASPD|3RCR|49DMG|5RCVC|89ZMB|9BPWR|aAART
70	23334 33426	 * 	162.92	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1ERES|2ASPD|3aDUR|4RCR|58VULN|6LHND|7DMG|9AART
71	21315 32653	 * 	162.89	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD	14ERES|2CGEN|3RCR|5aAART|6CDMG|7ASPD|8DMG|9VULN
72	41132 53511	 * 	162.73	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	19ASPD|29CGEN|36LHND|4DUR|5RCR|79DMG|8AART|9BPWR|aVULN
73	21366 16232	   	162.55	ACR|3VULN|1DMG|1CDMG|1ZMB	1ERES|2CGEN|3RCR|4DMG|5ZMB|6DUST|789VULN|aCDMG
74	31366 16232	   	162.55	ACR|3VULN|1DMG|1CDMG|1ZMB	1TLV|2CGEN|3RCR|4DMG|5ZMB|6DUST|789VULN|aCDMG
75	13123 32233	   	162.47	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2DUST|3AART|4CGEN|5DUR|69VULN|7ZMB|8RCR|aDMG
76	61123 32233	   	162.47	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2LWND|3AART|4CGEN|5DUR|69VULN|7ZMB|8RCR|aDMG
77	33364 62111	   	162.39	ACR|2AART|1VULN|1DMG|2ASPD|1DUR	19TLV|29ASPD|3RCR|4DMG|5DUR|67AART|89BEXP|9BPWR|aVULN
78	62123 32233	   	162.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2LEGI|3AART|4CGEN|5DUR|69VULN|7ZMB|8RCR|aDMG
79	31362 62423	   	162.35	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1TLV|2CGEN|3RCR|4DMG|5RCVC|6ASPD|7ZMB|8CDMG|9VULN|aAART
80	13126 32626	 * 	162.32	DCR|3VULN|1AART|1DMG|1DUR	1LHND|2DUST|3AART|4CGEN|569VULN|7DUR|8DMG|aRCR
81	21324 23843	   	162.30	ACR|3DMG|1AART|1VULN	1ERES|2CGEN|3RCR|4FEWX|5VULN|6MBVNT|79aDMG|8AART
82	22324 23843	   	162.30	ACR|3DMG|1AART|1VULN	1ERES|2LWND|3RCR|4CGEN|5VULN|6MBVNT|79aDMG|8AART
83	26311 63123	   	162.30	ACR|3DMG|1AART|1VULN	1ERES|2DUST|3RCR|4LHND|5FEWX|67aDMG|8AART|9VULN
84	26314 33123	   	162.30	ACR|3DMG|1AART|1VULN	1ERES|2DUST|3RCR|4LHND|57aDMG|6LWND|8AART|9VULN
85	26324 12123	   	162.30	ACR|3VULN|1AART|1DMG	1ERES|2DUST|3RCR|4CGEN|579VULN|6BEXP|8AART|aDMG
86	13221 51534	   	162.28	ACR|2VULN|2DMG|1CDMG|1ZMB	1LHND|29DUST|3LWND|4RCR|5CDMG|69DMG|7BEXP|89VULN|9BPWR|aZMB
87	25324 23843	   	162.20	ACR|3DMG|1AART|1VULN	1ERES|2LEGI|3RCR|4CGEN|5VULN|6MBVNT|79aDMG|8AART
88	33335 13635	 * 	162.12	ACR|2VULN|1AART|2ASPD|1CDMG|1DUR	19TLV|29ASPD|3RCR|4DUR|5BELT|6AART|7LWND|89VULN|9BPWR|aCDMG
89	11125 43233	   	162.11	DCR|2VULN|2DMG|1AART	1LHND|2LWND|3AART|4CGEN|59VULN|6aDMG|7DUST|8RCR
90	11145 43233	   	162.11	DCR|2VULN|2DMG|1AART	1LHND|2LWND|3AART|4MLV|59VULN|6aDMG|7DUST|8RCR
91	13126 41233	   	162.11	DCR|2VULN|2DMG|1AART	1LHND|2DUST|3AART|4CGEN|59VULN|6aDMG|7FEWX|8RCR
92	13126 45233	   	162.11	DCR|2VULN|2DMG|1AART	1LHND|2DUST|3AART|4CGEN|59VULN|6aDMG|7LWND|8RCR
93	15125 43233	   	162.11	DCR|2VULN|2DMG|1AART	1LHND|2BEXP|3AART|4CGEN|59VULN|6aDMG|7DUST|8RCR
94	51125 43233	   	162.11	DCR|2VULN|2DMG|1AART	1BEXP|2LWND|3AART|4CGEN|59VULN|6aDMG|7DUST|8RCR
