0	Index      	 *	Score 	Summary	Detail	
1	11123 46262	 * 	191.64	DCR|2VULN|2DMG|3ZMB|1AART|1DUR	169ZMB|2DUR|37DMG|46VULN|5AART|6BPWR|8RPLT|aRCR
2	13123 15356	 * 	188.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2LWND|3aDMG|49VULN|5AART|6RMIN|7RCR|8CDMG
3	13123 35426	   	187.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2LWND|3aDMG|48VULN|5AART|6ERES|7RCR|9CDMG
4	11123 45513	 * 	187.90	DCR|2AART|2VULN|3ZMB|1DMG|1DUR	168ZMB|2DUR|3DMG|46VULN|5aAART|6BPWR|7LIT|9RCR
5	32133 26256	 * 	185.02	DCR|4VULN|3DMG	1LHND|238DMG|4RMIN|579aVULN|6RCR
6	11325 56331	 * 	184.76	DCR|3DMG|1AART|2ZMB|1CDMG|2DUR	18ZMB|28DUR|3RCVC|4RMIN|5AART|6RCR|789DMG|8BPWR|aCDMG
7	11123 45512	   	181.75	DCR|2VULN|3ZMB|1AART|1DMG|2DUR	168ZMB|2aDUR|3DMG|46VULN|5AART|6BPWR|7LIT|9RCR
8	22522 32546	 * 	179.73	ACR|2AART|2DMG|2CDMG|2DUR|1ZMB	1BELT|29DUR|3aAART|4ZMB|5RCR|6MBVNT|79DMG|89CDMG|9BPWR
9	11325 56311	 * 	179.33	DCR|2DMG|1AART|1VULN|3DUR|2ZMB	18ZMB|28aDUR|3RCVC|4RMIN|5AART|6RCR|78DMG|8BPWR|9VULN
10	12213 61432	 * 	179.14	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ZMB|2TLV|3BELT|4RCR|59aVULN|6AART|7ASPD|8DMG
11	11123 42244	 * 	179.04	3VULN|2DMG|3ZMB|1AART|2CDMG|2DUR	16aZMB|2aDUR|38DMG|469VULN|5AART|6aBPWR|7aCDMG
12	11633 53224	 * 	178.60	DCR|3DMG|3ZMB|1VULN|2DUR	139ZMB|23DUR|39BPWR|4RCVC|589DMG|6RCR|79LHND|aVULN
13	32133 26255	   	177.86	DCR|3VULN|3DMG|1DUR	1LHND|238DMG|4RMIN|579VULN|6RCR|aDUR
14	14123 35423	   	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2BEXP|3DMG|48VULN|5AART|6ERES|7RCR|9CDMG|aDUR
15	32633 25213	   	176.55	DCR|2VULN|2DMG|1AART|2DUR	13aLHND|23DMG|3aBPWR|4RMIN|5aVULN|6RCR|7RPLT|8AART|9aDUR
16	22522 32562	 * 	176.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BELT|2DUR|3AART|4ZMB|5RCR|6MBVNT|7DMG|8CDMG|9aVULN
17	32133 26364	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|23DMG|4RMIN|57VULN|6RCR|8LWND|9CDMG|aAART
18	11123 45511	   	176.45	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	168ZMB|2DUR|3DMG|46VULN|5AART|6BPWR|7LIT|9RCR|aFEWX
19	32133 25213	   	176.45	DCR|2VULN|2DMG|1AART|2DUR	1aLHND|23DMG|4RMIN|5aVULN|6RCR|7RPLT|8AART|9aDUR|aBPWR
20	31636 23253	 * 	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	1LHND|2DUR|3RPLT|49aVULN|58DMG|6RCR|7CDMG
21	34136 23253	   	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	1LHND|2RPLT|3DUR|49aVULN|58DMG|6RCR|7CDMG
