0	Index      	 *	Score 	Summary	Detail	
1	31214 23562	 * 	195.91	DCR|3VULN|2AART|1DMG|1CDMG|2DUR	1RMIN|23AART|468VULN|56DUR|6BPWR|7CDMG|9RCR|aDMG
2	52324 21333	 * 	193.89	ACR|2VULN|2DMG|1AART|3DUR|1ZMB	128DUR|3RCR|4AART|5aVULN|69DMG|7ZMB
3	52324 21332	 * 	191.95	ACR|3DMG|1AART|1VULN|3DUR|1ZMB	128DUR|3RCR|4AART|5VULN|69aDMG|7ZMB
4	25313 34224	 * 	190.54	DCR|2VULN|2DMG|3ZMB|1AART|1DUR	128ZMB|28BPWR|3BELT|4LWND|58DMG|68VULN|7AART|9DUR|aRCR
5	22124 21121	 * 	188.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2RPLT|3CDMG|4AART|59VULN|68DMG|7RCR|aLWND
6	22124 21122	   	188.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2RPLT|3CDMG|4AART|59VULN|68DMG|7RCR|aBEXP
7	22124 21123	   	188.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2RPLT|3CDMG|4AART|59VULN|68DMG|7RCR|aMLV
8	22124 21124	   	188.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2RPLT|3CDMG|4AART|59VULN|68DMG|7RCR|aDMSP
9	22124 21125	   	188.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2RPLT|3CDMG|4AART|59VULN|68DMG|7RCR|aFEWX
10	22124 21126	   	188.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2RPLT|3CDMG|4AART|59VULN|68DMG|7RCR|aRMIN
11	31242 45132	 * 	188.33	ACR|2AART|2VULN|2DMG|1CDMG	1RMIN|23AART|4MLV|5RCR|6aDMG|78VULN|9CDMG
12	52324 24332	   	186.58	ACR|2AART|2DMG|1VULN|1CDMG|2DUR	12DUR|3RCR|49AART|5VULN|6aDMG|7MGNLIT|8CDMG
13	52323 41341	 * 	185.93	ACR|3ZMB|1AART|1VULN|1DMG|1CDMG|2DUR	12DUR|3RCR|4AART|567ZMB|8VULN|9CDMG|aDMG
14	52426 31112	 * 	185.09	DCR|3DMG|1VULN|2CDMG|3DUR|1ZMB	127DUR|38CDMG|478CGEN|578DMG|6RCR|78BPWR|9ZMB|aVULN
15	25414 32111	 * 	184.67	ACR|3VULN|3ZMB|1DMG|1CDMG|1DUR	125ZMB|2BPWR|378VULN|4RCR|6CDMG|9DMG|aDUR
16	31114 23562	   	184.46	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1RMIN|2AART|3RCVC|468VULN|56DUR|6BPWR|7CDMG|9RCR|aDMG
17	25313 42621	 * 	184.45	DCR|2VULN|2DMG|3ZMB|3DUR	128ZMB|28aBPWR|3BELT|4aLWND|58DMG|6RCR|78aDUR|9aVULN
