0	Index      	 *	Score 	Summary	Detail	
1	12515 23252	 * 	201.22	DCR|3DMG|2VULN|1AART|1CDMG|1ZMB	1AART|24ERES|36VULN|567DMG|6BPWR|8ZMB|9RCR|aCDMG
2	24152 35116	 * 	196.66	DCR|3DMG|2VULN|1AART|2ASPD|1DUR	1MBVNT|29aDMG|3DUR|4BELT|5aVULN|6AART|7aASPD|8RCR|aBPWR
3	24151 83116	   	196.06	DCR|3DMG|2VULN|1AART|2ASPD|1DUR	1MBVNT|29aDMG|3DUR|4BELT|5aASPD|6aVULN|7AART|8RCR|aBPWR
4	24152 31261	 * 	191.86	DCR|3VULN|2DMG|1AART|2ASPD|1DUR	1MBVNT|29DMG|3DUR|4BELT|579VULN|6AART|89ASPD|9BPWR|aRCR
5	15321 21137	   	190.71	DCR|3VULN|2DMG|1AART|1DUR	1AART|2LHND|3MBVNT|45aVULN|6RCR|78DMG|9DUR
6	15321 21477	   	190.71	DCR|3VULN|2DMG|1AART|1DUR	1AART|2LHND|3MBVNT|45aVULN|6RCR|79DMG|8DUR
7	12515 23352	   	190.22	DCR|3DMG|2VULN|1AART|1CDMG	1AART|24ERES|36VULN|567DMG|6BPWR|8CGEN|9RCR|aCDMG
8	24145 71464	 * 	189.72	DCR|3VULN|2DMG|1AART|3DUR	1MBVNT|24DMG|345DUR|4BPWR|679VULN|8RCR|aAART
9	11323 47322	 * 	189.42	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1AART|27DUST|3MBVNT|4aVULN|57ZMB|67DMG|7BPWR|8CDMG|9RCR
10	27241 21137	   	188.91	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|2LWND|35aVULN|4AART|6RCR|78DMG|9DUR
11	16421 21136	 * 	188.83	ACR|3VULN|2DMG|1AART|1DUR	1AART|2FEWX|3LWND|4RCR|56aVULN|78DMG|9DUR
12	11421 21136	   	188.73	ACR|3VULN|2DMG|1AART|1DUR	1AART|2DUST|3LWND|4RCR|56aVULN|78DMG|9DUR
13	12523 11164	 * 	188.48	ACR|2AART|2DMG|2VULN|1ZMB	1aAART|2ERES|39VULN|4RCR|5ZMB|6LEGI|78DMG
14	11345 33467	 * 	188.31	DCR|2AART|2VULN|2DMG|1CDMG	16AART|2DUST|3MBVNT|4CDMG|57DMG|8RCR|9aVULN
15	24711 32174	   	188.30	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|29DMG|3LEGI|4CGEN|59DUR|689VULN|7RCR|9BPWR|aAART
16	24721 32174	   	188.20	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|29DMG|3LEGI|4TLV|59DUR|689VULN|7RCR|9BPWR|aAART
17	12515 23251	   	187.57	DCR|3DMG|2VULN|1AART|1ZMB	1AART|24ERES|36VULN|567DMG|6BPWR|8ZMB|9RCR|aFEWX
18	12515 23253	   	187.57	DCR|3DMG|2VULN|1AART|1ZMB	1AART|24ERES|36VULN|567DMG|6BPWR|8ZMB|9RCR|aMLV
19	11323 47321	 * 	187.49	DCR|3DMG|1AART|1VULN|2ZMB|1CDMG	1AART|27DUST|3MBVNT|4VULN|57ZMB|67aDMG|7BPWR|8CDMG|9RCR
20	15321 21337	 * 	187.22	DCR|4VULN|1AART|1DMG|1DUR	1AART|2LHND|3MBVNT|458aVULN|6RCR|7DMG|9DUR
21	12515 26331	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|24ERES|36VULN|56DMG|6BPWR|7RCR|8CDMG|9DUR|aMLV
22	12515 26332	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|24ERES|36VULN|56DMG|6BPWR|7RCR|8CDMG|9DUR|aBEXP
23	12515 26333	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|24ERES|36VULN|56DMG|6BPWR|7RCR|8CDMG|9DUR|aBELT
24	24852 31261	   	184.92	DCR|3VULN|2DMG|1AART|2ASPD	1MBVNT|29DMG|3LWND|4BELT|579VULN|6AART|89ASPD|9BPWR|aRCR
25	24752 31261	   	184.82	DCR|3VULN|2DMG|1AART|2ASPD	1MBVNT|29DMG|3LEGI|4BELT|579VULN|6AART|89ASPD|9BPWR|aRCR
26	15321 21427	 * 	184.57	DCR|3VULN|2AART|1DMG|1DUR	19AART|2LHND|3MBVNT|45aVULN|6RCR|7DMG|8DUR
27	11421 51136	   	184.52	ACR|2AART|2VULN|2DMG|1DUR	16AART|2DUST|3LWND|4RCR|5aVULN|78DMG|9DUR
28	44212 25131	 * 	184.42	DCR|3VULN|2DMG|1AART|2ZMB	137VULN|2BEXP|47DMG|5MBVNT|67ZMB|7BPWR|8BELT|9AART|aRCR
29	15321 83326	 * 	184.33	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2LHND|3MBVNT|4567VULN|8CDMG|9DMG|aRCR
30	27241 21164	   	184.26	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1MBVNT|2LWND|35VULN|4AART|6RCR|78DMG|9ZMB|aASPD
