0	Index      	 *	Score 	Summary	Detail	
1	21512 63511	 * 	268.89	DCR|DCR|2VULN|1TLV|1CDMG|1AAC	1TLV|26VULN|3CDMG|4BEXP|5AEFRZ|7RAT|8aRCR|9AAC
2	21435 23311	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1AAC	1TLV|2VULN|3RCVC|4AEFBLL|5CDMG|6aRCR|7RAT|8DUR|9AAC
3	21134 21651	 * 	255.04	DCR|DCR|1VULN|2AART|1TLV|1AAC|1NUKE	1TLV|2VULN|39AART|4NUKE|5ZMB|6TBNT|7aRCR|8AAC
4	21165 13251	   	254.80	DCR|DCR|1VULN|2AART|1TLV|1SELL	1TLV|2VULN|39AART|4AEWIND|5SELL|6aRCR|7RPLT|8BBNT
5	13334 21151	   	251.48	DCR|DCR|1VULN|2AART|1MLV|1AAC	1AAC|29AART|3ASPD|4VULN|5ZMB|6TBNT|7aRCR|8MLV
6	13334 21131	 * 	251.32	DCR|DCR|1VULN|2MLV|1AART|1AAC	1AAC|2AART|3ASPD|4VULN|5ZMB|6TBNT|7aRCR|89MLV
7	21435 23111	   	249.63	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2VULN|3RCVC|4AEFBLL|5CDMG|6aRCR|7RAT|8ASPD|9FEWX
8	21435 23131	   	249.63	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2VULN|3RCVC|4AEFBLL|5CDMG|6aRCR|7RAT|8ASPD|9BEXP
9	31318 71446	 * 	249.00	DCR|DCR|2VULN|1DMG	1AEFRZ|2MBVNT|3RAT|4BOSS|5DMG|67VULN|8aRCR|9ZMB
10	31113 23654	 * 	248.90	DCR|DCR|1VULN|1FLTARM|1DMG	1AEFRZ|2MBVNT|3BBNT|4BELT|5RMIN|6FLTARM|7DMG|8aRCR|9VULN
11	31413 23654	   	248.90	DCR|DCR|1VULN|1FLTARM|1DMG	1AEFRZ|2MBVNT|3TBNT|4BELT|5RMIN|6FLTARM|7DMG|8aRCR|9VULN
12	51113 23654	   	248.90	DCR|DCR|1VULN|1FLTARM|1DMG	1AEWIND|2MBVNT|3BBNT|4BELT|5RMIN|6FLTARM|7DMG|8aRCR|9VULN
13	51413 23654	   	248.90	DCR|DCR|1VULN|1FLTARM|1DMG	1AEWIND|2MBVNT|3TBNT|4BELT|5RMIN|6FLTARM|7DMG|8aRCR|9VULN
14	13326 13623	 * 	244.59	DCR|DCR|3DUR|1MLV|1AART|1AAC	1AAC|2AART|3ASPD|467DUR|5DMSP|8aRCR|9MLV
15	31111 21654	   	244.44	DCR|DCR|1VULN|1FLTARM|1MLV	1AEFRZ|2MBVNT|3BBNT|4BELT|5ZMB|6FLTARM|7MLV|8aRCR|9VULN
16	31411 21654	   	244.44	DCR|DCR|1VULN|1FLTARM|1MLV	1AEFRZ|2MBVNT|3TBNT|4BELT|5ZMB|6FLTARM|7MLV|8aRCR|9VULN
17	51111 21654	   	244.44	DCR|DCR|1VULN|1FLTARM|1MLV	1AEWIND|2MBVNT|3BBNT|4BELT|5ZMB|6FLTARM|7MLV|8aRCR|9VULN
18	51411 21654	   	244.44	DCR|DCR|1VULN|1FLTARM|1MLV	1AEWIND|2MBVNT|3TBNT|4BELT|5ZMB|6FLTARM|7MLV|8aRCR|9VULN
19	31236 58434	   	243.39	DCR|DCR|1VULN|1DMG|1AAC|1CDMG	1AEFRZ|2MBVNT|3ASPD|4VULN|5CDMG|6DMG|7AAC|8aRCR|9LIT
20	21435 23211	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2VULN|3RCVC|4AEFBLL|5CDMG|6aRCR|7RAT|8LWND|9AAC
21	21435 23611	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2VULN|3RCVC|4AEFBLL|5CDMG|6aRCR|7RAT|8FEWX|9AAC
22	21435 22125	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2VULN|3RCVC|4AEFBLL|5CDMG|6aRCR|79BOSS|8VENFST
23	21134 21345	   	242.49	DCR|DCR|1VULN|1TLV|1AART|1NUKE	1TLV|2VULN|3AART|4NUKE|5ZMB|6TBNT|7aRCR|8BELT|9FLTFST
24	31113 25426	   	242.49	DCR|DCR|1VULN|1FLTARM|1AART	1AEFRZ|2MBVNT|3BBNT|4BELT|5RMIN|6FLTARM|7aRCR|8VULN|9AART
25	31413 25426	   	242.49	DCR|DCR|1VULN|1FLTARM|1AART	1AEFRZ|2MBVNT|3TBNT|4BELT|5RMIN|6FLTARM|7aRCR|8VULN|9AART
26	51113 25426	   	242.49	DCR|DCR|1VULN|1FLTARM|1AART	1AEWIND|2MBVNT|3BBNT|4BELT|5RMIN|6FLTARM|7aRCR|8VULN|9AART
27	51413 25426	   	242.49	DCR|DCR|1VULN|1FLTARM|1AART	1AEWIND|2MBVNT|3TBNT|4BELT|5RMIN|6FLTARM|7aRCR|8VULN|9AART
