0	Index      	 *	Score 	Summary	Detail	
1	43552 12111	 * 	183.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aERES|2CGEN|3aVULN|4AART|5CDMG|6ZMB|7DMSP|8aDMG|9RCR|aBPWR
2	15413 13612	 * 	182.80	ACR|2VULN|2DMG|1AART|2CDMG	1aCGEN|2LWND|3aCDMG|4RCR|59VULN|6LHND|7AART|8aDMG|aBPWR
3	21413 13612	   	182.80	ACR|2VULN|2DMG|1AART|2CDMG	1aLWND|2CGEN|3aCDMG|4RCR|59VULN|6LHND|7AART|8aDMG|aBPWR
4	51531 13336	 * 	182.78	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD|1DUR	17ASPD|2BEXP|3AART|47CDMG|5DLOT|67VULN|7BPWR|8DUR|9RCR|aDMG
5	33234 26323	 * 	181.35	DCR|3DMG|2VULN|3ZMB	12LIT|36aDMG|456ZMB|6BPWR|7RCR|89VULN
6	34234 26323	   	181.35	DCR|3DMG|2VULN|3ZMB	12LIT|26BPWR|36aDMG|456ZMB|7RCR|89VULN
7	35113 26113	 * 	179.17	DCR|3VULN|2DMG|1AART	1aLIT|2CGEN|3aDMG|4BEXP|5AART|6ERES|7RCR|89aVULN|aBPWR
8	35113 46113	   	179.17	DCR|3VULN|2DMG|1AART	1aLIT|2CGEN|3aDMG|4BEXP|5AART|6TLV|7RCR|89aVULN|aBPWR
9	21413 33614	   	176.88	ACR|2VULN|2DMG|1AART|1CDMG	1LWND|2CGEN|3CDMG|4RCR|59VULN|6AART|7FEWX|8aDMG
10	53533 33263	   	176.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2CGEN|38VULN|4RCR|5CDMG|6LIT|7AART|9DMG|aZMB
11	21463 33511	   	176.29	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	18LWND|2CGEN|38CDMG|4DMG|5ERES|6RCR|78VULN|8BPWR|9ZMB|aAART
12	21413 13614	   	176.28	ACR|2VULN|2DMG|1AART|1CDMG	1LWND|2CGEN|3CDMG|4RCR|59VULN|6LHND|7AART|8aDMG
13	31436 11631	   	176.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2RCR|3ERES|4AART|5DMG|6CDMG|7DUST|89VULN|aZMB
14	35155 23222	 * 	175.84	ACR|3VULN|2DMG|1AART|1SELL	1aLIT|29CGEN|3aDMG|4SELL|5RCR|68aVULN|7AART|aBPWR
15	51531 13136	   	175.84	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD	17ASPD|2BEXP|3AART|47CDMG|5DLOT|67VULN|7BPWR|8LHND|9RCR|aDMG
16	31345 21323	 * 	174.73	ACR|2VULN|2DMG|2CDMG|2DUR	1LIT|2RCR|3RPLT|46DUR|56CDMG|6BPWR|7aDMG|89VULN
17	25213 22314	   	174.66	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2FEWX|3aDMG|4CGEN|5AART|69VULN|7CDMG|8RCR
18	31436 32124	 * 	174.00	ACR|2AART|2DMG|1VULN|1ZMB	19LIT|2RCR|3ERES|4aAART|59DMG|6VULN|7ZMB|89TLV|9BPWR
19	51531 13334	   	173.72	DCR|2VULN|1AART|2CDMG|2ASPD|1ZMB|1DUR	17ASPD|2BEXP|3AART|47CDMG|5DLOT|67VULN|7BPWR|8DUR|9RCR|aZMB
20	31345 21363	 * 	172.79	ACR|3DMG|1VULN|2CDMG|2DUR	1LIT|2RCR|3RPLT|46DUR|56CDMG|6BPWR|79aDMG|8VULN
21	63321 23266	   	172.67	ACR|2VULN|2DMG|1AART|1DUR	1RCVC|2AART|3aCGEN|4RCR|5aVULN|6DUR|7DMSP|8ERES|9aDMG|aBPWR
22	33234 26326	   	172.64	DCR|2VULN|2DMG|3ZMB|1ASPD	12LIT|36DMG|456ZMB|6BPWR|7RCR|89VULN|aASPD
23	31166 61313	 * 	172.13	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1LIT|2RCR|3DUST|4AART|5BEXP|69VULN|7DMG|8DUR|aFLTHEA
24	63422 31631	 * 	171.28	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1RCVC|2AART|3ZMB|4RCR|58DUR|69DMG|7FEWX|aVULN
25	63422 33631	   	171.28	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1RCVC|2AART|3ZMB|4RCR|58DUR|69DMG|7BEXP|aVULN
26	15413 13532	 * 	171.25	ACR|2DMG|3CDMG|1AART|1VULN	1aCGEN|2LWND|38aCDMG|4RCR|5VULN|6LHND|7AART|9aDMG|aBPWR
27	21413 13532	   	171.25	ACR|2DMG|3CDMG|1AART|1VULN	1aLWND|2CGEN|38aCDMG|4RCR|5VULN|6LHND|7AART|9aDMG|aBPWR
28	63324 11152	 * 	171.02	ACR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1RCVC|25AART|3CGEN|4RCR|6ZMB|7ASPD|89VULN|aCDMG
29	31334 17436	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2RCR|3RPLT|4MBVNT|5DUR|6AART|78VULN|9CDMG|aDMG
30	31334 17485	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2RCR|3RPLT|4MBVNT|5DUR|6AART|78VULN|9DMG|aCDMG
31	21535 31315	   	170.77	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2CGEN|3DUR|4RCR|5AART|67DMG|8DMSP|9aVULN
32	21413 33615	 * 	170.74	ACR|2VULN|2AART|1DMG|1CDMG	1LWND|2CGEN|3CDMG|4RCR|59VULN|6aAART|7FEWX|8DMG
33	63423 63111	   	170.40	ACR|2AART|2VULN|1DMG|1ZMB	1RCVC|25AART|3ZMB|4RCR|6DMG|7LWND|89VULN|aTLV
34	63423 63112	   	170.40	ACR|2AART|2VULN|1DMG|1ZMB	1RCVC|25AART|3ZMB|4RCR|6DMG|7LWND|89VULN|aERES
35	63423 63331	   	170.40	ACR|2AART|2DMG|1VULN|1ZMB	1RCVC|25AART|3ZMB|4RCR|69DMG|7LWND|8DUST|aVULN
36	63423 15233	 * 	170.29	ACR|2AART|3ZMB|1VULN|1DMG	1RCVC|25AART|367ZMB|4RCR|8CGEN|9DMG|aVULN
37	21413 13616	   	170.14	ACR|2VULN|2AART|1DMG|1CDMG	1LWND|2CGEN|3CDMG|4RCR|59VULN|6LHND|7aAART|8DMG
38	25213 21335	 * 	170.06	DCR|2AART|2DMG|2VULN	1LWND|2FEWX|37DMG|4CGEN|58AART|6aVULN|9RCR
39	31325 26152	   	169.91	ACR|2VULN|1AART|1DMG|2CDMG	1LIT|2RCR|3RPLT|46LHND|56CDMG|6BPWR|7AART|8aVULN|9DMG
40	15463 33311	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2LWND|3CDMG|4DMG|5ERES|6RCR|78VULN|9ZMB|aAART
41	21463 33311	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2CGEN|3CDMG|4DMG|5ERES|6RCR|78VULN|9ZMB|aAART
42	63422 34111	 * 	169.74	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1RCVC|2AART|37ZMB|4RCR|5DUR|6DMG|89VULN|aTLV
43	63422 34112	   	169.74	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1RCVC|2AART|37ZMB|4RCR|5DUR|6DMG|89VULN|aERES
44	63422 34331	 * 	169.74	ACR|2DMG|1AART|1VULN|2ZMB|1DUR	1RCVC|2AART|37ZMB|4RCR|5DUR|69DMG|8DUST|aVULN
45	63213 72146	   	169.72	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1RCVC|25AART|3ASPD|4MBVNT|6DMG|78VULN|9ZMB|aRCR
46	31274 41164	 * 	169.59	ACR|3VULN|2AART|1ZMB	16LIT|2RCR|3MBVNT|4aAART|5ZMB|789VULN
47	31274 28316	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3MBVNT|4AART|5ZMB|6FEWX|79VULN|8DUR|aDMG
48	31436 32213	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3ERES|4AART|5DMG|69VULN|7ZMB|8LHND|aDUR
49	31436 32253	   	169.49	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2RCR|3ERES|4AART|59DMG|6VULN|7ZMB|8LHND|aDUR
50	31436 32412	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3ERES|4AART|5DMG|69VULN|7ZMB|8BELT|aDUR
51	31436 31263	   	169.33	ACR|2VULN|2DMG|1AART	1aLIT|2RCR|3ERES|4AART|5aDMG|67VULN|8MLV|9aBEXP|aBPWR
52	31436 31363	   	169.33	ACR|2VULN|2DMG|1AART	1aLIT|2RCR|3ERES|4AART|5aDMG|67VULN|8CGEN|9aBEXP|aBPWR
53	31434 11413	   	169.13	ACR|2VULN|2DMG|1AART	1LIT|2RCR|3aERES|4AART|5BEXP|6CGEN|7aVULN|8DUST|9aDMG|aBPWR
54	21535 31242	 * 	168.84	ACR|3DMG|1AART|1VULN|1DUR	1LWND|2CGEN|3DUR|4RCR|5AART|679DMG|8LHND|aVULN
55	21535 31142	   	168.74	ACR|3DMG|1AART|1VULN|1DUR	1LWND|2CGEN|3DUR|4RCR|5AART|679DMG|8DUST|aVULN
56	31436 32533	 * 	168.64	ACR|2AART|1VULN|1DMG|2DUR|1ZMB	1LIT|2RCR|3ERES|48AART|5DMG|6VULN|7ZMB|9aDUR
57	25213 22315	 * 	168.52	DCR|2AART|2VULN|1DMG|1CDMG	1LWND|2FEWX|3DMG|4CGEN|5aAART|69VULN|7CDMG|8RCR
58	25244 13313	   	168.42	DCR|3VULN|1AART|1DMG|1DUR	1LWND|2FEWX|3DMG|48aVULN|5DUR|6RCR|7LHND|9AART
59	31254 31164	   	168.39	ACR|3VULN|2AART|1ZMB	1LIT|2RCR|3MBVNT|4RCVC|5ZMB|6aAART|789VULN
60	31284 31164	   	168.39	ACR|3VULN|2AART|1ZMB	14LIT|2RCR|3MBVNT|5ZMB|6aAART|789VULN
61	31345 51323	   	168.31	ACR|2VULN|2DMG|1CDMG|2DUR	1LIT|2RCR|3RPLT|46DUR|5CDMG|7aDMG|89VULN
