0	Index      	 *	Score 	Summary	Detail	
1	22611 11553	 * 	200.87	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	159LWND|249VULN|34CDMG|49BPWR|6DUR|79DMG|8RCR|aAART
2	46322 12353	 * 	196.94	ACR|3VULN|3DMG|1AART	1RPLT|2RCR|37ERES|457DMG|678VULN|7BPWR|9LWND|aAART
3	22613 61342	 * 	196.46	DCR|2VULN|2DMG|2AART|2CDMG|1ASPD	1LWND|24VULN|34CDMG|4BPWR|5aDMG|68AART|7ASPD|9RCR
4	46421 21211	 * 	195.04	ACR|3DMG|2VULN|1AART|1CDMG	1RPLT|2RCR|346DMG|56VULN|6BPWR|7FEWX|8CDMG|9BEXP|aAART
5	46421 21231	   	194.94	ACR|3DMG|2VULN|1AART|1CDMG	1RPLT|2RCR|346DMG|56VULN|6BPWR|7FEWX|8CDMG|9DUST|aAART
6	32634 33368	 * 	194.15	ACR|3VULN|2DMG|1AART|2CDMG	19BEXP|278VULN|3MBVNT|49DMG|5RCR|69CDMG|9BPWR|aAART
7	22611 31553	   	193.93	DCR|3VULN|2DMG|1AART|2CDMG	159LWND|249VULN|34CDMG|49BPWR|6FEWX|79DMG|8RCR|aAART
8	46221 12351	 * 	193.53	ACR|3VULN|2DMG|2AART	1RPLT|2RCR|37CGEN|47DMG|5DMSP|678VULN|7BPWR|9aAART
9	46321 12351	   	193.33	ACR|3VULN|2DMG|2AART	1RPLT|2RCR|37ERES|47DMG|5DMSP|678VULN|7BPWR|9aAART
10	32635 43118	   	192.02	DCR|3VULN|2DMG|1AART|1CDMG	1BEXP|279VULN|3MBVNT|48DMG|5CDMG|6RCR|aAART
11	22612 11551	 * 	191.77	DCR|4VULN|2DMG|2CDMG|1DUR	19aLWND|2459VULN|34CDMG|49BPWR|6DUR|79DMG|8RCR
12	22612 11552	   	191.77	DCR|4VULN|2DMG|2CDMG|1DUR	19LWND|2459VULN|34CDMG|49BPWR|6DUR|79DMG|8RCR|aMLV
13	22612 11553	   	191.67	DCR|4VULN|2DMG|2CDMG|1DUR	19LWND|2459VULN|34CDMG|49BPWR|6DUR|79DMG|8RCR|aERES
