0	Index      	 *	Score 	Summary	Detail	
1	33656 32321	 * 	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|69aVULN|7FEWX|8DMG
2	33651 33641	 * 	175.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4AART|5ZMB|69DMG|7MBVNT|8RCR|aVULN
3	43224 12151	 * 	173.64	ACR|4VULN|2DMG|1AART|2MSE	19MSE|2RCR|3RPLT|4DUST|589aVULN|69DMG|7AART|9BPWR
4	33621 35243	 * 	171.70	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	17DUR|27DUST|3CDMG|4BELT|59DMG|67VULN|7BPWR|8RCR|aZMB
5	36226 35133	 * 	170.11	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|28VULN|3RPLT|4ASPD|5BEXP|6AART|7RCR|9ZMB|aDMG
6	36225 35133	   	170.01	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|28VULN|3RPLT|4ASPD|5DUST|6AART|7RCR|9ZMB|aDMG
7	42151 35333	 * 	169.57	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG|1MSE	1MSE|2CDMG|3AART|49VULN|5aZMB|68DMG|7RCR
8	35351 52123	 * 	169.23	ACR|3VULN|2DMG|3DUR	179DUR|2aBASICY|3DUST|4RCR|5aDMG|68aVULN|aBPWR
9	42251 35333	 * 	168.97	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG|1MSE	1MSE|2CDMG|39VULN|4AART|5aZMB|68DMG|7RCR
10	36226 35121	 * 	168.80	DCR|4VULN|1AART|1ASPD|1DUR	1DUR|289aVULN|3RPLT|4ASPD|5BEXP|6AART|7RCR
11	36225 35121	   	168.70	DCR|4VULN|1AART|1ASPD|1DUR	1DUR|289aVULN|3RPLT|4ASPD|5DUST|6AART|7RCR
12	33656 32121	   	167.46	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|69aVULN|7FEWX|8ASPD
13	33656 33231	   	167.46	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|68aVULN|7ASPD|9FEWX
14	33656 33212	   	167.36	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	1DUR|2DUST|3CDMG|4AART|5RCR|68aVULN|7ASPD|9AIRHEL
15	34122 15613	   	167.34	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1DUR|2aLWND|3ASPD|4BEXP|5aVULN|6RCR|7BELT|8CDMG|9aDMG|aBPWR
16	33654 33331	 * 	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DUST|3CDMG|4AART|5DMSP|6aVULN|7RCR|8DMG|9FEWX
17	33654 33312	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DUST|3CDMG|4AART|5DMSP|6aVULN|7RCR|8DMG|9AIRHEL
18	33653 13321	 * 	166.64	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1DUR	1DUR|2DUST|36CDMG|4AART|5LHND|7RCR|8DMG|9ZMB|aVULN
19	33655 13321	   	166.64	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1DUR|2DUST|36CDMG|4AART|5BEXP|7RCR|8DMG|9ZMB|aVULN
20	35353 33151	 * 	166.63	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2BASICY|3DUST|4RCR|5AART|6LHND|7VULN|8CDMG|9aDMG
21	36315 15213	   	166.60	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2aVULN|3BELT|4CDMG|5FEWX|6aLWND|7ZMB|8RCR|9aDMG|aBPWR
22	33621 36243	   	166.30	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3CDMG|4BELT|59DMG|67VULN|8RCR|aZMB
23	42151 35331	 * 	165.72	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1MSE|2CDMG|3AART|49VULN|5ZMB|68DMG|7RCR|aDMSP
24	42151 35332	 * 	165.72	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1MSE|2CDMG|3AART|49VULN|5ZMB|68DMG|7RCR|aFEWX
25	35351 43222	 * 	165.64	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2BASICY|3DUST|4RCR|567DMG|8VULN|9RPLT|aAART
26	33656 32133	   	165.29	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|6VULN|7FEWX|8ASPD|9ZMB|aDMG
27	33656 32332	   	165.29	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|6VULN|7FEWX|8DMG|9ZMB|aASPD
28	42251 35331	 * 	165.12	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1MSE|2CDMG|39VULN|4AART|5ZMB|68DMG|7RCR|aDMSP
29	42251 35332	 * 	165.12	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1MSE|2CDMG|39VULN|4AART|5ZMB|68DMG|7RCR|aFEWX
30	33656 32322	   	164.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|69VULN|7FEWX|8DMG|aLHND
31	33656 31331	   	164.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|27DUST|3CDMG|4AART|5RCR|6aVULN|8DMG|9FEWX
32	33656 32323	   	164.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2aDUST|3CDMG|4AART|5RCR|69VULN|7FEWX|8DMG
33	33656 31312	   	164.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|27DUST|3CDMG|4AART|5RCR|6aVULN|8DMG|9AIRHEL
34	33656 11121	 * 	164.66	ACR|1AART|1VULN|2CDMG|1DMG|1ZMB|1DUR	1DUR|2DUST|36CDMG|4AART|5RCR|7DMG|8LHND|9ZMB|aVULN
35	33656 11321	   	164.66	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1DUR|2DUST|36CDMG|4AART|5RCR|7DMG|8BEXP|9ZMB|aVULN
36	33656 12321	   	164.66	ACR|1AART|1VULN|2CDMG|1DMG|1ZMB|1DUR	1DUR|2DUST|36CDMG|4AART|5RCR|7LWND|8DMG|9ZMB|aVULN
37	35353 33421	 * 	164.43	ACR|2AART|2VULN|1DMG|1DUR	1DUR|2BASICY|3DUST|4RCR|5aAART|6LHND|78VULN|9DMG
38	33653 13325	 * 	164.17	DCR|2DMG|1AART|2CDMG|1ZMB|1DUR	1DUR|2DUST|36CDMG|4AART|5LHND|7RCR|8aDMG|9ZMB
39	22335 53125	 * 	163.97	DCR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB	1ERES|2FLTHEA|3DMSP|4CDMG|5ZMB|6RCR|7LIT|8aVULN|9AART
40	21135 53125	   	163.87	DCR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB	12ERES|3FLTHEA|4CDMG|5ZMB|6RCR|7LIT|8aVULN|9AART
41	22235 53125	   	163.87	DCR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB	13ERES|2FLTHEA|4CDMG|5ZMB|6RCR|7LIT|8aVULN|9AART
42	33656 33222	   	162.81	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|68VULN|7ASPD|9ZMB|aFEWX
43	33656 33223	   	162.81	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2DUST|3CDMG|4AART|5RCR|68VULN|7ASPD|9ZMB|aLHND
44	14221 41616	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4DMG|5MBVNT|6aVULN|7AART|8RCR|9RCVC
45	14221 41621	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4DMG|5MBVNT|6aVULN|7AART|8RCR|9RPLT
46	14221 41622	   	162.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4aDMG|5MBVNT|6VULN|7AART|8RCR|9RPLT
47	14221 41641	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4DMG|5MBVNT|6aVULN|7AART|8RCR|9MLV
48	14221 41651	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4DMG|5MBVNT|6aVULN|7AART|8RCR|9CGEN
49	14221 41662	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4DMG|5MBVNT|69VULN|7AART|8RCR|aFEWX
50	14221 41663	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3aLHND|4DMG|5MBVNT|69VULN|7AART|8RCR
51	33656 33221	   	162.71	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2DUST|3CDMG|4AART|5RCR|68VULN|7ASPD|9ZMB|aTLV
52	14221 41633	   	162.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4aDMG|5MBVNT|6VULN|7AART|8RCR|9DUST
53	14221 41661	   	162.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4DMG|5MBVNT|69VULN|7AART|8RCR|aTLV
54	14221 41664	   	162.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4DMG|5MBVNT|69VULN|7AART|8RCR|aERES
55	16214 32224	   	162.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ASPD|2ZMB|3LWND|4DUR|5VULN|6LIT|7AART|89DMG|aRCR
56	16413 32224	   	162.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ASPD|2ZMB|3BEXP|4DUR|5VULN|6LIT|7AART|89DMG|aRCR
57	34114 32224	   	162.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|2LWND|3ASPD|4ZMB|5VULN|6LIT|7AART|89DMG|aRCR
58	36112 32224	   	162.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|2VULN|3ASPD|4ZMB|5BEXP|6LIT|7AART|89DMG|aRCR
59	36113 32224	   	162.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|2VULN|3ASPD|4ZMB|5LWND|6LIT|7AART|89DMG|aRCR
60	22335 53153	 * 	162.23	DCR|3VULN|2CDMG|1FLTHEA|1ZMB	1aERES|2FLTHEA|3DMSP|4aCDMG|5ZMB|6RCR|7LIT|89aVULN|aBPWR
61	16113 32224	   	162.21	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ASPD|2ZMB|3DUST|4DUR|5VULN|6LIT|7AART|89DMG|aRCR
62	16113 32264	   	162.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2ZMB|3DUST|4DUR|59VULN|6LIT|7AART|8DMG|aRCR
63	33113 32224	   	162.21	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|2DUST|3ASPD|4ZMB|5VULN|6LIT|7AART|89DMG|aRCR
64	33113 32264	   	162.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2DUST|3ASPD|4ZMB|59VULN|6LIT|7AART|8DMG|aRCR
65	14251 51322	 * 	162.14	DCR|5VULN|2ASPD|1CDMG	16ASPD|2CDMG|3LHND|45679VULN|6BPWR|8ERES|aRCR
66	21135 53153	   	162.13	DCR|3VULN|2CDMG|1FLTHEA|1ZMB	12aERES|3FLTHEA|4aCDMG|5ZMB|6RCR|7LIT|89aVULN|aBPWR
