0	Index      	 *	Score 	Summary	Detail	
1	32312 13462	 * 	183.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1ERES|2DUR|3BELT|49DMG|57VULN|6RCR|8CDMG|aAART
2	23112 45633	 * 	181.89	ACR|3DMG|2VULN|2ZMB|1CDMG	1aFEWX|28VULN|3aZMB|4RCR|5DUST|6CDMG|79aDMG|aBPWR
3	23115 25633	   	181.89	ACR|3DMG|2VULN|2ZMB|1CDMG	1aFEWX|28VULN|3aZMB|4RCR|5CDMG|6DUST|79aDMG|aBPWR
4	23112 45233	 * 	177.83	ACR|3DMG|3ZMB|1VULN|1CDMG	1aFEWX|2VULN|38aZMB|4RCR|5DUST|6CDMG|79aDMG|aBPWR
5	23115 25233	   	177.83	ACR|3DMG|3ZMB|1VULN|1CDMG	1aFEWX|2VULN|38aZMB|4RCR|5CDMG|6DUST|79aDMG|aBPWR
6	32312 13461	 * 	175.75	DCR|3VULN|2DMG|1CDMG|1DUR	1ERES|2DUR|3BELT|49DMG|57aVULN|6RCR|8CDMG
7	42826 24312	 * 	174.43	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2MBVNT|3BELT|479VULN|5CDMG|6RCR|8DMG|aAART
8	32123 42232	   	174.11	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ERES|2DUR|3LHND|489VULN|5ZMB|6RCR|7AART|aCDMG
9	32623 42232	   	174.11	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ERES|2DUR|3LWND|489VULN|5ZMB|6RCR|7AART|aCDMG
10	53523 42232	   	174.11	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUR|3ERES|489VULN|5ZMB|6RCR|7AART|aCDMG
11	36332 42231	   	173.58	DCR|3VULN|1AART|1DMG|1ZMB	1ERES|2DMG|3LWND|4LHND|589VULN|6RCR|7AART|aZMB
12	36312 42231	   	173.48	DCR|3VULN|1AART|1DMG|1ZMB	1ERES|2DMG|3LWND|4DUST|589VULN|6RCR|7AART|aZMB
13	31663 31136	   	173.23	DCR|3VULN|1AART|1DMG|1CDMG	1ERES|2RMIN|3CDMG|4AART|59aVULN|6LHND|7DMG|8RCR
14	36233 53633	   	172.62	DCR|2VULN|2DMG|1AART|1ZMB	19ERES|29DMG|3DMSP|4AART|5FEWX|6LIT|79VULN|8RCR|9BPWR|aZMB
15	16135 32122	 * 	171.60	ACR|3VULN|1AART|1DMG|1ZMB	1MLV|2DMG|3ZMB|4RCR|5DUST|68aVULN|7AART|9BELT
16	36135 32222	   	171.50	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2DMG|3ZMB|4RCR|5DUST|68aVULN|7AART|9BELT
17	32312 13412	 * 	171.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1ERES|29DUR|3BELT|4DMG|57VULN|6RCR|8CDMG|aAART
18	23332 32616	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|27VULN|3BEXP|4ASPD|5LIT|6RCR|8AART|9aDMG
19	23112 45433	 * 	170.61	ACR|3DMG|1VULN|2CDMG|2ZMB	1aFEWX|2VULN|3aZMB|4RCR|5DUST|68CDMG|79aDMG|aBPWR
20	23115 25433	   	170.61	ACR|3DMG|1VULN|2CDMG|2ZMB	1aFEWX|2VULN|3aZMB|4RCR|58CDMG|6DUST|79aDMG|aBPWR
21	23112 33312	   	169.80	ACR|3VULN|1AART|1DMG|1ZMB	1FEWX|269VULN|3ZMB|4RCR|5DUST|7BELT|8DMG|aAART
22	16135 32112	 * 	169.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2DMG|3ZMB|4RCR|5DUST|68VULN|7AART|9CGEN|aCDMG
23	36332 42232	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	1ERES|2DMG|3LWND|4LHND|589VULN|6RCR|7AART|aDUR
24	16135 32632	   	169.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2DMG|3ZMB|4RCR|5DUST|69VULN|7AART|8ERES|aCDMG
25	36135 32212	   	169.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|3ZMB|4RCR|5DUST|68VULN|7AART|9CGEN|aCDMG
26	36312 42232	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	1ERES|2DMG|3LWND|4DUST|589VULN|6RCR|7AART|aDUR
27	36135 32132	   	169.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|3ZMB|4RCR|5DUST|69VULN|7AART|8TLV|aCDMG
28	23121 24312	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	1FEWX|249VULN|3ZMB|5DUST|6BELT|7RCR|8DMG|aAART
29	23112 45631	   	169.12	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1FEWX|28VULN|3ZMB|4RCR|5DUST|6CDMG|79DMG|aDUR
30	23115 25631	   	169.12	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1FEWX|28VULN|3ZMB|4RCR|5CDMG|6DUST|79DMG|aDUR
31	23112 35143	   	169.12	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1FEWX|26VULN|3ZMB|4RCR|5DUST|79DMG|8ASPD|aCDMG
32	23112 35163	   	168.63	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1FEWX|26VULN|3ZMB|4RCR|5DUST|7DMG|8ASPD|9AART|aDUR
33	21113 35166	 * 	168.52	ACR|3ZMB|1AART|1VULN|1DMG|1ASPD|1DUR	1FEWX|2DUR|35aZMB|4RCR|6VULN|7DMG|8ASPD|9AART
34	23115 35623	 * 	168.50	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2VULN|3ZMB|4RCR|5CDMG|6LWND|7aDMG|8LIT|9AART
35	34351 23612	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	1ERES|2CGEN|3aVULN|4LIT|59DMG|6DUR|7RCR|8AART
36	23112 35462	   	168.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18FEWX|26VULN|3ZMB|4RCR|5DUST|7DMG|9AART|aCDMG
37	51252 62112	 * 	168.18	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1LHND|2RCVC|3AART|4FEWX|57VULN|6FLTHEA|8ZMB|9DMG|aRCR
38	51223 62112	   	168.18	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1LHND|2RCVC|3AART|47VULN|5FEWX|6FLTHEA|8ZMB|9DMG|aRCR
39	23112 32334	 * 	168.18	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1FEWX|26VULN|3ZMB|4RCR|5DUST|7AART|8aDUR|9DMG
40	36133 11572	   	167.94	ACR|3DMG|2VULN|2ZMB	156ERES|29aDMG|3aZMB|4RCR|7MBVNT|8aVULN|aBPWR
41	23346 26331	 * 	167.67	DCR|4VULN|1DMG|1CDMG|1DUR	1FEWX|245aVULN|35BEXP|5BPWR|6DUR|7CDMG|8RCR|9DMG
42	23163 34523	   	167.50	ACR|3VULN|1AART|1DMG|1ZMB	1FEWX|279VULN|3ZMB|4LIT|5RCR|6DMG|8BELT|aAART
43	32312 13531	 * 	167.40	DCR|3VULN|2DMG|2DUR	1ERES|28DUR|3BELT|4aDMG|579VULN|6RCR
44	23113 31222	 * 	167.34	ACR|3VULN|1AART|2ZMB|1CDMG	17FEWX|269VULN|35ZMB|4RCR|8CDMG|aAART
45	23113 32222	   	167.34	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|269VULN|35ZMB|4RCR|7DMSP|8CDMG|aAART
46	23112 35123	 * 	167.19	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|269VULN|3ZMB|4RCR|5DUST|7DMG|8ASPD|aCDMG
47	23112 45611	   	167.19	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|28aVULN|3ZMB|4RCR|5DUST|6CDMG|7DMG|9ASPD
48	23115 25611	   	167.19	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|28aVULN|3ZMB|4RCR|5CDMG|6DUST|7DMG|9ASPD
49	22123 42232	   	167.17	DCR|3VULN|1AART|1CDMG|1ZMB	1FEWX|2ERES|3LHND|489VULN|5ZMB|6RCR|7AART|aCDMG
50	23553 42232	   	167.17	DCR|3VULN|1AART|1CDMG|1ZMB	1FEWX|289VULN|3ERES|4LWND|5ZMB|6RCR|7AART|aCDMG
51	23332 32611	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|27VULN|3BEXP|4ASPD|5LIT|6RCR|8AART|9DMG|aCDMG
52	55332 32611	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|27VULN|3BEXP|4ASPD|5LIT|6RCR|8AART|9DMG|aCDMG
53	23214 12331	   	166.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|25VULN|3RPLT|4BEXP|6CDMG|7AART|8RCR|9DMG|aZMB
54	23311 42331	   	166.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|25VULN|3BEXP|4CDMG|6RPLT|7AART|8RCR|9DMG|aZMB
55	12312 16213	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2DUR|3BELT|4DMG|5aVULN|6RCR|7TLV|8CDMG|9AART
56	32312 16213	   	166.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUR|3BELT|4DMG|5aVULN|6RCR|7TLV|8CDMG|9AART
57	42252 13242	 * 	165.86	DCR|3ZMB|1AART|1DMG|2CDMG|2DUR	1RPLT|2MBVNT|389ZMB|4DMG|59DUR|69CDMG|7RCR|9BPWR|aAART
58	23515 63333	 * 	165.82	ACR|3VULN|1AART|1CDMG|2DUR	1FEWX|279VULN|3ERES|4RCR|5CDMG|6aDUR|8AART
59	32123 42233	 * 	165.75	DCR|3VULN|1AART|2DUR|1ZMB	1ERES|2aDUR|3LHND|489VULN|5ZMB|6RCR|7AART
60	32623 42233	   	165.75	DCR|3VULN|1AART|2DUR|1ZMB	1ERES|2aDUR|3LWND|489VULN|5ZMB|6RCR|7AART
61	53523 42233	   	165.75	DCR|3VULN|1AART|2DUR|1ZMB	1LHND|2aDUR|3ERES|489VULN|5ZMB|6RCR|7AART
62	42831 22224	 * 	165.69	DCR|2DMG|1AART|1VULN|3ASPD	1RPLT|2MBVNT|3BELT|458ASPD|58BPWR|6RCR|78DMG|9AART|aVULN
63	42834 22224	   	165.69	DCR|2DMG|1AART|1VULN|3ASPD	1RPLT|2MBVNT|3BELT|458ASPD|6RCR|78DMG|8BPWR|9AART|aVULN
64	23112 32122	 * 	165.64	ACR|4VULN|1AART|1ZMB	1FEWX|268aVULN|3ZMB|4RCR|5DUST|7AART|9BELT
65	32312 13455	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUR|3BELT|4DMG|57VULN|6RCR|8CDMG|9DUST|aAART
66	23112 35166	 * 	165.54	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1FEWX|26VULN|3aZMB|4RCR|5DUST|7DMG|8ASPD|9AART
