0	Index      	 *	Score 	Summary	Detail	
1	65333 12333	 * 	202.51	DCR|2AART|2VULN|2DMG|1CDMG|1ZMB	18DMG|2BEXP|3ZMB|45AART|6RCR|79VULN|aCDMG
2	66322 12421	 * 	202.16	DCR|3DMG|2VULN|1AART|2ASPD|1DUR	13aDMG|2aASPD|4DUR|5AART|6RCR|79VULN|8aLIT|aBPWR
3	66352 12333	 * 	201.96	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	13DMG|2ASPD|4DUST|5AART|6RCR|789VULN|aCDMG
4	62321 13636	   	200.74	DCR|3DMG|2VULN|1AART|2DUR|1ASPD	13aDMG|2ERES|4aDUR|5AART|6RCR|7CGEN|8ASPD|9aVULN|aBPWR
5	66322 12533	 * 	199.95	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG|1DUR	13DMG|28ASPD|4DUR|5AART|6RCR|79VULN|aCDMG
6	66322 32238	 * 	199.76	DCR|3DMG|2VULN|1AART|3DUR|1ASPD	13aDMG|2ASPD|46aDUR|5AART|7MBVNT|8RCR|9aVULN|aBPWR
7	31212 26513	   	197.81	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1aBEXP|2DUR|37aVULN|4ZMB|5FEWX|6RCR|8AART|9aDMG|aBPWR
8	31214 26513	   	197.71	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1aBEXP|2DUR|37aVULN|4ZMB|5DUST|6RCR|8AART|9aDMG|aBPWR
9	11212 26513	   	197.61	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1aDUST|2DUR|37aVULN|4ZMB|5FEWX|6RCR|8AART|9aDMG|aBPWR
10	11215 26513	   	197.61	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1aDUST|2DUR|37aVULN|4ZMB|5BEXP|6RCR|8AART|9aDMG|aBPWR
11	66533 12333	 * 	196.42	DCR|3VULN|2AART|1DMG|1CDMG|1ASPD	1DMG|2ASPD|3DUST|45AART|6RCR|789VULN|aCDMG
12	61314 22215	 * 	196.20	ACR|3VULN|2AART|1DMG|1CDMG|1ZMB	1DMG|27aVULN|3CGEN|46AART|5RCR|8ZMB|9CDMG
13	66322 22238	   	195.94	DCR|3DMG|2VULN|1AART|2DUR|1ASPD	13aDMG|2ASPD|4aDUR|5AART|6DMSP|7MBVNT|8RCR|9aVULN|aBPWR
14	65333 12335	   	195.80	DCR|2AART|2VULN|2DMG|1ZMB|1DUR	18DMG|2BEXP|3ZMB|45AART|6RCR|79VULN|aDUR
15	66322 12422	   	195.35	DCR|3DMG|2VULN|1AART|1ASPD|1DUR	13aDMG|2ASPD|4DUR|5AART|6RCR|79VULN|8LIT
16	66322 12323	   	195.24	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	13DMG|2ASPD|4DUR|5AART|6RCR|79aVULN|8NUKE
17	33332 64363	 * 	195.14	DCR|4VULN|1AART|1DMG|2CDMG	17BEXP|2AART|37CDMG|4DMG|5CGEN|679aVULN|7BPWR|8RCR
18	61313 43353	 * 	194.92	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR	18DMG|28VULN|3CGEN|4AART|5DUR|6RMIN|78CDMG|8BPWR|9ZMB|aRCR
19	35333 12323	   	193.87	DCR|3VULN|2AART|1DMG|1ZMB|1ASPD	1BEXP|2ASPD|3ZMB|45AART|6RCR|79aVULN|8DMG
20	65333 12523	   	193.87	DCR|3VULN|2AART|1DMG|1ZMB|1ASPD	1DMG|2BEXP|3ZMB|45AART|6RCR|79aVULN|8ASPD
21	66322 12423	   	193.34	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	13DMG|2ASPD|4DUR|5AART|6RCR|79VULN|8LIT|aCDMG
22	53333 12333	   	192.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	15DUR|28DMG|3CGEN|4AART|6RCR|79VULN|aCDMG
23	63333 12333	   	192.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|25DUR|3CGEN|4AART|6RCR|79VULN|aCDMG
