0	Index      	 *	Score 	Summary	Detail	
1	52833 34232	 * 	204.98	ACR|3VULN|3DMG|1AART|1DUR	1MBVNT|279VULN|3RCR|4AART|56aDMG|8DUR
2	52833 34231	 * 	203.43	ACR|4VULN|2DMG|1AART|1DUR	1MBVNT|279aVULN|3RCR|4AART|56DMG|8DUR
3	52833 64232	   	203.43	ACR|4VULN|2DMG|1AART|1DUR	1MBVNT|2679VULN|3RCR|4AART|5aDMG|8DUR
4	52833 64231	 * 	198.67	ACR|5VULN|1AART|1DMG|1DUR	1MBVNT|2679aVULN|3RCR|4AART|5DMG|8DUR
5	52833 34153	   	198.04	ACR|3VULN|3DMG|1AART	1MBVNT|27aVULN|3RCR|4AART|569DMG|8LIT
6	52833 34513	   	198.04	ACR|3VULN|3DMG|1AART	1MBVNT|27aVULN|3RCR|4AART|568DMG|9LIT
7	52833 34128	   	198.00	ACR|3VULN|3DMG|1AART|1SELL	1MBVNT|27aVULN|3RCR|4AART|56aDMG|8aLIT|9SELL|aBPWR
8	52833 34348	   	197.94	ACR|3VULN|3DMG|1AART	1MBVNT|279VULN|3RCR|4AART|56aDMG|8ERES
9	52834 31238	   	196.59	ACR|4VULN|2DMG|1AART	1MBVNT|289aVULN|3RCR|4AART|5ERES|6aDMG|7aLHND|aBPWR
10	52852 22413	 * 	196.54	ACR|2VULN|2DMG|2AART|2CDMG	1MBVNT|2aVULN|3RCR|4RMIN|5LWND|6aCDMG|79AART|8aDMG|aBPWR
11	52833 34236	   	196.26	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	1MBVNT|279VULN|3RCR|4AART|56DMG|8DUR|aASPD
12	52833 34111	 * 	196.04	ACR|3VULN|2DMG|1AART|1CDMG	1MBVNT|279VULN|3RCR|4AART|56DMG|8LIT|aCDMG
13	52833 34521	 * 	196.04	ACR|3DMG|2VULN|1AART|1CDMG	1MBVNT|27VULN|3RCR|4AART|568DMG|9CDMG|aMLV
14	52833 34522	   	196.04	ACR|3DMG|2VULN|1AART|1CDMG	1MBVNT|27VULN|3RCR|4AART|568DMG|9CDMG|aFEWX
15	52833 34523	   	196.04	ACR|3DMG|2VULN|1AART|1CDMG	1MBVNT|27VULN|3RCR|4AART|568DMG|9CDMG|aLWND
16	52833 34524	   	195.94	ACR|3DMG|2VULN|1AART|1CDMG	1MBVNT|27VULN|3RCR|4AART|568DMG|9CDMG|aERES
