0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11632 51423	3	 * 	293.89	DCR|3VULN|3DMG|2DUR|1TLV|1AART|1SELL	17DUR|279VULN|3SELL|4AART|57aDMG|6RCR|7BPWR|8TLV
2	41215 14113	3	 * 	293.59	DCR|4VULN|3DUR|3TLV|3LIT	137LIT|2379VULN|379BPWR|4FEWX|589TLV|679DUR|aRCR
3	41225 13113	3	   	293.59	DCR|4VULN|3DUR|3TLV|3LIT	137LIT|2379VULN|379BPWR|4LHND|589TLV|679DUR|aRCR
4	41245 13113	4	   	293.59	DCR|4VULN|3DUR|3TLV|3LIT	137LIT|2379VULN|379BPWR|4LWND|589TLV|679DUR|aRCR
5	11632 51421	3	 * 	291.89	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1AART|1SELL	17DUR|279VULN|3SELL|4AART|57DMG|6RCR|7BPWR|8TLV|aCDMG
6	15132 33413	3	 * 	291.75	DCR|4VULN|3DUR|2DMG|2LIT	159DUR|29DMG|3DUST|4567VULN|59BPWR|89LIT|aRCR
7	15142 33413	4	   	291.75	DCR|4VULN|3DUR|2DMG|2LIT	159DUR|29DMG|3DUST|4567VULN|59BPWR|89LIT|aRCR
8	15632 33413	1	   	291.75	DCR|4VULN|3DUR|2DMG|2LIT	159DUR|29DMG|3DUST|4567VULN|59BPWR|89LIT|aRCR
9	15632 33413	2	   	291.75	DCR|4VULN|3DUR|2DMG|2LIT	159DUR|29DMG|3DUST|4567VULN|59BPWR|89LIT|aRCR
10	11632 51422	3	 * 	291.47	DCR|3VULN|3DUR|2DMG|1TLV|1AART|1SELL	17aDUR|279VULN|3SELL|4AART|57DMG|6RCR|7BPWR|8TLV
11	36533 21631	8	 * 	291.47	DCR|3VULN|3DUR|2DMG|1TLV|1AART|1SELL	1AART|268VULN|3SELL|489DUR|58DMG|7RCR|8BPWR|aTLV
12	11632 51331	3	 * 	291.47	DCR|3VULN|3DUR|2DMG|1TLV|1AART|1SELL	179DUR|278VULN|3SELL|4AART|57DMG|6RCR|7BPWR|aTLV
