0	Index      	 *	Score 	Summary	Detail	
1	14312 55111	 * 	194.30	ACR|2DMG|1AART|1VULN|2ZMB|1FLTHEA|1CDMG	17DUST|2RCR|3AART|4ERES|57ZMB|67DMG|7BPWR|8VULN|9FLTHEA|aCDMG
2	14312 55121	 * 	191.98	ACR|2AART|2DMG|3ZMB|1VULN	17DUST|2RCR|39AART|4ERES|57aZMB|67DMG|7BPWR|8VULN
3	14312 51311	 * 	190.35	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6DMG|78VULN|9FLTHEA|aCDMG
4	14354 31111	 * 	190.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5BEXP|6aDMG|78VULN|9CDMG
5	14312 51326	 * 	190.15	ACR|3VULN|2AART|1DMG|1ZMB	1DUST|2RCR|39AART|4ERES|5ZMB|6DMG|78aVULN
6	14354 31113	 * 	188.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2RCR|3AART|4DUR|5BEXP|6DMG|78aVULN|9CDMG
7	14351 13326	   	186.19	ACR|3VULN|2AART|1DMG|1DUR	1DUST|2RCR|39AART|4DUR|5RCVC|68aVULN|7DMG
8	14351 13333	   	185.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|68aVULN|7DMG|9ZMB
9	14342 16113	 * 	185.49	ACR|3VULN|2DMG|1AART	19DUST|2RCR|3AART|48DMG|5RMIN|69aVULN|79LWND|9BPWR
10	14342 11513	   	185.39	ACR|3VULN|2DMG|1AART	19DUST|2RCR|3AART|49DMG|5RMIN|69aVULN|7RCVC|8LEGI|9BPWR
11	14312 51411	 * 	184.21	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1DUST|2RCR|38AART|4ERES|5ZMB|6DMG|7VULN|9FLTHEA|aCDMG
12	11242 41111	   	183.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|2AART|3DUR|4aDMG|5RCR|6LHND|78VULN|9CDMG
13	11242 51111	   	183.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|2AART|3DUR|4aDMG|5RCR|6BEXP|78VULN|9CDMG
