0	Index      	 *	Score 	Summary	Detail	
1	66321 22224	 * 	205.26	DCR|3VULN|2DMG|1AART|3ZMB	1AART|27aVULN|3CGEN|478ZMB|57DMG|6RPLT|7BPWR|9RCR
2	63332 11532	 * 	203.87	ACR|2AART|2VULN|2DMG|3ZMB	14AART|278ZMB|37DMG|5RCR|67FEWX|7BPWR|9aVULN
3	63332 41532	   	203.87	ACR|2AART|2DMG|2VULN|3ZMB	14AART|278ZMB|37DMG|5RCR|67LHND|7BPWR|9aVULN
4	63332 51532	   	203.67	ACR|2AART|2VULN|2DMG|3ZMB	14AART|278ZMB|37DMG|5RCR|67DUST|7BPWR|9aVULN
5	63332 32211	   	199.93	ACR|2AART|2VULN|2DMG|1CDMG|1ZMB	14AART|2ZMB|39DMG|5RCR|6aVULN|7CDMG|8FEWX
6	63332 32311	   	199.93	ACR|2AART|2VULN|2DMG|1CDMG|1ZMB	14AART|2ZMB|39DMG|5RCR|6aVULN|7CDMG|8LWND
7	66321 22223	   	196.54	DCR|2VULN|2DMG|1AART|3ZMB|1ASPD	1AART|27VULN|3CGEN|478ZMB|57DMG|6RPLT|7BPWR|9RCR|aASPD
8	66421 22223	   	196.44	DCR|2VULN|2DMG|1AART|3ZMB|1ASPD	1AART|27VULN|3ERES|478ZMB|57DMG|6RPLT|7BPWR|9RCR|aASPD
9	13234 12563	 * 	194.08	ACR|3VULN|3ZMB|1DMG|3DUR|2ASPD	18aDUR|289ZMB|3DMG|4RCR|5aASPD|68aVULN|7RPLT|8aBPWR
10	63332 11536	   	193.22	ACR|2AART|2DMG|3ZMB|1VULN|1DUR	14AART|278ZMB|37DMG|5RCR|67FEWX|7BPWR|9VULN|aDUR
11	63332 11542	   	193.22	ACR|2AART|2DMG|3ZMB|1VULN|1DUR	14AART|278ZMB|37DMG|5RCR|67FEWX|7BPWR|9DUR|aVULN
12	63342 11532	   	192.42	ACR|2VULN|2DMG|1AART|3ZMB	1AART|278ZMB|37DMG|4RCVC|5RCR|67FEWX|7BPWR|9aVULN
13	63352 11532	   	192.42	ACR|2VULN|2DMG|1AART|3ZMB	1AART|278ZMB|37DMG|4DMSP|5RCR|67FEWX|7BPWR|9aVULN
14	63332 11533	 * 	190.55	ACR|3AART|2DMG|3ZMB|1VULN	14aAART|278ZMB|37DMG|5RCR|67FEWX|7BPWR|9VULN
15	63332 41533	   	190.55	ACR|3AART|2DMG|3ZMB|1VULN	14aAART|278ZMB|37DMG|5RCR|67LHND|7BPWR|9VULN
16	63332 51533	   	190.35	ACR|3AART|2DMG|3ZMB|1VULN	14aAART|278ZMB|37DMG|5RCR|67DUST|7BPWR|9VULN
17	25233 61324	 * 	189.79	ACR|3VULN|2DMG|1AART|1ZMB	1BASHEA|28DMG|3RCR|4FEWX|5ZMB|679VULN|aAART
18	66321 22221	   	189.60	DCR|2VULN|2DMG|1AART|3ZMB	1AART|27VULN|3CGEN|478ZMB|57DMG|6RPLT|7BPWR|9RCR|aFEWX
19	66321 22225	   	189.60	DCR|2VULN|2DMG|1AART|3ZMB	1AART|27VULN|3CGEN|478ZMB|57DMG|6RPLT|7BPWR|9RCR|aLHND
20	66321 22226	   	189.60	DCR|2VULN|2DMG|1AART|3ZMB	1AART|27VULN|3CGEN|478ZMB|57DMG|6RPLT|7BPWR|9RCR|aLWND
21	66321 22222	   	189.50	DCR|2VULN|2DMG|1AART|3ZMB	1AART|27VULN|3CGEN|478ZMB|57DMG|6RPLT|7BPWR|9RCR|aMBVNT
22	66421 22221	   	189.50	DCR|2VULN|2DMG|1AART|3ZMB	1AART|27VULN|3ERES|478ZMB|57DMG|6RPLT|7BPWR|9RCR|aFEWX
23	66421 22222	   	189.40	DCR|2VULN|2DMG|1AART|3ZMB	1AART|27VULN|3ERES|478ZMB|57DMG|6RPLT|7BPWR|9RCR|aMBVNT
24	63332 32222	   	189.28	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	14AART|2ZMB|3DMG|5RCR|6aVULN|7CDMG|8FEWX|9DUR
25	63332 33523	   	189.18	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	14AART|2ZMB|39DMG|5RCR|6VULN|7DUR|8ERES|aCDMG
26	63342 32211	   	188.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2ZMB|39DMG|4RCVC|5RCR|6aVULN|7CDMG|8FEWX
27	63342 32311	   	188.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2ZMB|39DMG|4RCVC|5RCR|6aVULN|7CDMG|8LWND
28	63352 32211	   	188.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2ZMB|39DMG|4DMSP|5RCR|6aVULN|7CDMG|8FEWX
29	63352 32311	   	188.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2ZMB|39DMG|4DMSP|5RCR|6aVULN|7CDMG|8LWND
30	13233 23616	   	188.27	ACR|2DMG|1AART|1VULN|1FLTHEA|2DUR|1ZMB|1ASPD	15DUR|2ZMB|39DMG|4RCR|6VULN|7FLTHEA|8AART|aASPD
31	13233 23636	   	188.27	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR|1ZMB|1ASPD	15DUR|2ZMB|3DMG|4RCR|69VULN|7FLTHEA|8AART|aASPD
32	63332 36143	 * 	188.20	ACR|3DMG|2AART|1VULN|2ZMB	14AART|2aZMB|379DMG|5RCR|6VULN|8CGEN
33	25523 22321	 * 	186.86	DCR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	18BASHEA|278DMG|3LIT|4ZMB|58VULN|6RCR|8BPWR|9ASPD|aCDMG
34	63332 32212	   	186.62	ACR|3AART|2DMG|1VULN|1CDMG|1ZMB	14aAART|2ZMB|39DMG|5RCR|6VULN|7CDMG|8FEWX
35	63332 32312	   	186.62	ACR|3AART|2DMG|1VULN|1CDMG|1ZMB	14aAART|2ZMB|39DMG|5RCR|6VULN|7CDMG|8LWND
36	63332 11512	   	186.28	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67FEWX|7BPWR|9BEXP|aVULN
37	63332 11522	   	186.28	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67FEWX|7BPWR|9LWND|aVULN
38	63332 11535	   	186.28	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67FEWX|7BPWR|9VULN|aLWND
39	63332 11562	   	186.28	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67FEWX|7BPWR|9LHND|aVULN
40	63332 41512	   	186.28	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67LHND|7BPWR|9BEXP|aVULN
41	63332 41522	   	186.28	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67LHND|7BPWR|9LWND|aVULN
42	63342 11533	   	186.28	ACR|2AART|2DMG|3ZMB|1VULN	1aAART|278ZMB|37DMG|4RCVC|5RCR|67FEWX|7BPWR|9VULN
43	63352 11533	   	186.28	ACR|2AART|2DMG|3ZMB|1VULN	1aAART|278ZMB|37DMG|4DMSP|5RCR|67FEWX|7BPWR|9VULN
44	63332 11531	   	186.18	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67FEWX|7BPWR|9VULN|aDLOT
45	63332 11534	   	186.18	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67FEWX|7BPWR|9VULN|aDUST
46	63332 41531	   	186.18	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67LHND|7BPWR|9VULN|aDLOT
47	63332 51512	   	186.08	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67DUST|7BPWR|9BEXP|aVULN
48	63332 51522	   	186.08	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67DUST|7BPWR|9LWND|aVULN
49	12624 63211	 * 	186.08	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	17DUR|2CGEN|37CDMG|4RMIN|567VULN|7BPWR|8DMG|9RCR|aAART
50	63332 51531	   	185.98	ACR|2AART|2DMG|3ZMB|1VULN	14AART|278ZMB|37DMG|5RCR|67DUST|7BPWR|9VULN|aDLOT
51	25231 61324	   	185.73	ACR|3VULN|2DMG|1AART|1ASPD	1BASHEA|28DMG|3RCR|4FEWX|5ASPD|679VULN|aAART
52	13233 26235	   	185.27	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	15DUR|2ZMB|3aDMG|4RCR|69VULN|7LHND|8AART
53	13233 23612	 * 	185.15	ACR|2DMG|1AART|1VULN|3DUR|1FLTHEA|1ZMB	15aDUR|2ZMB|39DMG|4RCR|6VULN|7FLTHEA|8AART
54	13233 23632	 * 	185.15	ACR|2VULN|1AART|1DMG|3DUR|1FLTHEA|1ZMB	15aDUR|2ZMB|3DMG|4RCR|69VULN|7FLTHEA|8AART
55	13233 23641	   	185.15	ACR|2DMG|1AART|1VULN|3DUR|1FLTHEA|1ZMB	159DUR|2ZMB|3aDMG|4RCR|6VULN|7FLTHEA|8AART
56	63332 61253	   	184.88	ACR|3DMG|2AART|1CDMG|1ZMB|1DUR	14AART|2ZMB|379DMG|5RCR|6RCVC|8DUR|aCDMG
57	63332 36141	   	184.35	ACR|3DMG|2AART|1VULN|1ZMB	14AART|2ZMB|379DMG|5RCR|6VULN|8CGEN|aBEXP
58	63332 36142	   	184.35	ACR|3DMG|2AART|1VULN|1ZMB	14AART|2ZMB|379DMG|5RCR|6VULN|8CGEN|aLIT
59	63332 36225	   	184.35	ACR|3DMG|2AART|1VULN|1ZMB	14AART|2ZMB|37aDMG|5RCR|6VULN|8LHND|9FEWX
60	63332 61326	   	184.35	ACR|3DMG|2AART|1VULN|1ZMB	14AART|2ZMB|379DMG|5RCR|6RCVC|8BEXP|aVULN
61	43133 44443	   	182.62	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1RMIN|2MBVNT|3aASPD|4RCR|5DUR|6aDMG|7RPLT|8AART|9aVULN|aBPWR
62	63332 32115	   	182.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2ZMB|3aDMG|5RCR|6VULN|7CDMG|8CGEN|9RPLT
63	63332 32321	   	182.35	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2ZMB|3DMG|5RCR|6aVULN|7CDMG|8LWND|9RCVC
64	63332 32331	   	182.35	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2ZMB|3DMG|5RCR|6aVULN|7CDMG|89LWND
65	63332 36226	   	182.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2ZMB|37DMG|5RCR|6VULN|8LHND|9FEWX|aCDMG
66	63342 32212	   	182.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1aAART|2ZMB|39DMG|4RCVC|5RCR|6VULN|7CDMG|8FEWX
67	63342 32312	   	182.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1aAART|2ZMB|39DMG|4RCVC|5RCR|6VULN|7CDMG|8LWND
68	63352 32212	   	182.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1aAART|2ZMB|39DMG|4DMSP|5RCR|6VULN|7CDMG|8FEWX
69	63352 32312	   	182.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1aAART|2ZMB|39DMG|4DMSP|5RCR|6VULN|7CDMG|8LWND
70	25233 61612	   	182.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1BASHEA|29DMG|3RCR|4FEWX|5ZMB|67VULN|8AART|aDUR
71	63332 13233	   	182.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2ZMB|3DMG|5RCR|6FEWX|7DUST|89VULN|aCDMG
72	63332 31523	   	182.25	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2ZMB|39DMG|5RCR|6VULN|7LWND|8ERES|aCDMG
73	63332 32213	   	182.25	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2ZMB|39DMG|5RCR|6VULN|7CDMG|8FEWX|aERES
74	63332 32216	   	182.25	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2ZMB|39DMG|5RCR|6VULN|7CDMG|8FEWX|aTLV
75	63332 32262	   	182.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2ZMB|3DMG|5RCR|6aVULN|7CDMG|8FEWX|9MBVNT
76	63332 32313	   	182.25	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2ZMB|39DMG|5RCR|6VULN|7CDMG|8LWND|aERES
77	63332 32316	   	182.25	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2ZMB|39DMG|5RCR|6VULN|7CDMG|8LWND|aTLV
78	63332 32363	   	182.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2ZMB|3DMG|5RCR|6aVULN|7CDMG|8LWND|9MBVNT
79	63332 32415	   	182.25	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2ZMB|3aDMG|5RCR|6VULN|7CDMG|8ERES|9RPLT
80	63332 34523	   	182.25	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2ZMB|39DMG|5RCR|6VULN|7BEXP|8ERES|aCDMG
81	63332 52233	   	182.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2ZMB|3DMG|5RCR|6DUST|7FEWX|89VULN|aCDMG
82	25233 61325	 * 	182.24	ACR|3VULN|3DMG|1ZMB	1BASHEA|28aDMG|3RCR|4FEWX|5ZMB|679VULN
83	63332 11515	 * 	182.07	ACR|3DMG|2AART|3ZMB	14AART|278ZMB|37aDMG|5RCR|67aFEWX|7aBPWR|9aBEXP
84	63332 11525	   	182.07	ACR|3DMG|2AART|3ZMB	14AART|278ZMB|37aDMG|5RCR|67aFEWX|7aBPWR|9aLWND
85	66532 32112	 * 	182.07	DCR|3VULN|2AART|1DMG|1DUR	18AART|25aVULN|3SNIHEL|4DUST|6DUR|7RCR|9DMG
86	63332 41253	   	181.99	ACR|3DMG|2AART|2ZMB|1CDMG	14AART|27ZMB|379DMG|5RCR|678LHND|7BPWR|aCDMG
87	25523 22232	 * 	181.92	DCR|3VULN|3DMG|1ZMB	19BASHEA|279DMG|3LIT|4ZMB|59aVULN|6RCR|8RPLT|9BPWR
88	25523 22341	   	181.92	DCR|3VULN|3DMG|1ZMB	18BASHEA|278DMG|3LIT|4ZMB|58aVULN|6RCR|8BPWR|9RCVC
89	63332 11143	   	181.87	ACR|3DMG|2AART|3ZMB	14AART|27aZMB|379DMG|5RCR|67FEWX|7BPWR|8CGEN
90	63332 41143	   	181.87	ACR|3DMG|2AART|3ZMB	14AART|27aZMB|379DMG|5RCR|67LHND|7BPWR|8CGEN
91	66342 23122	   	181.78	DCR|3VULN|2AART|1DMG|1FLTHEA	16AART|279VULN|35CGEN|4FLTHEA|8DMG|aRCR
92	63332 41343	   	181.77	ACR|3DMG|2AART|3ZMB	14AART|27aZMB|379DMG|5RCR|67LHND|7BPWR|8TLV
