0	Index      	 *	Score 	Summary	Detail	
1	45136 11434	 * 	195.14	ACR|3VULN|3DMG|1AART	1LEGI|29aVULN|3aLIT|4RCR|5AART|68aDMG|7MBVNT|aBPWR
2	45131 14112	 * 	192.29	ACR|4VULN|2DMG|1AART	1LEGI|2569VULN|3LIT|4RCR|7AART|8aDMG
3	32224 42413	 * 	187.52	ACR|3VULN|2DMG|1CDMG|1FLTHEA|1ASPD	1LSRICY|267VULN|38DMG|4RCR|5FLTHEA|9ASPD|aCDMG
4	32221 44112	   	187.49	ACR|3VULN|2DMG|1AART|1ZMB	1LSRICY|256VULN|39DMG|4RCR|7FEWX|8ZMB|aAART
5	32224 52322	 * 	186.10	ACR|3DMG|1AART|1VULN|1CDMG|1FLTHEA	1LSRICY|2VULN|378DMG|4RCR|5FLTHEA|6TLV|9CDMG|aAART
6	32221 41212	   	183.43	ACR|3VULN|2DMG|1AART|1DUR	1LSRICY|256VULN|39DMG|4RCR|7MLV|8DUR|aAART
7	32221 42212	   	183.43	ACR|3VULN|2DMG|1AART|1DUR	1LSRICY|256VULN|39DMG|4RCR|7CGEN|8DUR|aAART
8	32221 43212	   	183.33	ACR|3VULN|2DMG|1AART|1DUR	1LSRICY|256VULN|39DMG|4RCR|7TLV|8DUR|aAART
9	45131 14111	   	181.64	ACR|4VULN|1AART|1DMG|1DUR	1LEGI|2569VULN|3LIT|4RCR|7AART|8DMG|aDUR
10	45136 11234	   	181.39	ACR|3VULN|2DMG|1AART	1LEGI|29aVULN|3aLIT|4RCR|5AART|6aDMG|7MBVNT|8RCVC|aBPWR
11	45133 14112	   	180.99	ACR|3VULN|2DMG|1AART	1LEGI|269VULN|3LIT|4RCR|5RCVC|7AART|8aDMG
12	32222 22136	   	180.81	ACR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1LSRICY|27aVULN|39DMG|4RCR|5ASPD|6DUR|8CDMG
13	32323 22136	   	180.81	ACR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1LSRICY|27aVULN|3ASPD|4RCR|5DUR|69DMG|8CDMG
14	34321 22136	   	180.81	ACR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1LSRICY|2DUR|3ASPD|4RCR|57aVULN|69DMG|8CDMG
15	32224 42141	   	180.58	ACR|3VULN|2DMG|1FLTHEA|1CDMG	1LSRICY|267VULN|39DMG|4RCR|5FLTHEA|8LIT|aCDMG
16	32225 51251	   	180.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LSRICY|2aVULN|39DMG|4RCR|5RPLT|6ZMB|7AART|8DUR
17	32225 51622	   	180.57	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LSRICY|2aVULN|38DMG|4RCR|5RPLT|6ZMB|7AART|9ASPD
18	32224 42433	   	180.48	ACR|3VULN|2DMG|1CDMG|1FLTHEA	1LSRICY|267VULN|38DMG|4RCR|5FLTHEA|9ERES|aCDMG
19	32222 22512	   	180.00	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1LSRICY|27VULN|39DMG|4RCR|5ASPD|68DUR|aAART
20	32323 22512	   	180.00	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1LSRICY|27VULN|3ASPD|4RCR|58DUR|69DMG|aAART
21	34321 22512	   	180.00	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1LSRICY|28DUR|3ASPD|4RCR|57VULN|69DMG|aAART
22	33653 61333	 * 	179.82	DCR|3DMG|2VULN|1CDMG|1ZMB	1LSRICY|2CDMG|3DUST|489DMG|5ZMB|6RCR|7aVULN
23	32221 24112	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LSRICY|25VULN|39DMG|4RCR|6RMIN|7ASPD|8ZMB|aAART
24	32221 34112	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LSRICY|25VULN|39DMG|4RCR|6CGEN|7ASPD|8ZMB|aAART
25	32221 52212	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LSRICY|25VULN|39DMG|4RCR|6ZMB|7DMSP|8DUR|aAART
26	32221 54312	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LSRICY|25VULN|39DMG|4RCR|6ZMB|7ASPD|8MLV|aAART
27	32221 54612	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LSRICY|25VULN|39DMG|4RCR|6ZMB|7ASPD|8CGEN|aAART
28	32225 51253	   	178.64	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1LSRICY|2VULN|39aDMG|4RCR|5RPLT|6ZMB|7AART|8DUR
29	32325 51612	   	178.64	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LSRICY|29aVULN|3ASPD|4RCR|5RPLT|6ZMB|7AART|8DMG
30	32225 21661	   	178.49	ACR|3DMG|2VULN|1AART	19LSRICY|2aVULN|389DMG|4RCR|5RPLT|69CGEN|7AART|9BPWR
31	32221 52513	   	178.39	ACR|4VULN|2DMG|1ZMB	1LSRICY|2589VULN|3aDMG|4RCR|6ZMB|7DMSP
32	32324 52263	 * 	178.18	ACR|2VULN|2DMG|2CDMG|1FLTHEA|1ASPD	1LSRICY|2aVULN|3ASPD|4RCR|5FLTHEA|6aTLV|79DMG|8aCDMG|aBPWR
33	32221 51611	 * 	177.94	ACR|3DMG|2VULN|1CDMG|1ZMB	1LSRICY|25VULN|389DMG|4RCR|6ZMB|7LHND|aCDMG
34	32221 55136	   	177.94	ACR|3VULN|2DMG|1CDMG|1ZMB	1LSRICY|25aVULN|39DMG|4RCR|6ZMB|7FEWX|8CDMG
35	32224 21414	 * 	177.48	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1LSRICY|27VULN|3DMG|4RCR|5FLTHEA|6BEXP|8DUR|9CDMG|aAART
36	45136 11433	 * 	177.28	ACR|2VULN|2DMG|1AART|1CDMG	1LEGI|29VULN|3LIT|4RCR|5AART|68DMG|7MBVNT|aCDMG
37	32221 44152	   	176.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1LSRICY|256VULN|3DMG|4RCR|7FEWX|8ZMB|9DUR|aAART
38	32221 44612	   	176.49	ACR|3VULN|2DMG|1AART	1LSRICY|256VULN|39DMG|4RCR|7FEWX|8CGEN|aAART
39	32221 44312	   	176.39	ACR|3VULN|2DMG|1AART	1LSRICY|256VULN|39DMG|4RCR|7FEWX|8ERES|aAART
40	32221 32256	   	176.28	ACR|2VULN|2DMG|1AART|1CDMG	1LSRICY|25VULN|3aDMG|4RCR|6CGEN|7AART|8CDMG|9RPLT
41	32221 41514	 * 	176.28	ACR|5VULN|1DMG|1CDMG	1LSRICY|25689VULN|3DMG|4RCR|7MLV|aCDMG
42	32221 32216	   	176.18	ACR|2VULN|2DMG|1AART|1CDMG	1LSRICY|25VULN|3aDMG|4RCR|6CGEN|7AART|8CDMG|9MBVNT
43	32221 32225	   	176.18	ACR|2VULN|2DMG|1AART|1CDMG	1LSRICY|25VULN|3aDMG|4RCR|6CGEN|7AART|8CDMG|9DUST
44	32221 43514	   	176.18	ACR|5VULN|1DMG|1CDMG	1LSRICY|25689VULN|3DMG|4RCR|7TLV|aCDMG
45	32325 35251	   	175.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1LSRICY|2aVULN|3ASPD|4RCR|5RPLT|6DUR|79DMG|8AART
46	31221 52563	   	175.57	ACR|2VULN|2DMG|1AART|2DUR	1aLSRICY|2LHND|3aDMG|4RCR|59VULN|6AART|7DUST|8aDUR|aBPWR
47	32224 42422	   	175.48	ACR|3VULN|2DMG|1FLTHEA|1DUR	1LSRICY|267VULN|38DMG|4RCR|5FLTHEA|9RCVC|aDUR
48	32222 24136	   	175.22	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	1LSRICY|2VULN|3aDMG|4RCR|5ASPD|68DUR|7AART|9ZMB
49	32323 24136	   	175.22	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	1LSRICY|2VULN|3ASPD|4RCR|58DUR|6aDMG|7AART|9ZMB
50	34321 24136	   	175.22	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	1LSRICY|28DUR|3ASPD|4RCR|5VULN|6aDMG|7AART|9ZMB
51	31221 35162	   	174.72	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1LSRICY|2LHND|3aDMG|4RCR|5aVULN|6CDMG|7aDUR|8ZMB|9LIT|aBPWR
52	45131 41212	   	174.70	ACR|4VULN|1AART|1DMG	1LEGI|2589VULN|3LIT|4RCR|6CGEN|7AART|aDMG
53	45131 14113	   	174.60	ACR|4VULN|1AART|1DMG	1LEGI|2569VULN|3LIT|4RCR|7AART|8DMG|aERES
54	32321 54513	 * 	174.35	ACR|4VULN|1DMG|2ASPD|1ZMB	1LSRICY|2589VULN|37ASPD|4RCR|6ZMB|aDMG
55	32225 21636	   	174.35	ACR|3DMG|1AART|1VULN|1CDMG	1LSRICY|2VULN|38aDMG|4RCR|5RPLT|6CGEN|7AART|9CDMG
